1643369820,column,column,column,column,2561485,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_antispy_for_samsung_s23_ultra_arm66558,column,349,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartantispyforsamsungs23ultraarm66558html,column,05112025_1956,column,__42,Фастів,0
1643369819,,,,,.2744323,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi 12X (ARM61245),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-12x-arm61245.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1643369820,,,,,2561485,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart Anti-spy for Samsung S23 Ultra (ARM66558),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-s23-ultra-arm66558.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1643369821,,,,,.2744928,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi 12 Pro 5G (ARM61244),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-12-pro-5g-arm61244.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1643369822,,,,,.2770674,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Samsung A05s (A057) (ARM73611),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-a05s-a057-arm73611.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1643369823,,,,,.2771091,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Redmi 13C / Poco C65 (ARM72465),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-redmi-13c-poco-c65-arm72465.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1643369833,,,,,.2525463,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Samsung S9 Plus (ARM58872),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-s9-plus-arm58872.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1643369835,,,,,.2736450,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Lenovo Tab M10 Plus (3rd Gen) TB125 (ARM63465),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-lenovo-tab-m10-plus-3rd-gen-tb125-arm63465.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1643369839,,,,,.2744314,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Premium 3D for Apple iPhone XS Max/11 Pro Max Black (ARM53068-G3D-BK),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-premium-3d-for-apple-iphone-xs-max-11-pro-max-black-arm53068-g3d-bk.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1643369871,,,,,.2744316,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Pro 3D for Apple iPhone 11 Pro/XS/X Black (ARM55371-GP3D-BK),,399,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-pro-3d-for-apple-iphone-11-pro-xs-x-black-arm55371-gp3d-bk.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1643369935,,,,,.2616745,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Pro 3D for Apple iPhone 15 Plus Black (ARM68218),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-pro-3d-for-apple-iphone-15-plus-black-arm68218.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1643369937,,,,,2616754,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Pro 3D for Apple iPhone 15 Pro Max Black (ARM68220),,479,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-pro-3d-for-apple-iphone-15-pro-max-black-arm68220.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1643369938,,,,,.2744317,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon 3D for Apple iPhone 11 Pro Max/XS Max Black (ARM55717-GI3D-BK),,399,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-3d-for-apple-iphone-11-pro-max-xs-max-black-arm55717-gi3d-bk.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1643369939,,,,,.2760847,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Pro Anti-spy Matte for Apple iPhone 14/13/13 Pro Black (ARM68603),,499,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-pro-anti-spy-matte-for-apple-iphone-14-13-13-pro-black-arm68603.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1643369941,,,,,.2616752,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon 3D for Apple iPhone 15 Pro Max Black (ARM68216),,549,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-3d-for-apple-iphone-15-pro-max-black-arm68216.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
