1644369293,7061038,peugeot,___peugeot_line_18___39912,3110,2717752,____________peugeot,peugeot,___peugeot_18__39912,column,3110,1,httpscomfyuamelnicadljaspecijpeugeot18sm39912html,column,05112025_1921,column,__42,Фастів,0
1644350859,6907824,BLACKVIEW,Смартфон BLACKVIEW BV5300 Pro 4/64GB Dual Sim Black (6931548311492),6299,2780216,Смартфоны и телефоны >> Смартфоны >> Смартфоны Blackview >> Серия Blackview BV5300 Pro,blackview,Смартфон Blackview BV5300 Pro 4/64GB Black,,6299,1,https://comfy.ua/smartfon-blackview-bv5300-pro-4-64gb-black.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1644351083,6907854,ANKER,Гарнитура ANKER SoundСore Space One White (A3035G21),4599,2788526,"Аудио, фото и видео >> Наушники >> Наушники Anker",anker,Навушники повнорозмірні бездротові Anker SoundCore Space One White (A3035G21),,4599,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-anker-soundsore-space-one-white-a3035g21.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1644351369,6921832,ONEPLUS,Смартфон ONEPLUS Nord 3 5G 16/256GB Misty Green (5011103077),19999,2786634,Смартфоны и телефоны >> Смартфоны в TRADE-IN,oneplus,Смартфон OnePlus Nord 3 5G 16/256GB Misty Green,,19999,1,https://comfy.ua/smartfon-oneplus-nord-3-5g-16-256gb-misty-green.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1644367503,6946908,ESPERANZA,Электрочайник ESPERANZA Parana 1 л Красный (EKK128R),424,2719927,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Esperanza,esperanza,Електричний чайник Esperanza Kettle Parana (EKK128R),,425,1,https://comfy.ua/jelektricheskij-chajnik-esperanza-kettle-parana-ekk128r.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1644368927,6943146,AENO,Электрочайник AENO EK8S,2799,2787925,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические AENO,aeno,Електричний чайник AENO EK8S (AEK0008S),,2799,1,https://comfy.ua/jelektricheskij-chajnik-aeno-ek8s-aek0008s.html,3619,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1644369293,7061038,PEUGEOT,Мельница для соли PEUGEOT Line 18 см Серебристый (39912),3110,2717752,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot 18 см 39912,,3110,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-18-sm-39912.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1644369294,7088098,PEUGEOT,Мельница для перца PEUGEOT Line 18 см Beige/Silver (39905),3110,2717751,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot 18 см 39905,,3110,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-18-sm-39905.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1644383183,,,,,.2765783,Техника для дома >> Аксессуары к мелкой технике,slon,Мішок для пилососа багаторазовий Слон L-02 C-I,,169,1,https://comfy.ua/meshok-dlja-pylesosa-mnogorazovyj-slon-l-02-c-i.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1644406059,,,,,2762143,Смартфоны и телефоны >> Аксессуары для смартфонов,essager,Мережевий зарядний пристрій Essager 33W GaN Digital Display Travel Charger A+C EU White (ECTCA-LYB02-Z),,649,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-essager-33w-gan-digital-display-travel-charger-a-c-eu-white-ectca-lyb02-z.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1644407951,,,,,.2762142,Смартфоны и телефоны >> Аксессуары для смартфонов,essager,Мережевий зарядний пристрій Essager 65W Travel Phone Charger USB A + 2 Type C EU Black (ECT2CA-JZB01-Z),,1399,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-essager-65w-travel-phone-charger-usb-a-2-type-c-eu-black-ect2ca-jzb01-z.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
