1644721002,column,column,column,column,2780171,__________smeg,smeg,_smeg_bcc11whmeu,column,28799,1,httpscomfyuakofemashinasmegbcc11whmeuhtml,column,05112025_1736,column,__42,Фастів,0
1644720859,6938389,ARMORSTANDART,Фонарь-брелок ARMORSTANDART LED mini COB Black (ARM71094),189,2777161,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Armorstandart",armorstandart,Ліхтар Armorstandart LED mini COB Black (ARM71094),,189,1,https://comfy.ua/fonar-armorstandart-led-mini-cob-black-arm71094.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1644721002,,,,,2780171,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Smeg,smeg,Кавомашина Smeg BCC11WHMEU,,28799,1,https://comfy.ua/kofemashina-smeg-bcc11whmeu.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1644721003,,,,,.2781221,Техника для кухни >> Мир кофе,smeg,Кавомашина Smeg BCC12BLMEU,,33599,1,https://comfy.ua/kofemashina-smeg-bcc12blmeu.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1644721260,,,,,.2786171,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",werk,Запаска до валика для чистки одягу Werk 2 шт. (WLF-12),,125,1,https://comfy.ua/zapaska-k-valiku-dlja-chistki-odezhdy-werk-2-sht-wlf-12.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1644721261,,,,,2786172,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",werk,Запаска до валика для чистки одягу Werk 2 шт. (WLF-12-C),,125,1,https://comfy.ua/zapaska-k-valiku-dlja-chistki-odezhdy-werk-2-sht-wlf-12-c.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1644721685,,,,,2762133,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель 3.5 мм -3.5 мм Essager AUX Cable 3.5mm Jack Audio Cable 3.5 mm Jack Hifi Aux 1.5m (EYP35-WTA01),,169,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-essager-aux-cable-3-5mm-jack-audio-cable-3-5-mm-jack-hifi-aux-1-5m-eyp35-wta01.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1644721687,,,,,2764034,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель 3.5 мм -3.5 мм Essager Monster Aux Cable Speaker Wire 3.5mm Jack Audio Cable For Car Headphone Adapter Male Jack to Jack 3.5 mm 0.5m Blue (EYP35-DYB0G),,119,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-essager-monster-aux-cable-speaker-wire-3-5mm-jack-audio-cable-for-car-headphone-adapter-male-jack-to-jack-3-5-mm-0-5m-blue-eyp35-dyb0g.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1644721688,,,,,.2678622,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Nimble Micro-Lightning 0.23м Black CALMBJ-01,,69,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-nimble-micro-lightning-0-23m-black-calmbj-01.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1644722874,,,,,2764035,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель 3.5 мм -3.5 мм Essager Monster Headphone Extension Cable Jack 3.5mm Audio Aux Cable 3.5 mm Female Splitter Adapter 1m (EYPY35-MY0G),,159,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-essager-monster-headphone-extension-cable-jack-3-5mm-audio-aux-cable-3-5-mm-female-splitter-adapter-1m-eypy35-my0g.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1644722875,,,,,2678641,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Superior Series Fast Charging Type-C to Lightning PD 20W 1m Red (CATLYS-A09),,229,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-superior-series-fast-charging-type-c-to-lightning-pd-20w-1m-red-catlys-a09.html,,05.11.2025 22:08,,"вул. Соборна, 42",Фастів,0
1644722876,,,,,.2764022,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Rousseau 3A Fast Charging USB Type C Cable 3m Black (EXCT-LSC01),,259,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-rousseau-3a-fast-charging-usb-type-c-cable-3m-black-exct-lsc01.html,,05.11.2025 22:15,,"вул. Соборна, 42",Фастів,0
1644722918,,,,,.2764032,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager LED Light USB Charging & Data Cable Type-C 3A 2M Black (EXCT-XGA0G),,169,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-led-light-usb-charging-data-cable-type-c-3a-2m-black-exct-xga0g.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1644722919,,,,,2775081,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель USB type A - USB type A Essager USB Extension Cable USB 3.0 Male to Male 5Gbps speed 2M Black (EXCAA-YTD01),,269,1,https://comfy.ua/kabel-usb-type-a-usb-type-a-essager-usb-extension-cable-usb-3-0-male-to-male-5gbps-speed-2m-black-excaa-ytd01.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1644722920,,,,,2775082,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель USB type A - USB type A Essager USB Extension Cable USB 3.0 Male to Female 2M (EXCAM-YTC01),,269,1,https://comfy.ua/kabel-usb-type-a-usb-type-a-essager-usb-extension-cable-usb-3-0-male-to-female-2m-excam-ytc01.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
