1644728925,column,column,column,column,2580150,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_matte_for_motorola_e20_arm62556,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartmatteformotorolae20arm62556html,column,05112025_2030,column,__42,Фастів,0
1644728597,,,,,.2763935,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Захисне скло для смартфону Gelius Full Cover Ultra-Thin 0.25mm for Samsung A125 (A12)/M127 (M12) Black (88708),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-gelius-full-cover-ultra-thin-0-25mm-for-samsung-a125-a12-m127-m12-black-88708.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1644728600,,,,,.2763941,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Захисне скло для смартфону Gelius Full Cover Ultra-Thin 0.25mm for Samsung A057 (A05S) Black (95709),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-gelius-full-cover-ultra-thin-0-25mm-for-samsung-a057-a05s-black-95709.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1644728603,,,,,.2777123,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Realme 11 Pro+ (ARM69174),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-realme-11-pro-arm69174.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1644728721,,,,,.2585888,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Nokia G10 (ARM63489),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-nokia-g10-arm63489.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1644728729,,,,,.2571980,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for ZTE Blade V40s (ARM68872),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-zte-blade-v40s-arm68872.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1644728740,,,,,2741720,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов BeCover,becover,Ремінець для фітнес-браслету BeCover Crystal Style for Huawei Band 7/Honor Band 7 Green (709430),,185,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-crystal-style-for-huawei-band-7-honor-band-7-green-709430.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1644728771,,,,,.2553033,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Vivo Y77 (ARM62567),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-vivo-y77-arm62567.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1644728917,,,,,2741414,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов BeCover,becover,Ремінець для фітнес-браслету BeCover Metal for Xiaomi Mi Smart Band 8 Black (709357),,349,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-metal-for-xiaomi-mi-smart-band-8-black-709357.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1644728921,,,,,.2585724,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart for Tecno Spark 8P (KG7n) (ARM61118),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-tecno-spark-8p-kg7n-arm61118.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1644728925,,,,,.2580150,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart Matte for Motorola E20 (ARM62556),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-motorola-e20-arm62556.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1644728926,,,,,.2585896,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Nokia G11 Plus (ARM65124),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-nokia-g11-plus-arm65124.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1644728928,,,,,2584802,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Redmi Note 11 (ARM61163),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-redmi-note-11-arm61163.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1644728929,,,,,.2571472,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Realme 10 Pro 5G (ARM66403),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-realme-10-pro-5g-arm66403.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1644729066,,,,,.2571455,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Motorola G72 (ARM63948),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-motorola-g72-arm63948.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1644729067,,,,,.2584780,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Xiaomi Redmi 12 4G (ARM66577),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-xiaomi-redmi-12-4g-arm66577.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
