1644736137,column,column,column,column,2760958,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,____xoko_full_cover_ultrathin_025_oppo_a54sa54_black_2__xkfcuopa54,column,299,1,httpscomfyuazaschitnoesteklodljasmartfonaxokofullcoverultrathin025mmoppoa54sa54black2shtxkfcuopa54html,column,05112025_2049,column,__42,Фастів,0
1644735772,,,,,.2769215,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Фотопапір А3 Canon Plus PP-201 20 шт. (2311B020),,1199,1,https://comfy.ua/fotobumaga-a3-canon-plus-pp-201-20-sht-2311b020.html,1289,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1644736137,,,,,.2760958,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Захисне скло для смартфону XOKO Full Cover Ultra-Thin 0.25мм Oppo A54s/A54 Black 2 шт. (XK-FCU-OP-A54),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-xoko-full-cover-ultra-thin-0-25mm-oppo-a54s-a54-black-2-sht-xk-fcu-op-a54.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1644736140,,,,,.2760842,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Clear + Matte for Samsung S23 / S22 5G (ARM66862),,299,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-clear-matte-for-samsung-s23-s22-5g-arm66862.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1644738389,,,,,.2567346,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшета Armorstandart Anti-Blue for Teclast T40 Pro 10.4 (ARM66891),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-teclast-t40-pro-10-4-arm66891.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
1644738390,,,,,.2584801,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Redmi Note 11 (ARM61247),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-redmi-note-11-arm61247.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1644738394,,,,,.2567345,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшета Armorstandart for Teclast T40 Pro 10.4 (ARM66884),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-teclast-t40-pro-10-4-arm66884.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
1644738417,,,,,2670397,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Vittora,vittora,Чайна ложка Vittora VT-S-01-4/1,,36,1,https://comfy.ua/chajnaja-lozhka-vittora-vt-s-01-4-1.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1644738436,,,,,2234073,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Ложка кавова Sola 11.1 см 11LAUS307,,139,1,https://comfy.ua/kofejnaja-lozhka-sola-11-1-sm-11laus307.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1644738702,6862463,RINGEL,Набор вилок Ringel Taurus 3 шт. (RG-3111-3/9),206,2696353,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір виделок десертних Ringel Taurus 3 шт. (RG-3111-3/9),,206,1,https://comfy.ua/nabor-vilok-desertnyh-ringel-taurus-3-sht-rg-3111-3-9.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1644738703,6862458,RINGEL,Набор чайных ложек Ringel Taurus 3 шт. (RG-3111-3/4),199,2696348,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір чайних ложок Ringel Taurus 3 шт. (RG-3111-3/4),,199,1,https://comfy.ua/nabor-chajnyh-lozhek-ringel-taurus-3-sht-rg-3111-3-4.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1644738705,6862462,RINGEL,Набор вилок RINGEL Taurus 3 шт (RG-3111-3/8),268,2696352,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір виделок десертних Ringel Taurus 3 шт. (RG-3111-3/8),,269,1,https://comfy.ua/nabor-vilok-stolovyh-ringel-taurus-3-sht-rg-3111-3-8.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1644739308,6862456,RINGEL,Набор столовых ложек RINGEL Taurus 3 шт (RG-3111-3/2),299,2696346,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір ложок столових Ringel Taurus 3 шт. (RG-3111-3/2),,299,1,https://comfy.ua/nabor-lozhek-stolovyh-ringel-taurus-3-sht-rg-3111-3-2.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1644739313,6862461,RINGEL,Набор ложек RINGEL Taurus 3 шт (RG-3111-3/7),328,2696351,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір ложок десертних Ringel Taurus 3 шт. (RG-3111-3/7),,329,1,https://comfy.ua/nabor-vilok-desertnyh-ringel-taurus-3-sht-rg-3111-3-7.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1644739322,6862455,RINGEL,Набор столовых ножей RINGEL Taurus 3 шт (RG-3111-3/1),358,2696345,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір ножів столових Ringel Taurus 3 шт. (RG-3111-3/1),,359,1,https://comfy.ua/nabor-nozhej-stolovyh-ringel-taurus-3-sht-rg-3111-3-1.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1644739352,6862460,RINGEL,Набор десертных ножей RINGEL Taurus 3 шт (RG-3111-3/6),274,2696350,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір ножів десертних Ringel Taurus 3 шт. (RG-3111-3/6),,275,1,https://comfy.ua/nabor-nozhej-desertnyh-ringel-taurus-3-sht-rg-3111-3-6.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1644739694,6862468,RINGEL,Набор ножей RINGEL Elegance Classic 4 шт (RG-3121-4/1),452,2696358,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір ножів столових Ringel Elegance Classic 4 шт. (RG-3121-4/1),,325,1,https://comfy.ua/nabor-nozhej-stolovyh-ringel-elegance-classic-4-sht-rg-3121-4-1.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1644739696,6883131,RINGEL,Набор чайных ложек RINGEL Promo 12 шт (RG-3101-12/4b),379,2696362,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір чайних ложок Ringel Promo 12 шт. (RG-3101-12/4b),,415,1,https://comfy.ua/nabor-chajnyh-lozhek-ringel-promo-12-sht-rg-3101-12-4b.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1644739704,6862450,RINGEL,Набор столовых вилок RINGEL Mainz 6 шт (RG-3122-6/3),575,2696344,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір виделок столових Ringel Mainz 6 шт. (RG-3122-6/3),,575,1,https://comfy.ua/nabor-vilok-stolovyh-ringel-mainz-6-sht-rg-3122-6-3.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1644739705,6883129,RINGEL,Набор столовых ложек RINGEL Promo 12 шт (RG-3101-12/2b),559,2696360,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір ложок столових Ringel Promo 12 шт. (RG-3101-12/2b),,559,1,https://comfy.ua/nabor-lozhek-stolovyh-ringel-promo-12-sht-rg-3101-12-2b.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1644739706,6883130,RINGEL,Набор столовых вилок RINGEL Promo 12 шт (RG-3101-12/3b),559,2696361,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір виделок столових Ringel Promo 12 шт. (RG-3101-12/3b),,559,1,https://comfy.ua/nabor-vilok-stolovyh-ringel-promo-12-sht-rg-3101-12-3b.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1644739707,6883132,RINGEL,Набор столовых ножей RINGEL Promo 12 шт (RG-3101-12/1b),785,2696363,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ringel,ringel,Набір ножів столових Ringel Promo 12 шт. (RG-3101-12/1b),,785,1,https://comfy.ua/nabor-nozhej-stolovyh-ringel-promo-12-sht-rg-3101-12-1b.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1644755289,,,,,.2692559,Инструменты и автотовары >> Ручные инструменты,milwaukee,Торцева голівка Milwaukee ShW 1/2 13 шт. (4932480456),,2499,1,https://comfy.ua/torcevaja-golovka-milwaukee-shw-1-2-13-sht-4932480456.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
1644788393,,,,,2726484,Дом и отдых >> Хранение и уход за одеждой >> Аксессуары для стирки и глажки >> Аксессуары для стирки и глажки Maxpro,maxpro,Набір мішків для прання MAXPRO 7 шт. (KM -31),,599,1,https://comfy.ua/nabor-meshkov-dlja-stirki-maxpro-7-sht-km-31.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1644788671,,,,,2726481,Дом и отдых >> Хранение и уход за одеждой >> Аксессуары для стирки и глажки >> Аксессуары для стирки и глажки Maxpro,maxpro,Набір мішків для прання MAXPRO LUX 6 шт. (KM -11),,599,1,https://comfy.ua/nabor-meshkov-dlja-stirki-maxpro-lux-6-sht-km-11.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1644798768,6951545,KARCHER,Пароочиститель KARCHER SC 2 EasyFix (1.512-600.0),5999,2788094,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SC 2 EasyFix (1.512-600.0),,5999,1,https://comfy.ua/paroochistitel-karcher-sc-2-easyfix-1-512-600-0.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1644798772,6951547,KARCHER,Пароочиститель KARCHER SC 3 EasyFix (1.513-650.0),8999,2788095,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SC 3 EasyFix (1.513-650.0),,8999,1,https://comfy.ua/paroochistitel-karcher-sc-3-easyfix-1-513-650-0.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1644812217,7052082,TP-LINK,Датчик протечки воды TP-Link Tapo T300 868Mhz (TAPO-T300),699,2784313,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности TP-Link,tp-link,Бездротовий датчик виявлення затоплення TP-Link Tapo T300,,799,1,https://comfy.ua/besprovodnoj-datchik-obnaruzhenija-zatoplenija-tp-link-tapo-t300.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1644812225,,,,,2784930,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности Ajax,ajax,Бездротовий датчик витоку газу Ajax FireProtect 2 RB CO (000034668),,3569,1,https://comfy.ua/besprovodnoj-datchik-utechki-gaza-ajax-fireprotect-2-rb-co-000034668.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1644812229,,,,,2784932,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности Ajax,ajax,Бездротовий датчик витоку газу Ajax FireProtect 2 SB CO (000035052),,3959,1,https://comfy.ua/besprovodnoj-datchik-utechki-gaza-ajax-fireprotect-2-sb-co-000035052.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1644812234,,,,,2784931,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности Ajax,ajax,Бездротовий датчик витоку газу Ajax FireProtect 2 SB CO (000035051),,3959,1,https://comfy.ua/besprovodnoj-datchik-utechki-gaza-ajax-fireprotect-2-sb-co-000035051.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1644849495,,,,,2778281,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Чохол для ноутбуку Trust Primo Sleeve 11.6” Black (21254),,379,1,https://comfy.ua/chehol-dlja-noutbuka-trust-primo-sleeve-11-6-black-21254.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
