1644867140,column,column,column,column,2383625,Бытовая химия >> Средства для стирки,ariel,__ariel____lenor__81,column,859,1,httpscomfyuastiralnyjporoshokarielakvapudraprikosnoveniesvezhestilenoravt81kghtml,1066,05112025_1908,column,__42,Фастів,0
1644867139,,,,,2383624,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки Ariel,ariel,"Пральний порошок Ariel Аква-Пудра Колор авт. 8,1кг",,859,1,https://comfy.ua/stiral-nyj-poroshok-ariel-akva-pudra-kolor-avt-8-1kg.html,1549,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,3
1644867140,,,,,2383625,Бытовая химия >> Средства для стирки,ariel,"Пральний порошок Ariel Аква-Пудра Дотик свіжості Lenor авт. 8,1кг",,859,1,https://comfy.ua/stiral-nyj-poroshok-ariel-akva-pudra-prikosnovenie-svezhesti-lenor-avt-8-1kg.html,1066,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1644867157,6931342,SENCOR,Зубная щетка SENCOR SOC 4201GD (41018272),1899,2784044,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Sencor,sencor,Зубна щітка електрична Sencor SOC 4201GD,,1899,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-sencor-soc-4201gd.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1644867158,6931341,SENCOR,Зубная щетка SENCOR SOC 4200BL,1899,2784043,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Sencor,sencor,Зубна щітка електрична Sencor SOC 4200BL,,1899,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-sencor-soc-4200bl.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1644867159,6930905,ORAL-B,Электрическая зубная щетка ORAL-B 16464 Braun Pro Series 1 Blue,2909,2700215,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oral-B,oral-b,Зубна щітка електрична Oral-B Braun Pro1 D305.513.3 Caribbean Blue,,1799,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-oral-b-braun-pro1-d305-513-3-caribbean-blue.html,2849,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1644867570,,,,,2769470,Инструменты и автотовары >> Электроинструменты >> Фены технические >> Фены технические Milwaukee,milwaukee,Технічний фен Milwaukee M18 BHG-0 (4933459771),,6699,1,https://comfy.ua/sadovyj-pylesos-milwaukee-m18-bhg-0-4933459771.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1644868251,7066857,LIONELO,Коляска прогулочная LIONELO  NATT GREY STONE (LO-NATT GREY STONE),8974,2777789,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Natt Grey Stone,,9119,1,https://comfy.ua/koljaska-progulochnaja-lionelo-natt-grey-stone.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1644868756,,,,,2787942,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP Games: Pokemon - Eevee (EMEA) (5908305241515),,695,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-games-pokemon-eevee-emea-5908305241515.html,,06.11.2025 0:27,,"вул. Соборна, 42",Фастів,0
1644868757,,,,,2787944,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP Games: Pokemon - Charmander - EMEA (5908305242451),,719,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-games-pokemon-charmander-emea-5908305242451.html,,06.11.2025 0:09,,"вул. Соборна, 42",Фастів,0
1644868758,,,,,2787941,Детские товары >> Игрушки,funko,Колекційна фігурка FUNKO POP Disney: Villains - Maleficent (5908305240563),,719,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-disney-villains-maleficent-5908305240563.html,,05.11.2025 23:43,,"вул. Соборна, 42",Фастів,0
