1645896742,column,column,column,column,2791375,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,____gelius_odyssey_gpwch010_15w_black,column,1999,1,httpscomfyuaderzhateldljamobilnogoustrojstvageliusodysseygpwch01015wblackhtml,column,05112025_1722,column,__42,Фастів,0
1645895088,6947435,ROWENTA,Робот-пылесос ROWENTA X-Plorer Serie 75 S+ RR8597WH,14999,2786619,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Rowenta,rowenta,Робот-пилосос миючий Rowenta RR8597WH,,14999,1,https://comfy.ua/robot-pylesos-mojuschij-rowenta-rr8597wh.html,29999,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1645896742,,,,,2791375,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Автотримач з бездротовою зарядкою Gelius Odyssey GP-WCH010 15W Black,,1999,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-gelius-odyssey-gp-wch010-15w-black.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1645898692,6952405,UFESA,Кофеварка UFESA CE7244 BRESCIA (71705061),4299,2791327,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Ufesa,ufesa,Кавоварка ріжкова Ufesa CE7244 BRESCIA (71705061),,4299,1,https://comfy.ua/kofevarka-rozhkovaja-ufesa-ce7244-brescia-71705061.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1645898693,6952408,UFESA,Кофеварка UFESA Monza (71705461),3799,2791326,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Ufesa,ufesa,Кавоварка ріжкова Ufesa MONZA (71705461),,3999,1,https://comfy.ua/kofevarka-rozhkovaja-ufesa-monza-71705461.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1645898699,6952409,UFESA,Кофеварка UFESA Treviso (71705670),3799,2791349,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Ufesa,ufesa,Кавоварка ріжкова Ufesa TREVISO (71705670),,3799,1,https://comfy.ua/kofevarka-rozhkovaja-ufesa-treviso-71705670.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1645898701,6952406,UFESA,Кофеварка UFESA CE8020 Capri (71705062),4499,2791347,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Ufesa,ufesa,Кавоварка ріжкова Ufesa CE8020 (71705062),,4499,1,https://comfy.ua/kofevarka-rozhkovaja-ufesa-ce8020-71705062.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1645898703,,,,,2789187,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Gaggia,gaggia,Кавоварка ріжкова Gaggia EG2111/03 Espresso Style Red,,7999,1,https://comfy.ua/kofevarka-rozhkovaja-gaggia-eg2111-03-espresso-style-red.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1645898704,6952407,UFESA,Кофеварка UFESA CE8030 MILAZZO (71705063),4499,2791348,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Ufesa,ufesa,Кавоварка ріжкова Ufesa CE8030 (71705063),,4499,1,https://comfy.ua/kofevarka-rozhkovaja-ufesa-ce8030-71705063.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1645898705,,,,,2789188,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Gaggia,gaggia,Кавоварка ріжкова Gaggia EG2111/64 Espresso De Luxe Grey,,8999,1,https://comfy.ua/kofevarka-rozhkovaja-gaggia-eg2111-64-espresso-de-luxe-grey.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1645898706,,,,,2789189,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Gaggia,gaggia,Кавоварка ріжкова Gaggia EG2111/66 Espresso De Luxe Green,,8999,1,https://comfy.ua/kofevarka-rozhkovaja-gaggia-eg2111-66-espresso-de-luxe-green.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
