1646332701,6939308,granado,_granado_nueno_white_gel_gbs0705g,4590,2765444,_____________granado,granado,___granado_nueno_white_gel,column,4589,1,httpscomfyuarakovinadljavannojgranadonuenowhitegelhtml,column,05112025_1959,column,__42,Фастів,0
1646058790,6950968,TIANDY,IP-камера TIANDY TC-C34HS,4240,2801123,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры Tiandy",tiandy,IP-камера Tiandy TC-C34HS,,3599,1,https://comfy.ua/ip-kamera-tiandy-tc-c34hs.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1646058792,6950973,TIANDY,IP-камера TIANDY TC-C34WP,7095,2801125,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры Tiandy",tiandy,IP-камера Tiandy TC-C34WP,,6139,1,https://comfy.ua/ip-kamera-tiandy-tc-c34wp.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1646193476,,,,,.2540351,"Аудио, фото и видео >> Аксессуары для фото, видео",pkcell,Акумулятор тип AA PKCELL HR06/AA 600mAh NiMH 2 шт. (PC/AA600-2BR),,105,1,https://comfy.ua/akkumuljator-tip-aa-pkcell-hr06-aa-600mah-nimh-2-sht-pc-aa600-2br.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1646195197,,,,,2312434,Игровые консоли и гейминг >> Игры,nintendo,Ігровий картридж Nintendo Mario Golf: Super Rush [Nintendo Switch],,1999,1,https://comfy.ua/igrovoj-kartridzh-nintendo-mario-golf-super-rush-nintendo-switch-1.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1646263725,,,,,2312461,Игровые консоли и гейминг >> Игры >> Игры для Nintendo >> Игры для Nintendo Nintendo,nintendo,Ігровий картридж Nintendo Minecraft [Nintendo Switch],,1799,1,https://comfy.ua/igrovoj-kartridzh-nintendo-minecraft-nintendo-switch-1.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1646263978,6939761,SONY,Гарнитура SONY WH-1000XM5 Midnight Blue (WH1000XM5L.CE7),15499,2776129,"Аудио, фото и видео >> Наушники >> Наушники Sony",sony,Навушники повнорозмірні бездротові Sony WH-1000XM5 Blue (WH1000XM5L.CE7),,15499,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-sony-wh-1000xm5-blue-wh1000xm5l-ce7.html,17799,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1646308839,6893330,XIAOMI,Массажер для шеи XIAOMI Jeeback Neck massager G20 White,1799,2704782,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Enchen,enchen,Масажер для шиї Enchen Jeeback G20,,1799,1,https://comfy.ua/massazher-dlja-shei-enchen-jeeback-g20.html,2799,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1646326018,6933906,BLUETTI,Солнечная панель BLUETTI PV350 350 Вт,21499,2268982,Энергообеспечение >> Солнечные панели,bluetti,Портативна сонячна панель Bluetti 350W PV350,,29999,1,https://comfy.ua/portativnaja-solnechnaja-panel-bluetti-350w-pv350.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1646332701,6939308,GRANADO,Раковина GRANADO Nueno White gel (gbs0705g),4590,2765444,Дом и отдых >> Сантехника >> Раковины и умывальники >> Раковины и умывальники GRANADO,granado,Раковина для ванної GRANADO Nueno White Gel,,4589,1,https://comfy.ua/rakovina-dlja-vannoj-granado-nueno-white-gel.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1646332703,6939305,GRANADO,Раковина GRANADO Potes White gel (gbs0905g),4590,2765445,"Дом, отдых и зоотовары >> Сантехника >> Раковины и умывальники >> Раковины и умывальники GRANADO",granado,Раковина для ванної GRANADO Potes White Gel,,4589,1,https://comfy.ua/rakovina-dlja-vannoj-granado-potes-white-gel.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
