1646459090,6941679,twinkly,_twinkly_smart_led_twinkly_strings_rgbw_600_gen_ii_tws600sppbeu,10989,2710546,_____new_year_______twinkly,twinkly,__twinkly_smart_led_strings_rgbw_600_gen_ii_ip44_48____tws600sppbeu,column,10989,1,httpscomfyuagirljandalinejnajatwinklysmartledstringsrgbw600geniiip4448mkabelchernyjtws600sppbeuhtml,column,05112025_2003,column,__42,Фастів,0
1646485540,,,,,.2409477,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Точка доступу Ruijie Reyee RG-RAP2260(H),,12939,1,https://comfy.ua/tochka-dostupa-ruijie-reyee-rg-rap2260-h.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1646487845,6926892,DANFOSS,Терморегулятор DANFOSS Icon2 RT Display White (088U2125),4775,2394953,Техника для дома >> Климатическая техника >> Терморегуляторы >> Терморегуляторы Danfoss,danfoss,Терморегулятор Danfoss Icon2 RT (088U2125),,4775,1,https://comfy.ua/termoreguljator-danfoss-icon2-rt-088u2125.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1646515910,,,,,.2525656,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Sony 19.5V 4.7A 90W 6.5х4.4мм + каб.живл. (LSONY90/19,5-6,5*4,4/01789)",,379,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-sony-19-5v-4-7a-90w-6-5h4-4mm-kab-pit-lsony90-19-5-6-5-4-4-01789.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1646520032,,,,,2724062,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Lessner,lessner,"Каструля Lessner Buono 3,15 л (55881-20)",,1255,1,https://comfy.ua/kastrjulja-lessner-buono-3-15-l-55881-20.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1646520114,6948157,IIYAMA,Монитор IIYAMA XU2492HSU-B6,4766,2802726,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA XU2492HSU-B6,,4765,1,https://comfy.ua/monitor-iiyama-xu2492hsu-b6.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1646522101,,,,,2724064,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Lessner,lessner,"Каструля Lessner Buono 6,55 л (55881-24)",,1589,1,https://comfy.ua/kastrjulja-lessner-buono-6-55-l-55881-24.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1646537196,,,,,.1985913,Посуда >> Кухонные аксессуары,wilmax,Набір ємностей для спецій і приправ Wilmax 4 пр. (WL-996005 / SP),,260,1,https://comfy.ua/nabor-emkostej-dlja-specij-i-priprav-wilmax-4-pr-wl-996005-sp.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1646541894,6948283,BRAUN,Утюг BRAUN TexStyle 9 SI9661VI (0127409001),5699,2797504,Техника для дома >> Мелкая техника >> Утюги >> Утюги Braun,braun,Праска Braun SI 9661 VI,,4599,1,https://comfy.ua/utjug-braun-si-9661-vi.html,5599,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1646547013,,,,,.2806071,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Точка доступу Ruijie RG-RAP1261,,6459,1,https://comfy.ua/tochka-dostupa-ruijie-rg-rap1261.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1646547082,,,,,.2806073,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Точка доступу Ruijie RG-RAP6202(G),,9879,1,https://comfy.ua/tochka-dostupa-ruijie-rg-rap6202-g.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
