1646658650,column,column,column,column,2807466,Смартфоны и телефоны >> Мобильные телефоны,ergo,__ergo_r231_dual_sim_black,column,819,1,httpscomfyuamobilnyjtelefonergor231dualsimblackhtml,column,05112025_1721,column,__42,Фастів,0
1646459079,6941677,TWINKLY,Гирлянда TWINKLY Smart LED Twinkly Dots Lights RGB 400 Gen II (TWD400STP-TEU),6909,2710545,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Twinkly",twinkly,Гірлянда лінійна Twinkly Smart LED Dots Lights RGB 400 Gen II IP44 20 м кабель прозорий (TWD400STP-TEU),,6909,1,https://comfy.ua/girljanda-linejnaja-twinkly-smart-led-dots-lights-rgb-400-gen-ii-ip44-20-m-kabel-prozrachnyj-twd400stp-teu.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1646459090,6941679,TWINKLY,Гирлянда TWINKLY Smart LED Twinkly Strings RGBW 600 Gen II (TWS600SPP-BEU),10989,2710546,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Twinkly",twinkly,Гірлянда лінійна Twinkly Smart LED Strings RGBW 600 Gen II IP44 48 м кабель чорний (TWS600SPP-BEU),,10989,1,https://comfy.ua/girljanda-linejnaja-twinkly-smart-led-strings-rgbw-600-gen-ii-ip44-48-m-kabel-chernyj-tws600spp-beu.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1646485532,,,,,.2409475,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Точка доступу Ruijie RG-EW1200R,,1999,1,https://comfy.ua/tochka-dostupa-ruijie-rg-ew1200r.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1646485883,,,,,2770648,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика F&D",fd,Акустична система стаціонарна F&D F190X Black,,3969,1,https://comfy.ua/akusticheskaja-sistema-stacionarnaja-f-d-f190x-black.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1646515320,,,,,.2553720,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Acer 19V 2.15A 40W 5.5х1.7мм + каб.живл. (LAC40/19-5,5*1.7/19386)",,429,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-acer-19v-2-15a-40w-5-5h1-7mm-kab-pit-lac40-19-5-5-1-7-19386.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1646516984,6930339,ARDESTO,"Кастрюля ARDESTO Gemini Anzio 4,4 л Black (AR2424GE)",968,2691312,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ardesto,ardesto,"Каструля Ardesto Gemini Anzio 4,4 л (AR2424GE)",,968,1,https://comfy.ua/kastrjulja-ardesto-gemini-anzio-4-4-l-ar2424ge.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1646520033,,,,,2724063,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Lessner,lessner,"Каструля Lessner Buono 4,7 л (55881-22)",,1380,1,https://comfy.ua/kastrjulja-lessner-buono-4-7-l-55881-22.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1646521890,6937911,LOGITECH,Гарнитура LOGITECH PRO X 2 LIGHTSPEED Wireless Gaming Magenta (981-001275),10999,2750398,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура бездротова ігрова Logitech G PRO X 2 LightSpeed Wireless Magenta (981-001275),,10999,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-logitech-g-pro-x-2-lightspeed-wireless-magenta-981-001275.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1646528811,6947407,BENQ,Монитор BENQ SW272Q (9H.LLPLB.QBE),39905,2800130,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор BenQ SW272Q (9H.LLPLB.QBE),,39905,1,https://comfy.ua/monitor-benq-sw272q-9h-llplb-qbe.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1646537324,6947898,ARDESTO,Мультиварка ARDESTO MC-P17DGDF,2899,2797449,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Ardesto,ardesto,Мультиварка Ardesto MC-P17DGDF,,2899,1,https://comfy.ua/mul-tivarka-ardesto-mc-p17dgdf.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1646547012,,,,,.2806075,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Точка доступу Ruijie RG-EST100-E,,3299,1,https://comfy.ua/tochka-dostupa-ruijie-rg-est100-e.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1646547080,,,,,.2806072,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Точка доступу Ruijie RG-RAP2266,,8899,1,https://comfy.ua/tochka-dostupa-ruijie-rg-rap2266.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1646548634,6931373,F&D,Колонки F&D T-60X Pro,10079,2770649,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика F&D",fd,Акустична система стаціонарна F&D T-60X Pro,,10079,1,https://comfy.ua/akusticheskaja-sistema-stacionarnaja-f-d-t-60x-pro.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1646586743,6870654,VIVA,Банка VIVA DAILY с ложкой 250 мл (S250-H),61,2717923,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Viva,viva,Ємність для зберігання Viva Daily 250 мл для меду (S250-H),,79,1,https://comfy.ua/emkost-dlja-hranenija-viva-daily-250-ml-dlja-meda-s250-h.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1646592412,,,,,2806035,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Hisense,hisense,Мікрохвильова піч (НВЧ) Hisense H23MOMS5HG,,4445,1,https://comfy.ua/mikrovolnovaja-pech-svch-hisense-h23moms5hg.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1646604153,6344587,TRAMONTINA,Нож универсальный TRAMONTINA Dynamic 12.7 см (22321/705),99,1209110,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж кухонний Tramontina Dynamic 127 мм (22321/705),,111,1,https://comfy.ua/nozh-kuhonnyj-tramontina-dynamic-127-mm-22321-705.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1646614061,7130606,RUIJIE,Wi-Fi роутер RUIJIE Mesh M18 (RG-M18),4399,2806064,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Ruijie",ruijie,MESH система WiFi6 Ruijie RG-M18,,5499,1,https://comfy.ua/mesh-sistema-wifi6-ruijie-rg-m18.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1646620980,,,,,.2799401,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",wacom,Графічний планшет Wacom One S Bluetooth (CTC4110WLW1B),,6199,1,https://comfy.ua/graficheskij-planshet-wacom-one-s-bluetooth-ctc4110wlw1b.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1646622384,,,,,2807423,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",asus,Ноутбук Asus Vivobook 15 X1502ZA-BQ1569 Quiet Blue,,23999,1,https://comfy.ua/noutbuk-asus-vivobook-15-x1502za-bq1569-quiet-blue.html,35999,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1646630211,,,,,2802773,Техника для кухни >> Крупная техника,daewoo,Варильна поверхня електрична Daewoo H6VS28M2ZGUA,,15894,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-daewoo-h6vs28m2zgua.html,18699,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1646636555,6948027,LIBERTON,Холодильник LIBERTON LRU 51-42H,3699,2797459,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Liberton,liberton,Холодильник Liberton LRU 51-42H,,3899,1,https://comfy.ua/holodil-nik-liberton-lru-51-42h.html,4499,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1646640467,6922949,INSPIRE,Светодиодная лента INSPIRE LED USB 5V 4W 4100К 1m 60led (J1M60-N),272,2769100,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники INSPIRE",inspire,Світлодіодна стрічка INSPIRE USB 5V 4W 4100К (J1M60-N),,275,1,https://comfy.ua/svetodiodnaja-lenta-inspire-usb-5v-4w-4100k-j1m60-n.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1646640470,6922950,INSPIRE,Светодиодная лента INSPIRE LED USB 5V 8W 4100К 1m 120led (J1M120-N),285,2769098,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники INSPIRE",inspire,Світлодіодна стрічка INSPIRE USB 5V 8W 4100К (J1M120-N),,285,1,https://comfy.ua/svetodiodnaja-lenta-inspire-usb-5v-8w-4100k-j1m120-n.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1646641379,6922955,INSPIRE,Светодиодная лента с датчиком движения INSPIRE LED USB 5V 3 м (Ins-6000-3m),485,2769104,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники INSPIRE",inspire,Світлодіодна стрічка INSPIRE USB 5V 12W 6000К (Ins-6000-3m),,485,1,https://comfy.ua/svetodiodnaja-lenta-inspire-usb-5v-12w-6000k-ins-6000-3m.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1646648951,,,,,2710643,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины ELEYUS,eleyus,Посудомийна машина окремостояча ELEYUS DWF 45024,,12599,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-eleyus-dwf-45024.html,15679,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1646653464,6939191,ARDESTO,Тарелка десертная ARDESTO Lecco 19.5 см Grey (AR2919LRG),99,2763743,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Ardesto,ardesto,"Тарілка десертна Ardesto Lecco 19,5 см (AR2919LRG)",,99,1,https://comfy.ua/tarelka-desertnaja-ardesto-lecco-19-5-sm-ar2919lrg.html,139,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1646654797,,,,,2806034,Техника для кухни >> Крупная техника,hisense,Мікрохвильова піч (НВЧ) Hisense H25MOBS7H,,4759,1,https://comfy.ua/mikrovolnovaja-pech-svch-hisense-h25mobs7h.html,5599,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1646654869,6939194,ARDESTO,Тарелка столовая мелкая ARDESTO Lecco 27 см Grey (AR2927LRG),169,2763740,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Ardesto,ardesto,Тарілка обідня Ardesto Lecco 27 см (AR2927LRG),,169,1,https://comfy.ua/tarelka-obedennaja-ardesto-lecco-27-sm-ar2927lrg.html,239,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1646657227,6967657,FREGGIA,Духовой шкаф FREGGIA OEHM611B,23199,2806322,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Freggia,freggia,Духова шафа електрична Freggia OEHM611B,,23199,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-freggia-oehm611b.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1646658650,,,,,2807466,Смартфоны и телефоны >> Мобильные телефоны,ergo,Мобільний телефон Ergo R231 Dual Sim Black,,819,1,https://comfy.ua/mobil-nyj-telefon-ergo-r231-dual-sim-black.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1646658986,,,,,.2763698,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for ZTE Blade A73 4G (ARM70661),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-zte-blade-a73-4g-arm70661.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1646658988,,,,,.2763937,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Захисне скло для смартфону Gelius Full Cover Ultra-Thin 0.25mm for Samsung S901 (S22)/S911 (S23) Black (92511),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-gelius-full-cover-ultra-thin-0-25mm-for-samsung-s901-s22-s911-s23-black-92511.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1646659361,,,,,.2797642,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade L220 (DV-ZT-BDAL220),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-l220-dv-zt-bdal220.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1646659362,,,,,.2797640,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade A31 матова (DV-ZT-BDAA31M),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-a31-matovaja-dv-zt-bdaa31m.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1646662365,,,,,.2737935,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Motorola ThinkPhone (ARM67922),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-motorola-thinkphone-arm67922.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1646662367,,,,,.2737938,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Infinix Hot 30 (X6831) (ARM68978),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-infinix-hot-30-x6831-arm68978.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1646662368,,,,,.2737946,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Motorola Moto Razr 40 Ultra (ARM69485),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-motorola-moto-razr-40-ultra-arm69485.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1646672201,,,,,2754904,Техника для дома >> Крупная техника,eleyus,Пральна машина ELEYUS WMFD 08 1200 I,,16999,1,https://comfy.ua/stiral-naja-mashina-eleyus-wmfd-08-1200-i.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1646673310,,,,,.2797415,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Honor Magic5 двостороння (DV-HNR-MG5FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-honor-magic5-dvohstoronnjaja-dv-hnr-mg5fb.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1646673335,,,,,.2797635,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Xiaomi redmi Note 12s двостороння (DV-XM-RMN12SFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-xiaomi-redmi-note-12s-dvustoronnjaja-dv-xm-rmn12sfb.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1646673336,,,,,.2797639,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade A31 двостороння (DV-ZT-BDAA31FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-a31-dvustoronnjaja-dv-zt-bdaa31fb.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1646673337,,,,,.2797631,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung S23 FE двостороння (DV-SM-S23FEFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-s23-fe-dvustoronnjaja-dv-sm-s23fefb.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1646673338,,,,,.2797643,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade L220 двостороння (DV-ZT-BDAL220FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-l220-dvustoronnjaja-dv-zt-bdal220fb.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1646673339,,,,,.2797438,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung A25 двостороння (DV-SM-A25FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-a25-dvohstoronnjaja-dv-sm-a25fb.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
