1646793874,column,column,column,column,2706994,Инструменты и автотовары >> Автотовары,mystery,_mystery_mbb206a,column,4889,1,httpscomfyuaavtosabvufermysterymbb206ahtml,column,05112025_2057,column,__42,Фастів,0
1646793530,7121631,SBABAM,Мягкая игрушка-сюрприз SBABAM Doki Doki Котята-единороги (159/CN21),115,2704206,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки #sbabam,sbabam,Колекційна м'яка іграшка #sbabam Doki Doki  – Кошенята-єдинороги (159/CN21),,89,1,https://comfy.ua/kollekcionnaja-mjagkaja-igrushka-sbabam-doki-doki-kotjata-edinorogi-159-cn21.html,125,05.11.2025 23:30,,"вул. Соборна, 42",Фастів,0
1646793874,,,,,2706994,Инструменты и автотовары >> Автотовары,mystery,Автосабвуфер Mystery MBB-206A,,4889,1,https://comfy.ua/avtosabvufer-mystery-mbb-206a.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1646793875,,,,,2706996,Инструменты и автотовары >> Автотовары,mystery,Автосабвуфер Mystery MBS-202A,,5099,1,https://comfy.ua/avtosabvufer-mystery-mbs-202a.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1646793876,,,,,2706993,Инструменты и автотовары >> Автотовары,mystery,Автосабвуфер Mystery MBS-212A,,5799,1,https://comfy.ua/avtosabvufer-mystery-mbs-212a.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1646794412,,,,,.2768137,Красота и здоровье >> Уход за лицом,xiaomi,Тример для носа і вух Xiaomi ShowSee Nose Hair Trimmer C1-BK Black (XSSNHT),,299,1,https://comfy.ua/trimmer-dlja-nosa-i-ushej-xiaomi-showsee-nose-hair-trimmer-c1-bk-black-xssnht.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1646795287,,,,,.2788024,Бытовая химия >> Средства для чистки техники,nivona,Фільтр для очистки води для кавомашини Nivona NIRF 701,,649,1,https://comfy.ua/fil-tr-dlja-ochistki-vody-dlja-kofemashiny-nivona-nirf-701.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1646795288,,,,,2786175,Бытовая химия >> Средства для чистки техники >> Средства для чистки кофемашин >> Средства для чистки кофемашин Zelmer,zelmer,Фільтр для очистки води для кавомашини Zelmer ZCMA 030F,,879,1,https://comfy.ua/fil-tr-dlja-ochistki-vody-dlja-kofemashiny-zelmer-zcma-030f.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1646795340,6932019,LUMINARC,Набор бокалов LUMINARC MENADES 4шт (V5961),477,2789141,Посуда >> Для сервировки >> Бокалы >> Бокалы Luminarc,luminarc,Набір келихів Luminarc Menades 4х360 мл (V5961),,1082,1,https://comfy.ua/nabor-bokalov-luminarc-menades-4h360-ml-v5961.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1646795341,6939887,C&S,Набор бокалов C&S SYMETRIE 160 мл 6 шт (V1375/1),671,2796637,Посуда >> Для сервировки >> Бокалы >> Бокалы C&S,cs,Набір келихів C&S Symetrie 6х160 мл (V1375/1),,1618,1,https://comfy.ua/nabor-bokalov-c-s-symetrie-6h160-ml-v1375-1.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1646795354,6939893,C&S,Набор бокалов C&S SYMETRIE 580 мл 6 шт (Q8707/1),1631,2796640,Посуда >> Для сервировки >> Бокалы >> Бокалы C&S,cs,Набір келихів C&S Symetrie 6х580 мл (Q8707/1),,2144,1,https://comfy.ua/nabor-bokalov-c-s-symetrie-6h580-ml-q8707-1.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1646795355,6939890,C&S,Набор бокалов C&S SYMETRIE 210 мл 6 шт (V1171/1),1733,2796639,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки C&S,cs,Набір келихів C&S Symetrie 6х210 мл (V1171/1),,2278,1,https://comfy.ua/nabor-bokalov-c-s-symetrie-6h210-ml-v1171-1.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1646795430,,,,,.2790043,Техника для кухни >> Мир кофе,gaggia,Кавомашина Gaggia RI9604/01 Cadorna Prestige OTC,,32999,1,https://comfy.ua/kofemashina-gaggia-ri9604-01-cadorna-prestige-otc.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1646795432,,,,,2790044,Техника для кухни >> Мир кофе,gaggia,Кавомашина Gaggia RI9781/01 New Accademia Glass BK,,69999,1,https://comfy.ua/kofemashina-gaggia-ri9781-01-new-accademia-glass-bk.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1646799124,,,,,2754825,Инструменты и автотовары >> Автотовары,garmin,GPS навігатор Garmin GPSMAP 67 (010-02813-01),,28939,1,https://comfy.ua/gps-navigator-garmin-gpsmap-67-010-02813-01.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1646799159,6830986,ARIEL,Стиральный порошок Ariel Аква-Пудра Touch of Lenor 5.4 кг (8006540536988),1099,2661568,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки Ariel,ariel,"Пральний порошок Ariel Авт.Аква-Пудра Дотик свіжості Lenor 5,4кг",,694,1,https://comfy.ua/stiral-nyj-poroshok-ariel-avt-akva-pudra-prikosnovenie-svezhesti-lenor-5-4kg.html,1099,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1646799911,,,,,.2667199,Детские товары >> Кормление,bebe-confort,Тарілка обідня Bebe Confort Little Buddies,,228,1,https://comfy.ua/tarelka-obedennaja-bebe-confort-little-buddies-8922683.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1646803540,,,,,2806097,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi RodiFix R i-Size Authentic Green,,6900,1,https://comfy.ua/avtokreslo-maxi-cosi-rodifix-r-i-size-authentic-green.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1646804713,6726015,EINHELL,Аккумуляторная отвертка EINHELL TE-DY 18 Li - Solo (4259980) без АКБ и ЗУ,2317,2768993,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Einhell,einhell,Шуруповерт Einhell TE-DY 18 Li - Solo (4259980),,2319,1,https://comfy.ua/shurupovert-einhell-te-dy-18-li-solo-4259980.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1646805125,,,,,2806095,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi Pearl 360 2 Authentic Black без вкладишу,,12420,1,https://comfy.ua/avtokreslo-maxi-cosi-pearl-360-2-authentic-black-bez-vkladishu.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1646805608,6919638,EINHELL,Сверлильный станок Einhell TC-BD 450 (4520592),6369,2781229,Инструменты и автотовары >> Электроинструменты >> Станки для заточки >> Станки для заточки Einhell,einhell,Станок Einhell TC-BD 450 (4520592),,6369,1,https://comfy.ua/stanok-einhell-tc-bd-450-4520592.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1646805886,,,,,2786163,Бытовая химия >> Средства для чистки техники,electrolux,Засіб для чищення кондиціонера Electrolux ECS01,,349,1,https://comfy.ua/chistjaschee-sredstvo-dlja-kondicionera-electrolux-ecs01.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1646807226,6382100,PHILIPS AVENT,Поилка AVENT 210 мл 9+ SCF796/01 Blue,421,2702148,Детские товары >> Кормление >> Поильники >> Поильники Philips,philips,Поїльник-непроливайка дитячий Philips 9 міс. 210 мл Синій (SCF796/01),,469,1,https://comfy.ua/poil-nik-neprolivajka-detskij-philips-9-mes-210-ml-sinij-scf796-01.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1646807227,6382103,PHILIPS AVENT,Поилка AVENT 300 мл 12+ SCF798/02 Pink,436,2702149,Детские товары >> Кормление >> Поильники >> Поильники Philips,philips,Поїльник-непроливайка дитячий Philips 12 мес. 300 мл Розовый (SCF798/02),,445,1,https://comfy.ua/poil-nik-neprolivajka-detskij-philips-12-mes-300-ml-rozovyj-scf798-02.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1646807853,,,,,.2806098,Детские товары >> Прогулки и поездки,maxi-cosi,Автокрісло Maxi-Cosi RodiFix M i-Size Basic Grey,,6780,1,https://comfy.ua/avtokreslo-maxi-cosi-rodifix-m-i-size-basic-grey.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1646807854,,,,,2806096,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi RodiFix R i-Size Authentic Black,,6900,1,https://comfy.ua/avtokreslo-maxi-cosi-rodifix-r-i-size-authentic-black.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1646808516,,,,,2798555,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Лялька-сюрприз L.O.L. Surprise! """"Baby Bundle"""" – МАЛЮКИ(в асорт.)(507321)""",,199,1,https://comfy.ua/kukla-sjurpriz-l-o-l-surprise-baby-bundle-malyshi-v-assort-507321.html,249,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1646808517,7121618,L.O.L. SURPRISE!,Игровой набор L.O.L. SURPRISE! Birthday Фантазируй и удивляй (593140),492,2798550,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Лялька-сюрприз L.O.L. Surprise! """"Birthday"""" - ФАНТАЗУЙ ТА ДИВУЙ (в асорт.) (593140)""",,479,1,https://comfy.ua/kukla-sjurpriz-l-o-l-surprise-birthday-fantaziruj-i-udivljaj-v-assort-593140.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
1646809661,,,,,.2697016,Инструменты и автотовары >> Ручные инструменты,milwaukee,"Развідний ключ Milwaukee 42,5/300 мм (48227412)",,1695,1,https://comfy.ua/razvodnoj-kljuch-milwaukee-42-5-300-mm-48227412.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1646810596,,,,,.2697018,Инструменты и автотовары >> Ручные инструменты,milwaukee,Развідний ключ Milwaukee 67/430 мм (4932464577),,3769,1,https://comfy.ua/razvodnoj-kljuch-milwaukee-67-430-mm-4932464577.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1646810597,6949298,NEO TOOLS,"""Набор инструментов NEO TOOLS 1/2"""" 25шт (10-036)""",2565,2779846,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Neo Tools,neo-tools,"""Набір торцевих голівок Neo Tools 1/2"""" 25 шт. (10-036)""",,2995,1,https://comfy.ua/nabor-torcevyh-golovok-neo-tools-1-2-25-sht-10-036.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1646810763,6949306,NEO TOOLS,"""Набор инструментов Neo Tools 1/2"""", 1/4"""", CrV 94 шт (10-062)""",4859,2779820,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Neo Tools,neo-tools,"""Набір торцевих голівок Neo Tools 1/2"""", 1/4"""" 94 шт. (10-062)""",,4859,1,https://comfy.ua/nabor-torcevyh-golovok-neo-tools-1-2-1-4-94-sht-10-062.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1646813068,,,,,.2587928,Инструменты и автотовары >> Расходные материалы,haisser,Лезо Haisser SK2 (23510),,125,1,https://comfy.ua/lezvie-haisser-sk2-23510.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
1646866960,6470947,КЕМПІНГ,Решетка КЕМПІНГ G504 (4823082713752),199,1838492,"Дом, отдых и зоотовары >> Отдых и путешествия >> Аксессуары для пикника >> Аксессуары для пикника Кемпінг",kemping,Решітка для гриля-барбекю Кемпінг G504 (4823082713752),,249,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-kemping-g504-4823082713752.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1646866961,,,,,2684982,"Дом, отдых и зоотовары >> Отдых и путешествия",grill-me,Шампур Grill Me BQ-045F,,309,1,https://comfy.ua/shampur-grill-me-bq-045f.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1646866962,,,,,.2685982,"Дом, отдых и зоотовары >> Отдых и путешествия",kemping,Решітка для гриля-барбекю Кемпінг G102,,319,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-kemping-g102.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1646866963,,,,,.2685981,"Дом, отдых и зоотовары >> Отдых и путешествия",kemping,Решітка для гриля-барбекю Кемпінг G702,,339,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-kemping-g702.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1646866964,,,,,.2684981,"Дом, отдых и зоотовары >> Отдых и путешествия",grill-me,Решітка для гриля-барбекю Grill Me BQ-038,,375,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-grill-me-bq-038.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1646866965,,,,,.2685980,"Дом, отдых и зоотовары >> Отдых и путешествия",kemping,Решітка для гриля-барбекю Кемпінг G502,,375,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-kemping-g502.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1646866966,,,,,2684980,"Дом, отдых и зоотовары >> Отдых и путешествия",grill-me,Решітка для гриля-барбекю Grill Me BQ-036,,435,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-grill-me-bq-036.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1646866967,,,,,.2684482,"Дом, отдых и зоотовары >> Отдых и путешествия",grill-me,Решітка для гриля-барбекю Grill Me BQ-032,,445,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-grill-me-bq-032.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1646866968,,,,,1017303,"Дом, отдых и зоотовары >> Отдых и путешествия",kemping,Шампур Кемпінг Набор шампуров 5204 В,,469,1,https://comfy.ua/shampur-kemping-nabor-5204-v.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1646866969,,,,,.2684478,"Дом, отдых и зоотовары >> Отдых и путешествия",grill-me,Решітка для гриля-барбекю Grill Me BQ-020,,489,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-grill-me-bq-020.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1646866970,,,,,2685976,"Дом, отдых и зоотовары >> Отдых и путешествия",kemping,Решітка для гриля-барбекю Кемпінг BQ-40D,,489,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-kemping-bq-40d.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1646866971,,,,,.2684983,"Дом, отдых и зоотовары >> Отдых и путешествия",grill-me,Шампур Grill Me BQ-060F,,489,1,https://comfy.ua/shampur-grill-me-bq-060f.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1646866972,,,,,.2684481,"Дом, отдых и зоотовары >> Отдых и путешествия",grill-me,Решітка для гриля-барбекю Grill Me BQ-031,,529,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-grill-me-bq-031.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1646866974,,,,,.2684480,"Дом, отдых и зоотовары >> Отдых и путешествия",grill-me,Решітка для гриля-барбекю Grill Me BQ-024,,569,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-grill-me-bq-024.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1646866975,,,,,.2685977,"Дом, отдых и зоотовары >> Отдых и путешествия",kemping,Решітка для гриля-барбекю Кемпінг BQ-46,,569,1,https://comfy.ua/reshetka-dlja-grilja-barbekju-kemping-bq-46.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
