1648672839,column,column,column,column,2806088,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,_ugreen_us132_usb_20_male_to_mini_usb_5pin_male_cable_1m_black_10355,column,119,1,httpscomfyuakabelugreenus132usba20maletominiusb5pinmalecable1mblack10355html,column,05112025_1743,column,__42,Фастів,0
1648672800,,,,,2811649,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Perfumies,perfumies,Колекційна лялька Perfumies РОЗА ЛІ з аксесуарами (1263),,99,1,https://comfy.ua/kollekcionnaja-kukla-perfumies-roza-li-s-aksessuarami-1263.html,199,05.11.2025 23:11,,"вул. Соборна, 42",Фастів,0
1648672839,,,,,2806088,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель UGREEN US132 USB-А 2.0 Male to Mini USB 5pin Male Cable 1m Black (10355),,119,1,https://comfy.ua/kabel-ugreen-us132-usb-a-2-0-male-to-mini-usb-5pin-male-cable-1m-black-10355.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1648672848,,,,,2817312,Смартфоны и телефоны >> Мобильные телефоны,sigma-mobile,Мобільний телефон Sigma mobile X-style 34 NRG TYPE-C Black,,975,1,https://comfy.ua/mobil-nyj-telefon-sigma-mobile-x-style-34-nrg-type-c-black.html,,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
1648672949,,,,,2697032,Инструменты и автотовары >> Ручные инструменты >> Тиски и струбцины >> Тиски и струбцины Milwaukee,milwaukee,Струбцина Milwaukee Torque Lock 1-76 мм (4932471733),,879,1,https://comfy.ua/strubcina-milwaukee-torque-lock-1-76-mm-4932471733.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1648673323,,,,,.2784098,Красота и здоровье >> Уход за полостью рта,zelmer,Насадка для зубної щітки Zelmer ZTBA1010W,,399,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-zelmer-ztba1010w.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1648673484,,,,,2814989,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Soocas,soocas,Насадка для зубної щітки Soocas D2/D3 Green,,464,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-soocas-d2-d3-green.html,499,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1648673485,,,,,2814988,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Soocas,soocas,Насадка для зубної щітки Soocas D2/D3 Pink,,499,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-soocas-d2-d3-pink.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1648673674,,,,,2697033,Инструменты и автотовары >> Ручные инструменты >> Тиски и струбцины >> Тиски и струбцины Milwaukee,milwaukee,Струбцина Milwaukee 200 мм (4932471734),,1309,1,https://comfy.ua/strubcina-milwaukee-200-mm-4932471734.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1648673751,6951160,SIEMENS,Кофемашина SIEMENS TP511R01,19999,2809914,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Siemens,siemens,Кавомашина Siemens TP511R01,,19999,1,https://comfy.ua/kofemashina-siemens-tp511r01.html,45149,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1648674031,7066691,FROSCH,Чистящее средство Frosch с виноградной кислотой 500 мл (1709851),167,2767881,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Frosch,frosch,Засіб для миття у ванній кімнаті Frosch Зелений виноград 500мл,,129,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-frosch-zelenyj-vinograd-500ml.html,209,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
