1648695847,column,column,column,column,2781869,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_xiaomi_mi_11i_arm59492,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartforxiaomimi11iarm59492html,column,05112025_2031,column,__42,Фастів,0
1648695845,,,,,.2781872,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Ulefone Note 7/7P/7T (ARM59449),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-ulefone-note-7-7p-7t-arm59449.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1648695847,,,,,.2781869,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Mi 11i (ARM59492),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-mi-11i-arm59492.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1648695849,,,,,.2781875,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Tecno Spark 7 (ARM59502),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-tecno-spark-7-arm59502.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1648695852,,,,,.2781870,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Ulefone S11 (ARM59448),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-ulefone-s11-arm59448.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1648695854,,,,,.2781882,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Oppo Reno5 Pro (ARM59501),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-oppo-reno5-pro-arm59501.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1648695855,,,,,.2782115,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Realme GT Neo 2 5G / GT2 5G / GT Neo 3T 5G (ARM61147),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-realme-gt-neo-2-5g-gt2-5g-gt-neo-3t-5g-arm61147.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1648695856,,,,,.2781884,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Blackview A70 (ARM62289),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-blackview-a70-arm62289.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1648695858,,,,,.2781883,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Huawei Y6s (ARM62051),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-huawei-y6s-arm62051.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1648695859,,,,,.2782631,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for TCL 306 / 30 SE / 30E (ARM65642),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-tcl-306-30-se-30e-arm65642.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1648699029,6949745,KITCHENAID,"Насадка-лопатка KITCHENAID 5KFE5T для чаш 4,8/4,7/4,3/3 л White",3849,2814097,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники KitchenAid,kitchenaid,Насадка для кухонного комбайна KitchenAid 5KFE5T,,3849,1,https://comfy.ua/nasadka-dlja-kuhonnogo-kombajna-kitchenaid-5kfe5t.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1648699131,,,,,2814096,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники KitchenAid,kitchenaid,Насадка для кухонного комбайна KitchenAid 5KSMFGA,,7599,1,https://comfy.ua/nasadka-dlja-kuhonnogo-kombajna-kitchenaid-5ksmfga.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1648702415,,,,,2811643,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xtrike-me,Килимок для миші ігровий XTRIKE ME MP-206,,159,1,https://comfy.ua/kovrik-dlja-myshi-xtrike-me-mp-206.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
