1648981920,6933296,elica,_elica_hidden_20__ixa72,40999,2817134,__________elica,elica,__elica_hidden_20__ixa72,column,36999,1,httpscomfyuavytjazhkavstraivaemajaelicahidden20atixa72html,40999,05112025_2002,column,__42,Фастів,0
1648981918,,,,,2817133,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Elica,elica,Витяжка вбудована Elica HIDDEN 2.0 @ IX/A/52,,36999,1,https://comfy.ua/vytjazhka-vstraivaemaja-elica-hidden-2-0-at-ix-a-52.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1648981920,6933296,ELICA,Вытяжка ELICA HIDDEN 2.0 @ IX/A/72,40999,2817134,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Elica,elica,Витяжка вбудована Elica HIDDEN 2.0 @ IX/A/72,,36999,1,https://comfy.ua/vytjazhka-vstraivaemaja-elica-hidden-2-0-at-ix-a-72.html,40999,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1649054264,6853985,RINGEL,Нож сантоку RINGEL Fusion 14.5 см (RG-11007-4),260,2655772,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ringel,ringel,Ніж сантоку Ringel Fusion 14.5 см (RG-11007-4),,278,1,https://comfy.ua/nozh-santoku-ringel-fusion-14-5-sm-rg-11007-4.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1649063201,,,,,2782156,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Promate,promate,Мережевий зарядний пристрій Promate biplug-qc3.eu-bk,,299,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-promate-biplug-qc3-eu-bk.html,399,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1649065765,,,,,2811625,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Promate,promate,Мережевий зарядний пристрій Promate powerport-25ac.black,,499,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-promate-powerport-25ac-black.html,699,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1649067037,,,,,2819119,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки Tronsmart",tronsmart,Портативна акустика Tronsmart T7 Pink,,1999,1,https://comfy.ua/portativnaja-akustika-tronsmart-t7-pink.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1649067475,,,,,2810528,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Candy,candy,Пральна машина Candy CW50-BP12307-S,,20999,1,https://comfy.ua/stiral-naja-mashina-candy-cw50-bp12307-s.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1649067611,7170375,MINOLA,Вытяжка MINOLA HDN 6224 BL 700 LED,3145,2712508,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка декоративна Minola HDN 6224 BL 700 LED,,3699,1,https://comfy.ua/vytjazhka-dekorativnaja-minola-hdn-6224-bl-700-led.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1649067697,6995936,MINOLA,Вытяжка MINOLA HDN 5224 WH 700 LED,3799,2712513,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка декоративна Minola HDN 5224 WH 700 LED,,3799,1,https://comfy.ua/vytjazhka-dekorativnaja-minola-hdn-5224-wh-700-led.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1649067698,,,,,2712509,Техника для кухни >> Крупная техника,minola,Витяжка декоративна Minola HDN 6224 WH 700 LED,,3799,1,https://comfy.ua/https-minola-ua-uk-dekorativna-1808-vityazhka-dekorativna-pokhila-minola-hdn-6224-wh-700-led-html.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1649068506,6995968,MINOLA,Вытяжка MINOLA HVS 5224 BL 700 LED,4499,2712914,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка декоративна Minola HVS 5224 BL 700 LED,,4499,1,https://comfy.ua/vytjazhka-dekorativnaja-minola-hvs-5224-bl-700-led.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1649068507,7170379,MINOLA,Вытяжка MINOLA HVS 6224 BL 700 LED,3569,2712510,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка декоративна Minola HVS 6224 BL 700 LED,,3569,1,https://comfy.ua/vytjazhka-dekorativnaja-minola-hvs-6224-bl-700-led.html,4199,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1649068509,6995969,MINOLA,Вытяжка MINOLA HVS 5224 WH 700 LED,4599,2712915,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка декоративна Minola HVS 5224 WH 700 LED,,4599,1,https://comfy.ua/vytjazhka-dekorativnaja-minola-hvs-5224-wh-700-led.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1649068510,7170380,MINOLA,Вытяжка MINOLA HVS 6224 WH 700 LED,4299,2712511,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка декоративна Minola HVS 6224 WH 700 LED,,4299,1,https://comfy.ua/vytjazhka-dekorativnaja-minola-hvs-6224-wh-700-led.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1649071443,6947983,XIAOMI,Смартфон XIAOMI Redmi Note 13 8/256GB Midnight Black,7438,2813526,Смартфоны и телефоны >> Смартфоны >> Смартфоны Xiaomi >> Серия Xiaomi Redmi Note 13,xiaomi,Смартфон Xiaomi Redmi Note 13 8/256Gb Midnight Black,,6999,1,https://comfy.ua/smartfon-xiaomi-redmi-note-13-8-256gb-midnight-black.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1649072871,6947116,RAZER,Гарнитура RAZER Kaira Hyperspeed for PS5 Black (RZ04-03980200-R3G1),6999,2817303,"Аудио, фото и видео >> Наушники >> Наушники Razer",razer,Гарнітура бездротова ігрова Razer Kaira Hyperspeed for PS5 Вlack (RZ04-03980200-R3G1),,6999,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-razer-kaira-hyperspeed-for-ps5-vlack-rz04-03980200-r3g1.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
