1649210985,6853991,ringel,___ringel_fusion_9__rg110071,197,2655774,_____________ringel,ringel,___ringel_fusion_9__rg110071,column,197,1,httpscomfyuanozhdljaovoschejringelfusion9smrg110071html,column,05112025_1935,column,__42,Фастів,0
1649210984,6853992,RINGEL,Нож универсальный RINGEL Fusion 12.5 см (RG-11007-2),203,2655768,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ringel,ringel,Ніж кухонний Ringel Fusion 12.5 см (RG-11007-2),,203,1,https://comfy.ua/nozh-kuhonnyj-ringel-fusion-12-5-sm-rg-11007-2.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1649210985,6853991,RINGEL,Нож для овощей RINGEL Fusion 9 см (RG-11007-1),197,2655774,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ringel,ringel,Ніж для овочів Ringel Fusion 9 см (RG-11007-1),,197,1,https://comfy.ua/nozh-dlja-ovoschej-ringel-fusion-9-sm-rg-11007-1.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1649211146,6853993,RINGEL,Нож разделочный RINGEL Fusion 20 см (RG-11007-3),276,2655769,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ringel,ringel,Ніж кухонний Ringel Fusion 20 см (RG-11007-3),,276,1,https://comfy.ua/nozh-kuhonnyj-ringel-fusion-20-sm-rg-11007-3.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1649211147,6853994,RINGEL,Нож поварской RINGEL Fusion 20 см (RG-11007-5),307,2655771,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ringel,ringel,Ніж кухаря Ringel Fusion 20 см (RG-11007-5),,307,1,https://comfy.ua/nozh-povara-ringel-fusion-20-sm-rg-11007-5.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1649215005,,,,,2817386,Смартфоны и телефоны >> Аксессуары для смартфонов,foneng,Мережевий зарядний пристрій Foneng EU45 Dual USB Charger 2USBх2.4A White (EU45-CH-TC) + кабель USB Type C,,185,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-foneng-eu45-dual-usb-charger-2usbh2-4a-white-eu45-ch-tc-kabel-usb-type-c.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1649227040,5780571,DEFENDER,Руль DEFENDER FORSAGE (64367),2590,1007629,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули Defender",defender,Кермо Defender Forsage GTR (64367),,2705,1,https://comfy.ua/rul-defender-forsage-gtr-64367.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1649228484,6918192,NETGEAR,Мобильный роутер NETGEAR LM1200 (LM1200-100EUS),6840,2754857,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",netgear,Модем 4G Netgear LM1200-100EUS,,6839,1,https://comfy.ua/modem-4g-netgear-lm1200-100eus.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1649241821,6977443,INSPIRE,Микрофон петличный INSPIRE K35 3.5 Black (Ins-K35-3.5-1),708,.2799391,"Аудио, фото и видео >> Акустика",inspire,Мікрофон для смартфона INSPIRE K35 iPhone (Ins-K35-3.5),,539,1,https://comfy.ua/mikrofon-dlja-smartfona-inspire-k35-iphone-ins-k35-3-5.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1649241822,,,,,.2799378,"Аудио, фото и видео >> Акустика",inspire,Мікрофон для смартфона INSPIRE J11 iPhone (Ins-J11-iph),,899,1,https://comfy.ua/mikrofon-dlja-smartfona-inspire-j11-iphone-ins-j11-iph.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1649242448,,,,,.2789159,Посуда >> Для запекания и выпечки,gusto,"Форма для випічки Gusto GT-3222 22x6,8 см",,276,1,https://comfy.ua/forma-dlja-vypechki-gusto-gt-3222-22x6-8-sm.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1649242450,6891242,LIMITED EDITION,Форма Limited Edition Maison 19x16x7 см (SD1038-19),239,2817349,Посуда >> Для запекания и выпечки,limited-edition,Форма для приготування Limited Edition MAISON 19х16х7 см (SD1038-19),,239,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-maison-19h16h7-sm-sd1038-19.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1649242451,,,,,2817352,Посуда >> Для запекания и выпечки,limited-edition,Форма для приготування Limited Edition PALETTE 21х12.5х4.5 см (SD16401-21F),,218,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-palette-21h12-5h4-5-sm-sd16401-21f.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1649242453,,,,,2817346,Посуда >> Для запекания и выпечки,limited-edition,Форма для приготування Limited Edition CHATEAU 21.5х16х5.5 см (SD1031-21),,235,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-chateau-21-5h16h5-5-sm-sd1031-21.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1649247001,,,,,.2817344,Посуда >> Для запекания и выпечки,limited-edition,Форма для приготування Limited Edition PROVENCE 28.5х19х5.8 см (SD1040-28),,449,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-provence-28-5h19h5-8-sm-sd1040-28.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1649247002,,,,,.2817350,Посуда >> Для запекания и выпечки,limited-edition,Форма для приготування Limited Edition MAISON 22х18.5х8 см (SD1038-22),,315,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-maison-22h18-5h8-sm-sd1038-22.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1649247003,,,,,2817354,Посуда >> Для запекания и выпечки,limited-edition,Форма для приготування Limited Edition PALETTE 31х20х6.5 см (SD16401-31F),,405,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-palette-31h20h6-5-sm-sd16401-31f.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1649247004,,,,,2817347,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Limited Edition,limited-edition,Форма для приготування Limited Edition CHATEAU 30.5х21.5х6.5 см (SD1031-30),,425,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-chateau-30-5h21-5h6-5-sm-sd1031-30.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1649247005,,,,,.2817345,Посуда >> Для запекания и выпечки,limited-edition,Форма для приготування Limited Edition PROVENCE 32.5х21.5х6.2 см (SD1040-32),,559,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-provence-32-5h21-5h6-2-sm-sd1040-32.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
