1649554271,6930180,razer,_razer_blackwidow_v4_75_black_rz0305000100r3m1,9999,2817301,________________razer,razer,___razer_blackwidow_v4_75_black_rz0305000100r3m1,column,9999,1,httpscomfyuaklaviaturaprovodnajaigrovajarazerblackwidowv475blackrz0305000100r3m1html,column,05112025_2025,column,__42,Фастів,0
1649302446,6927176,KARCHER,Фильтр мембранный Karcher для NT 30/1 NT 40/1 NT 50/1 (2.889-281.0),2139,2815918,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары для минимойки >> Аксессуары для минимойки Karcher,karcher,"Фільтр для мінімийки Karcher для NT 30/1, NT 40/1, NT 50/1 (2.889-281.0)",,2139,1,https://comfy.ua/fil-tr-dlja-minimojki-karcher-dlja-nt-30-1-nt-40-1-nt-50-1-2-889-281-0.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1649303983,7170788,WEILOR,Духовой шкаф WEILOR FPO6F8WT,10999,2584553,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Weilor,weilor,Духова шафа електрична Weilor FPO6F8WT,,11999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-weilor-fpo6f8wt.html,14249,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1649312935,,,,,.2780501,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Pixus Hammer (ARM69339),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-pixus-hammer-arm69339.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1649312937,,,,,.2780128,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Oukitel RT2 (ARM68195),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-oukitel-rt2-arm68195.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
1649314442,,,,,2697243,Техника для дома >> Мелкая техника >> Утюги >> Утюги Russell Hobbs,russell-hobbs,Вертикальний відпарювач ручний Russell Hobbs 28370-56,,2999,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-russell-hobbs-28370-56.html,4299,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1649316138,,,,,2795121,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD107 Male to Female Extension Cable 1m Black (10141),,249,1,https://comfy.ua/kabel-hdmi-ugreen-hd107-male-to-female-extension-cable-1m-black-10141.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1649317523,6985576,FISKARS,Сотейник с крышкой FISKARS Norden 26 см Stainless Steel (1067634),9855,2744885,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Fiskars,fiskars,Сотейник Fiskars Norden 26 см (1067634),,9855,1,https://comfy.ua/sotejnik-fiskars-norden-26-sm-1067634.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1649317667,,,,,2795122,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник UGREEN MM137 Female Converter Black Black (70694),,899,1,https://comfy.ua/perehodnik-ugreen-mm137-female-converter-black-black-70694.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1649318176,6970716,MPM,Блендер MPM MBL-33M,1099,2815642,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры MPM,mpm,Блендер заглибний MPM MBL-33M,,1099,1,https://comfy.ua/blender-pogruzhnoj-mpm-mbl-33m.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1649443345,,,,,.2759081,Посуда >> Для приготовления,holmer,Набір посуду Holmer CS-4451-SS Elegance,,1299,1,https://comfy.ua/nabor-posudy-holmer-cs-4451-ss-elegance.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
