1649835767,column,column,column,column,2702978,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,__asus_tuf_gaming_b760mplus_d4,column,6855,1,httpscomfyuamaterinskajaplataasustufgamingb760mplusd4html,column,05112025_1854,column,__42,Фастів,0
1649826260,,,,,.2699401,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte B760M H DDR4,,3855,1,https://comfy.ua/materinskaja-plata-gigabyte-b760m-h-ddr4.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1649835767,,,,,.2702978,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus TUF GAMING B760M-PLUS D4,,6855,1,https://comfy.ua/materinskaja-plata-asus-tuf-gaming-b760m-plus-d4.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1649835769,,,,,.2703414,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus TUF GAMING B650M-E WIFI,,7499,1,https://comfy.ua/materinskaja-plata-asus-tuf-gaming-b650m-e-wifi.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1649835770,,,,,.2821107,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME B650M-A WIFI II DR5,,6969,1,https://comfy.ua/materinskaja-plata-asus-prime-b650m-a-wifi-ii-dr5.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1649845858,6949687,XIAOMI,Монитор XIAOMI Monitor A27i (ELA5345EU),4799,2825021,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Xiaomi",xiaomi,Монітор Xiaomi Monitor A27i (ELA5345EU),,4799,1,https://comfy.ua/monitor-xiaomi-monitor-a27i-ela5345eu.html,4999,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1649854432,6921924,ENCHEN,Триммер ENCHEN Mocha N plus,659,2817135,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Enchen,enchen,Тример для носа і вух Enchen Mocha N plus,,659,1,https://comfy.ua/trimmer-dlja-nosa-i-ushej-enchen-mocha-n-plus.html,899,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1649859198,6947556,BOSCH,Электрочайник BOSCH MyMoment 1.7 л Черный (TWK2M163),1799,2806334,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Bosch,bosch,Електричний чайник Bosch TWK2M163,,1799,1,https://comfy.ua/jelektricheskij-chajnik-bosch-twk2m163.html,2199,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1649862436,,,,,.2797648,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade L9 матовая (DV-ZT-BDAL9M),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-l9-matovaja-dv-zt-bdal9m.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1649862437,,,,,.2797638,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade A31 (DV-ZT-BDAA31),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-a31-dv-zt-bdaa31.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1649863175,6949937,BERGNER,Набор шампуров BERGNER Bbq 36 см 4 шт(BG-40222-MM),269,2808208,"Дом, отдых и зоотовары >> Отдых и путешествия >> Аксессуары для пикника >> Аксессуары для пикника Bergner",bergner,Шампур Bergner Bbq 36 см 4 шт. (BG-40222-MM),,269,1,https://comfy.ua/shampur-bergner-bbq-36-sm-4-sht-bg-40222-mm.html,329,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1649865426,,,,,.2780497,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Huawei Nova Y70 4G / Y70 Plus 4G (ARM63480),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-huawei-nova-y70-4g-y70-plus-4g-arm63480.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1649866333,6950997,TECHTOY,Умная лампа TECHTOY  RGB 11Вт E27(TSL-LIG-A70),399,2823286,Техника для дома >> Умный дом >> Умные лампы >> Умные лампы Tesla,tesla,Розумна лампа Tesla RGB 11 Вт E27 (TSL-LIG-A70),,399,1,https://comfy.ua/umnaja-lampa-tesla-rgb-11-vt-e27-tsl-lig-a70.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1649868021,6996038,HOLMER,Фен HOLMER HHD-241,599,2825253,Красота и здоровье >> Уход за волосами >> Фены >> Фены Holmer,holmer,Фен Holmer HHD-241,,599,1,https://comfy.ua/fen-holmer-hhd-241.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1649868025,6996036,HOLMER,Фен HOLMER HHD-260I Pro,899,2825254,Красота и здоровье >> Уход за волосами >> Фены >> Фены Holmer,holmer,Фен Holmer HHD-260I PRO,,899,1,https://comfy.ua/fen-holmer-hhd-260i-pro.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
