1649952548,column,column,column,column,2798547,____________lol_surprise,lolsurprise,__lol_surprise_omg_hos______591597,column,899,1,httpscomfyuakollekcionnajakuklanaborlolsurpriseomghosledidivasaksess591597html,1295,05112025_2254,column,__42,Фастів,0
1649952501,7077569,APC,ИБП APC  600W/1000VA (SMC1000I-2UC),44961,2778231,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания APC",apc,Джерело безперебійного живлення APC 600W (SMC1000I-2UC),,48889,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-apc-600w-smc1000i-2uc.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1649952548,,,,,2798547,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Ляльковий набір L.O.L. Surprise! """"O.M.G. HoS"""" – ЛЕДІ ДІВА (з аксес.) (591597)""",,899,1,https://comfy.ua/kollekcionnaja-kukla-nabor-l-o-l-surprise-o-m-g-hos-ledi-diva-s-aksess-591597.html,1295,05.11.2025 22:54,,"вул. Соборна, 42",Фастів,0
1649952550,,,,,2798535,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Ляльковий набір L.O.L. Surprise! """"Tweens Core"""" – ЕЛЛІ ФЛАЙ (з аксес.) (591689)""",,899,1,https://comfy.ua/kollekcionnaja-kukla-nabor-l-o-l-surprise-tweens-core-jelli-flaj-s-aksess-591689.html,1295,05.11.2025 22:10,,"вул. Соборна, 42",Фастів,0
1649952551,,,,,2798538,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Ляльковий набір L.O.L. Surprise! """"Tweens Core"""" – ХАННА ГРУВ (з аксес.) (591658)""",,899,1,https://comfy.ua/kollekcionnaja-kukla-nabor-l-o-l-surprise-tweens-core-hanna-gruv-s-aksess-591658.html,1295,05.11.2025 22:54,,"вул. Соборна, 42",Фастів,0
1649955380,6966958,KARCHER,Чистящее средство KARCHER 3в1 RM 613 1 л (6.295-758.0),339,2822047,Бытовая химия >> Средства для чистки техники >> Средства для чистки пылесосов >> Средства для чистки пылесосов Karcher,karcher,Засіб для чищення універсальний Karcher RM 613 1 л (6.295-758.0),,339,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-karcher-rm-613-1-l-6-295-758-0.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1649955381,6897098,KARCHER,Моющее средство KARCHER RM 760 CarpetPro iCapsol в таблетках 16 шт (6.295-850.0),569,2822060,Бытовая химия >> Средства для чистки техники >> Средства для чистки пылесосов >> Средства для чистки пылесосов Karcher,karcher,Засіб для чищення універсальний Karcher у таблетках Karcher RM 760 16 шт. (6.295-850.0),,569,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-karcher-u-tabletkah-karcher-rm-760-16-sht-6-295-850-0.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1649955501,,,,,.2821315,Игровые консоли и гейминг >> Комплектующие для игровых ПК,silver-stone,Корпусний вентилятор Silver Stone Vista VS120W-ARGB (SST-VS120W-ARGB),,639,1,https://comfy.ua/korpusnyj-ventiljator-silver-stone-vista-vs120w-argb-sst-vs120w-argb.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1649955504,,,,,.2821318,Игровые консоли и гейминг >> Комплектующие для игровых ПК,silver-stone,Корпусний вентилятор Silver Stone Vista VS140W ARGB (SST-VS140W-ARGB),,809,1,https://comfy.ua/korpusnyj-ventiljator-silver-stone-vista-vs140w-argb-sst-vs140w-argb.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1649955738,,,,,2820721,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Spidey,spidey,Іграшка для ванної Spidey Bath Squirters Single pack Miles Morales Майлз Моралес (SNF0222),,249,1,https://comfy.ua/igrushka-bryzgalka-dlja-vannoj-spidey-bath-squirters-single-pack-miles-morales-majlz-morales-snf0222.html,359,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1649955739,,,,,2820720,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Spidey,spidey,Іграшка для ванної Spidey Bath Squirters Single pack Ghost-Spider Привид-павук (SNF0221),,359,1,https://comfy.ua/igrushka-bryzgalka-dlja-vannoj-spidey-bath-squirters-single-pack-ghost-spider-prizrak-pauk-snf0221.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
