1650296931,column,column,column,column,2827061,Техника для кухни >> Крупная техника,akpo,___akpo_pia_6804,column,16145,1,httpscomfyuavarochnajapaneljelektricheskajaakpopia6804html,column,05112025_2102,column,__42,Фастів,0
1650290952,,,,,.2827056,Техника для кухни >> Крупная техника,akpo,Витяжка вбудована Akpo WK-7 Micra Glass 700 Black 60,,5399,1,https://comfy.ua/vytjazhka-vstraivaemaja-akpo-wk-7-micra-glass-700-black-60.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1650291012,,,,,.2827054,Техника для кухни >> Крупная техника,akpo,Витяжка вбудована Akpo WK-12 Micra 700 Black 60,,5999,1,https://comfy.ua/vytjazhka-vstraivaemaja-akpo-wk-12-micra-700-black-60.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1650292817,,,,,2778228,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Faber,faber,Витяжка вбудована Faber Inka Plus Hcs X A70,,8699,1,https://comfy.ua/vytjazhka-vstraivaemaja-faber-inka-plus-hcs-x-a70.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1650292927,,,,,.2827065,Техника для кухни >> Крупная техника,nortberg,Витяжка вбудована NORTBERG Micra Plus Black Matt 60,,11019,1,https://comfy.ua/vytjazhka-vstraivaemaja-nortberg-micra-plus-black-matt-60.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1650296931,,,,,.2827061,Техника для кухни >> Крупная техника,akpo,Варильна поверхня електрична Akpo PIA 6804,,16145,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-akpo-pia-6804.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1650296938,,,,,.2827060,Техника для кухни >> Крупная техника,akpo,Варильна поверхня електрична Akpo PIA 6800 Slider,,18289,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-akpo-pia-6800-slider.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1650338152,,,,,.2827068,Техника для кухни >> Крупная техника,nortberg,Витяжка декоративна NORTBERG Cylindro Eco White Matt 40,,21829,1,https://comfy.ua/vytjazhka-dekorativnaja-nortberg-cylindro-eco-white-matt-40.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1650352117,,,,,2827058,Техника для кухни >> Крупная техника,akpo,Витяжка декоративна Akpo WK-12 Isla Cubera 1200 Black,,26999,1,https://comfy.ua/vytjazhka-dekorativnaja-akpo-wk-12-isla-cubera-1200-black.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1650357278,,,,,2827067,Техника для кухни >> Крупная техника,nortberg,Витяжка декоративна NORTBERG Cylindro White Matt 40,,30495,1,https://comfy.ua/vytjazhka-dekorativnaja-nortberg-cylindro-white-matt-40.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1650357279,,,,,.2827064,Техника для кухни >> Крупная техника,nortberg,Витяжка декоративна NORTBERG Sento Island Black Matt 90,,36919,1,https://comfy.ua/vytjazhka-dekorativnaja-nortberg-sento-island-black-matt-90.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1650454147,,,,,2538617,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Sigma mobile,sigma-mobile,Уцінка - Мобільний телефон Sigma mobile Comfort 50 Optima TYPE-C DS Black,,1146,1,https://comfy.ua/mobil-nyj-telefon-sigma-mobile-comfort-50-optima-type-c-black-ucenka-1-1.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
