1650817868,6937078,severin,_severin_km_3867,2477,2830034,__________severin,severin,_severin_km_3867,column,2479,1,httpscomfyuaizmelchitelseverinkm3867html,column,05112025_1914,column,__42,Фастів,0
1650817851,6937077,SEVERIN,Измельчитель SEVERIN KM 3866,4977,2830033,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители Severin,severin,Подрібнювач Severin KM 3866,,4979,1,https://comfy.ua/izmel-chitel-severin-km-3866.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1650817868,6937078,SEVERIN,Измельчитель SEVERIN KM 3867,2477,2830034,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители Severin,severin,Подрібнювач Severin KM 3867,,2479,1,https://comfy.ua/izmel-chitel-severin-km-3867.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1650818456,6937074,SEVERIN,Тостер SEVERIN AT 2590,2777,2830020,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Severin,severin,Тостер Severin AT 2590,,2779,1,https://comfy.ua/toster-severin-at-2590.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1650818459,6361628,SEVERIN,Тостер SEVERIN AT-2287,1711,2830019,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Severin,severin,Тостер Severin AT 2287,,1499,1,https://comfy.ua/toster-severin-at-2287.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1650818761,6906743,IDEA HOME,Швабра IDEA HOME (DS-1208B Blue),295,2830063,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Idea Home,idea-home,Швабра Idea Home DS-1208B Blue,,439,1,https://comfy.ua/shvabra-idea-home-ds-1208b-blue.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1650819099,6906735,IDEA HOME,Швабра IDEA HOME (DS-1311  Double roller Blue-Red),275,2830060,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Idea Home,idea-home,Швабра Idea Home DS-1311  Double roller Blue-Red,,419,1,https://comfy.ua/shvabra-idea-home-ds-1311-double-roller-blue-red.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1650819102,6906734,IDEA HOME,Швабра IDEA HOME (DS-1311  Single roller Blue-Red),289,2830059,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Idea Home,idea-home,Швабра Idea Home DS-1311  Single roller Blue-Red,,399,1,https://comfy.ua/shvabra-idea-home-ds-1311-single-roller-blue-red.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1650846163,7005447,TECNO,Смартфон TECNO Spark Go 2024 (BG6) 3/64GB Magic Skin Green (4894947010576),3699,2827700,Смартфоны и телефоны >> Смартфоны,tecno,Смартфон Tecno Spark Go 2024 3/64Gb Magic Skin Green,,2959,1,https://comfy.ua/smartfon-tecno-spark-go-2024-3-64gb-magic-skin-green.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1650846233,6902493,EINHELL,Набор мешков EINHELL 10 л 5 шт (2351260),299,2824269,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Einhell,einhell,Набір мішків для пилососа Einhell 10 л 5 шт. (2351260),,299,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-einhell-10-l-5-sht-2351260.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1650846250,6919642,EINHELL,Фильтр гофрированный к пылесосам Einhell 2351311,384,2824247,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Einhell,einhell,Фільтр для пилососа Einhell 2351311 для золи,,385,1,https://comfy.ua/fil-tr-dlja-pylesosa-einhell-2351311-dlja-zoly.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1650864804,,,,,2577831,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфона ACCLAB Full Glue for Samsung S22+ Black (1283126523021),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-s22-black-1283126523021.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1650864895,,,,,2732935,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Xiaomi Redmi Note 12 Pro/12 Pro Plus Black (1283126549397),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-xiaomi-redmi-note-12-pro-12-pro-plus-black-1283126549397.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1650865743,6911586,ACER,"""Монитор ACER 27"""" VG272UV3bmiipx Black (UM.HV2EE.301)""",8199,2663019,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",acer,Монітор ігровий Acer Nitro VG272UV3BMIIPX (UM.HV2EE.301),,8209,1,https://comfy.ua/monitor-igrovoj-acer-nitro-vg272uv3bmiipx-um-hv2ee-301.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1650868631,,,,,.2763708,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Xiaomi Redmi Note 12 4G/Note 12 5G/Poco X5 5G Black (708783),,175,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-xiaomi-redmi-note-12-4g-note-12-5g-poco-x5-5g-black-708783.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1650874408,7066369,KARCHER,Пароочиститель KARCHER SC 4 EasyFix Iron Бело-черный (1.512-631.0),14999,2832319,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SC 4 EasyFix Iron (1.512-631.0),,15999,1,https://comfy.ua/paroochistitel-karcher-sc-4-easyfix-iron-1-512-631-0.html,16999,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1650874409,6963401,KARCHER,Пароочиститель KARCHER SC 3 Deluxe (1.513-430.0),9999,2832323,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SC 3 Deluxe (1.513-430.0),,9999,1,https://comfy.ua/paroochistitel-karcher-sc-3-deluxe-1-513-430-0.html,12499,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1650874410,6951543,KARCHER,Пароочиститель KARCHER SC 1 Premium (1.516-400.0),2899,2832325,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SC 1 (1.516-400.0),,2999,1,https://comfy.ua/paroochistitel-karcher-sc-1-1-516-400-0.html,3999,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1650874411,6951544,KARCHER,Пароочиститель KARCHER SC 1 EasyFix (1.516-401.0),3999,2832326,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SC 1 EasyFix (1.516-401.0),,3999,1,https://comfy.ua/paroochistitel-karcher-sc-1-easyfix-1-516-401-0.html,4999,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1650874413,6951548,KARCHER,Пароочиститель KARCHER SC 4 EasyFix (1.512-630.0),11699,2832318,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SC 4 EasyFix (1.512-630.0),,11699,1,https://comfy.ua/paroochistitel-karcher-sc-4-easyfix-1-512-630-0.html,12699,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1650874414,6996590,KARCHER,Пароочиститель KARCHER SC 4 Deluxe (1.513-460.0),13999,2832324,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SC 4 Deluxe (1.513-460.0),,13999,1,https://comfy.ua/paroochistitel-karcher-sc-4-deluxe-1-513-460-0.html,14999,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1650874415,6965921,KARCHER,Пароочиститель KARCHER SV 7 (1.439-490.0),30999,2832317,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Karcher,karcher,Пароочисник Karcher SV 7 (1.439-490.0),,30999,1,https://comfy.ua/paroochistitel-karcher-sv-7-1-439-490-0.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1650875296,,,,,2807481,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",colorway,Захисне скло для планшету Colorway 9H ColorWay Samsung Galaxy Tab A9 (CW-GTSGT110),,329,1,https://comfy.ua/zaschitnoe-steklo-dlja-plansheta-colorway-9h-colorway-samsung-galaxy-tab-a9-cw-gtsgt110.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1650875443,,,,,.2780508,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Redmi A1 / A1+ / Poco C50 (ARM70395),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-redmi-a1-a1-poco-c50-arm70395.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1650876948,,,,,.2818567,Посуда >> Нарезка и измельчение,gusto,Набір ножів Gusto GT-4104-8 Біла перлина 8 пр.,,1679,1,https://comfy.ua/nabor-nozhej-gusto-gt-4104-8-belaja-zhemchuzhina-8-pr.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1650878304,6969914,ARTLINE,Моноблок ARTLINE Business M63 (M63v24),27132,2825914,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M63 (M63v24),,27135,1,https://comfy.ua/komp-juter-monoblok-artline-business-m63-m63v24.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1650878920,6969915,ARTLINE,Моноблок ARTLINE Business M63 (M63v25),29022,2825916,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M63 (M63v25),,29025,1,https://comfy.ua/komp-juter-monoblok-artline-business-m63-m63v25.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1650879151,,,,,2780217,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Sharp,sharp,Телевізор Sharp 4T-C50FP1EL2AB,,16999,1,https://comfy.ua/televizor-sharp-4t-c50fp1el2ab.html,18999,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1650922097,,,,,.2825943,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax MT-307-4U3C без БЖ,,1219,1,https://comfy.ua/korpus-gamemax-mt-307-4u3c-bez-bp.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1650922109,,,,,.2826921,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX з БЖ (ET-209-400),,1379,1,https://comfy.ua/korpus-gamemax-atx-s-bp-et-209-400.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1650922110,,,,,.2825999,Игровые консоли и гейминг >> Комплектующие для игровых ПК,prologix,Корпус ProLogix E113 Tempered Glass&Mesh Black,,1399,1,https://comfy.ua/korpus-prologix-e113-tempered-glass-mesh-black.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1650922111,,,,,.2826922,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX з БЖ (ET-209-400W-2U3),,1569,1,https://comfy.ua/korpus-gamemax-atx-s-bp-et-209-400w-2u3.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1650922114,,,,,.2826923,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX з БЖ (ET-211-400W-2U3),,1619,1,https://comfy.ua/korpus-gamemax-atx-s-bp-et-211-400w-2u3.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1650922117,,,,,.2825959,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax M60 White без БЖ,,1809,1,https://comfy.ua/korpus-gamemax-m60-white-bez-bp.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1650922118,,,,,2825974,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax Infinity Mini White без БЖ,,1879,1,https://comfy.ua/korpus-gamemax-infinity-mini-white-bez-bp.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1650922120,,,,,.2826924,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax mATX з БЖ (ST607-400W),,2049,1,https://comfy.ua/korpus-gamemax-matx-s-bp-st607-400w.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1650922121,,,,,.2825970,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax Vista MB без БЖ,,2219,1,https://comfy.ua/korpus-gamemax-vista-mb-bez-bp.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
