1651217279,column,column,column,column,2827671,comfy_kids_________________hauck,hauck,___hauck_organize_me_618080,column,840,1,httpscomfyuaorganajzerdljaavtokreslahauckorganizeme618080html,column,05112025_2052,column,__42,Фастів,0
1651217275,7038204,BEBE CONFORT,Дополнительное зеркало BEBE CONFORT Black (3203206000),240,2827845,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Bebe Confort,bebe-confort,Дзеркало для контролю за дитиною Bebe Confort 3203206000 Black,,240,1,https://comfy.ua/zerkalo-dlja-kontrolja-za-rebenkom-bebe-confort-3203206000-black.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1651217279,,,,,2827671,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок HAUCK,hauck,Органайзер для автокрісла HAUCK Organize Me (61808-0),,840,1,https://comfy.ua/organajzer-dlja-avtokresla-hauck-organize-me-61808-0.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1651217313,6969930,ARTLINE,Моноблок ARTLINE Business M67 Windows 11 Pro (M67v19Win),46242,2825929,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M67 Windows 11 Pro (M67v19Win),,46245,1,https://comfy.ua/https-artline-ua-uk-product-monoblok-artline-business-m67-windows-11-pro-m67v19win.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1651217316,6985981,BOSCH,Электролобзик BOSCH GST 185-LI без АКБ и ЗУ (0.601.5B3.021),7656,2785123,Инструменты и автотовары >> Электроинструменты >> Электролобзики >> Электролобзики Bosch,bosch,Електролобзик Bosch GST 185-LI без АКБ та ЗП (0.601.5B3.021),,7655,1,https://comfy.ua/jelektrolobzik-bosch-gst-185-li-bez-akb-i-zu-0-601-5b3-021.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1651217783,6947417,HISENSE,Проектор HISENSE C1 (20012273),89999,2830067,Телевизоры и мультимедиа >> Проекторы и экраны,hisense,Проектор Hisense C1,,69999,1,https://comfy.ua/proektor-hisense-c1.html,92999,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1651219121,,,,,.2780513,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Sigma mobile Tab A1010 Neo (ARM70424),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-sigma-mobile-tab-a1010-neo-arm70424.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1651219122,,,,,2780512,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Sigma mobile Tab A802 LTE (ARM70423),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-sigma-mobile-tab-a802-lte-arm70423.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1651220254,,,,,2827748,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi Kore Authentic Grey (8740510110),,11300,1,https://comfy.ua/avtokreslo-maxi-cosi-kore-authentic-grey-8740510110.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1651220863,,,,,2734657,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Star 7A Type-C USB Cable 3m Black (EXCT-XCC01),,319,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-star-7a-type-c-usb-cable-3m-black-exct-xcc01.html,,05.11.2025 22:09,,"вул. Соборна, 42",Фастів,0
1651220876,,,,,.2825938,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ET-212-400W-U3,,1559,1,https://comfy.ua/korpus-gamemax-et-212-400w-u3.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1651220877,,,,,.2825940,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax M100-M,,1699,1,https://comfy.ua/korpus-gamemax-m100-m.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1651221130,,,,,2777496,Детские товары >> Детская комната и безопасность,tega-baby,"""Матрацик пеленальний жорсткий Tega Baby Сова, сірий """"50х70"""" (SO-009-106)""",,855,1,https://comfy.ua/matrasik-pelenal-nyj-zhestkij-tega-baby-sova-seryj-50h70-so-009-106.html,1035,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1651221137,6969931,ARTLINE,Моноблок ARTLINE Business M67 Windows 11 Pro (M67v20Win),50736,2825931,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M67 Windows 11 Pro (M67v20Win),,50735,1,https://comfy.ua/komp-juter-monoblok-artline-business-m67-windows-11-pro-m67v20win.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1651221587,6938958,GOODLOOT,Пазл GOODLOOT Cyberpunk 2077: Mercenary on the Rise 1000 (5908305240341),749,2758637,Детские товары >> Игрушки,good-loot,Пазли (8 +) Good Loot Cyberpunk 2077: Mercenary on the Rise Puzzles 1000 шт. (5908305240341),,729,1,https://comfy.ua/pazly-kartonnye-8-good-loot-cyberpunk-2077-mercenary-on-the-rise-puzzles-1000-sht-5908305240341.html,,05.11.2025 23:43,,"вул. Соборна, 42",Фастів,0
1651221588,6938957,GOODLOOT,Пазл GOODLOOT Diablo IV Lilith 1000 (5908305242970),749,2758646,Детские товары >> Игрушки,good-loot,Пазли (8 +) Good Loot Diablo IV Lilith Puzzles 1000 шт. (5908305242970),,649,1,https://comfy.ua/pazly-kartonnye-8-good-loot-diablo-iv-lilith-puzzles-1000-sht-5908305242970.html,,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0
1651221589,,,,,.2758631,Детские товары >> Игрушки,good-loot,"""Пазли (8 +) Good Loot Witcher: Geralt &amp","Ciri Puzzles 1000 шт. (5908305236023)""",,729,1,https://comfy.ua/pazly-kartonnye-8-good-loot-witcher-geralt-ciri-puzzles-1000-sht-5908305236023.html,,05.11.2025 23:29,,"вул. Соборна, 42",Фастів
1651221597,,,,,2827752,Детские товары >> Игрушки >> Пазлы >> Пазлы Janod,janod,Пазли (3-4 роки) Janod Карта світу з тваринами (J05468),,945,1,https://comfy.ua/pazly-magnitnye-3-4-goda-janod-karta-mira-s-zhivotnymi-j05468.html,,05.11.2025 23:33,,"вул. Соборна, 42",Фастів,0
1651221598,,,,,2827753,Детские товары >> Игрушки >> Пазлы >> Пазлы Janod,janod,Пазли (3-4 роки) Janod Планісфера динозаврів (J05836),,1399,1,https://comfy.ua/pazly-magnitnye-3-4-goda-janod-planisfera-dinozavrov-j05836.html,,05.11.2025 23:55,,"вул. Соборна, 42",Фастів,0
1651222364,,,,,.2825937,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ST102-2U3,,2079,1,https://comfy.ua/korpus-gamemax-st102-2u3.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1651222365,,,,,.2825941,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax MT300-2U3-60W,,1979,1,https://comfy.ua/korpus-gamemax-mt300-2u3-60w.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
