1652585664,column,column,column,column,2780121,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,____armorstandart_for_huawei_matepad_pro_11_2022_arm65759,column,349,1,httpscomfyuazaschitnajaplenkadljaplanshetaarmorstandartforhuaweimatepadpro112022arm65759html,column,05112025_2039,column,__42,Фастів,0
1652585663,,,,,.2780122,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Doogee T10 (ARM66244),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-doogee-t10-arm66244.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1652585664,,,,,.2780121,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Huawei MatePad Pro 11 2022 (ARM65759),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-huawei-matepad-pro-11-2022-arm65759.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1652585665,,,,,.2779241,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Ulefone Armor Pad 2 4G (ARM72591),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-ulefone-armor-pad-2-4g-arm72591.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1652592147,,,,,2798814,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Чехлы для планшетов >> Чехлы для планшетов Lenovo",lenovo,Чохол для планшету Lenovo Folio Case Tab M11 Luna Grey TB330 (ZG38C05461),,999,1,https://comfy.ua/chehol-dlja-plansheta-lenovo-folio-case-luna-g38c05461.html,1299,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,1
1652747360,,,,,.2843830,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Inspiroy RTE-100+рукавиця,,1763,1,https://comfy.ua/graficheskij-planshet-huion-inspiroy-rte-100-perchatka.html,1959,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1652747439,6965415,OUKITEL,Планшет OUKITEL RT7 4G TITAN 8/256GB LTE Blue,15699,2843853,"Ноутбуки, планшеты и компьютерная техника >> Планшеты >> Планшеты все >> Планшеты все OUKITEL",oukitel,"""Планшет OUKITEL RT7 4G Titan 10.1"""" 8/256GB LTE Blue""",,15699,1,https://comfy.ua/planshet-oukitel-rt7-4g-titan-10-1-8-256gb-lte-blue.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1652928572,6926720,BOSCH,Лазерный нивелир BOSCH GLL 3-80 C (0.601.063.R05),26118,2095132,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Bosch,bosch,Вимірювальний пристрій Bosch GLL 3-80 C (0.601.063.R05),,26119,1,https://comfy.ua/izmeritel-nyj-pribor-bosch-gll-3-80-c-0-601-063-r05.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1652933744,,,,,2300909,Энергообеспечение >> Солнечные панели,choetech,Портативна сонячна панель Choetech 80W 5V/2.4A USB+5V/2.4A QC3.0 + USB-C PD3.0 (SC007),,9869,1,https://comfy.ua/portativnaja-solnechnaja-panel-choetech-80w-5v-2-4a-usb-5v-2-4a-qc3-0-usb-c-pd3-0-sc007.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1652936335,6871595,NEO TOOLS,Прожектор NEO TOOLS 250 люмен (99-055),320,2835520,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники Neo Tools",neo-tools,Світлодіодний прожектор Neo Tools 99-055,,319,1,https://comfy.ua/svetodiodnyj-prozhektor-neo-tools-99-055.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1652936528,6871680,NEO TOOLS,Солнечная панель NEO TOOLS 15 Вт (90-140),1999,2528971,Энергообеспечение >> Солнечные панели >> Солнечные панели все >> Солнечные панели все Neo Tools,neo-tools,Портативні сонячні панелі Neo Tools 90-140,,1999,1,https://comfy.ua/portativnaja-solnechnaja-panel-neo-tools-90-140.html,,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
