1653016139,column,column,column,column,2834393,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,__deepcool_ak400_digital_rak400bkadmng,column,2179,1,httpscomfyuaprocessornyjkulerdeepcoolak400digitalrak400bkadmnghtml,column,05112025_1847,column,__42,Фастів,0
1653016122,,,,,2699902,Игровые консоли и гейминг >> Комплектующие для игровых ПК,jonsbo,Процесорний кулер Jonsbo PISA A5 ARGB White,,1199,1,https://comfy.ua/processornyj-kuler-jonsbo-pisa-a5-argb-white.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1653016139,,,,,.2834393,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,Процесорний кулер Deepcool AK400 Digital (R-AK400-BKADMN-G),,2179,1,https://comfy.ua/processornyj-kuler-deepcool-ak400-digital-r-ak400-bkadmn-g.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1653016146,,,,,2744963,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus TUF GAMING LC II 240 ARGB (90RC00U1-M0UAY0),,3789,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-tuf-gaming-lc-ii-240-argb-90rc00u1-m0uay0.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1653076222,,,,,2795063,Техника для кухни >> Крупная техника,scandilux,Витяжка декоративна Scandilux DH60652BG3,,5999,1,https://comfy.ua/vytjazhka-dekorativnaja-scandilux-dh60652bg3.html,6999,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1653076381,,,,,2795060,Техника для кухни >> Крупная техника,scandilux,Витяжка вбудована Scandilux TLH6065BP2,,3499,1,https://comfy.ua/vytjazhka-vstraivaemaja-scandilux-tlh6065bp2.html,3999,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1653100216,6978811,MAGIO,Электропечь MAGIO MG-248,3475,2834858,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Magio,magio,Піч електрична Magio MG-248,,3475,1,https://comfy.ua/pech-jelektricheskaja-magio-mg-248.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1653101611,6902698,KITCHENAID,Насадка-лопатка KITCHENAID 5K7FB для чаши 6.9 л,5339,2791352,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники KitchenAid,kitchenaid,Насадка для кухонного комбайна KitchenAid 5K7FB,,5339,1,https://comfy.ua/nasadka-dlja-kuhonnogo-kombajna-kitchenaid-5k7fb.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1653192354,,,,,.2843820,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion H420+рукавиця,,1349,1,https://comfy.ua/graficheskij-planshet-huion-h420-perchatka.html,1499,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1653192355,,,,,.2843822,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Inspiroy H430P+рукавиця,,1799,1,https://comfy.ua/graficheskij-planshet-huion-inspiroy-h430p-perchatka.html,1999,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1653192356,,,,,2843821,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Inspiroy H420X+рукавиця,,1619,1,https://comfy.ua/graficheskij-planshet-huion-inspiroy-h420x-perchatka.html,1799,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
