1654801123,column,column,column,column,2845743,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expertpc,__expert_pc_gemini_i144f64s2046tg12145,column,63474,1,httpscomfyuasistemnyjblokexpertpcgeminii144f64s2046tg12145html,76799,05112025_1742,column,__42,Фастів,0
1654801113,,,,,.2845756,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S10.47.G12158W),,72731,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s10-47-g12158w.html,83599,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1654801123,,,,,.2845743,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S20.46T.G12145),,63474,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s20-46t-g12145.html,76799,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1654801218,,,,,.2845753,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S10.47.G12155),,73079,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s10-47-g12155.html,83999,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1654801850,,,,,.2845757,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S15.47.G12159W),,74210,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s15-47-g12159w.html,85299,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1654801900,,,,,.2845754,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S15.47.G12156),,74558,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s15-47-g12156.html,85699,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1654801914,,,,,.2845758,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S20.47.G12160W),,75167,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s20-47-g12160w.html,86399,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1654803455,,,,,2728837,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Кабель патч-корд 2E САТ 5e UTP 3m Gray (2E-PC5ECU-3LSZH-GRY),,98,1,https://comfy.ua/kabel-patch-kord-2e-sat-5e-utp-3m-gray-2e-pc5ecu-3lszh-gry.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1654803500,,,,,2728847,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Кабель патч-корд 2E САТ 6 UTP 2m Gray (2E-PC6CU-UTP2LSZH-GRY),,81,1,https://comfy.ua/kabel-patch-kord-2e-sat-6-utp-2m-gray-2e-pc6cu-utp2lszh-gry.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1654803568,,,,,2728848,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Кабель патч-корд 2E САТ 6 UTP 3m Gray (2E-PC6CU-UTP3LSZH-GRY),,109,1,https://comfy.ua/kabel-patch-kord-2e-sat-6-utp-3m-gray-2e-pc6cu-utp3lszh-gry.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1654803571,,,,,2728842,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Кабель патч-корд 2E САТ 5e FTP 3m Gray (2E-PC5ECU-FTP3LSZH-GRY),,115,1,https://comfy.ua/kabel-patch-kord-2e-sat-5e-ftp-3m-gray-2e-pc5ecu-ftp3lszh-gry.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
1654803585,,,,,2728845,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Кабель патч-корд 2E САТ 6 FTP 3m Gray (2E-PC6CU-FTP3LSZH-GRY),,129,1,https://comfy.ua/kabel-patch-kord-2e-sat-6-ftp-3m-gray-2e-pc6cu-ftp3lszh-gry.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1654803589,,,,,2728838,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Кабель патч-корд 2E САТ 5e UTP 5m Gray (2E-PC5ECU-5LSZH-GRY),,149,1,https://comfy.ua/kabel-patch-kord-2e-sat-5e-utp-5m-gray-2e-pc5ecu-5lszh-gry.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1654803629,,,,,2728843,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Кабель патч-корд 2E САТ 5e FTP 5m Gray (2E-PC5ECU-FTP5LSZH-GRY),,169,1,https://comfy.ua/kabel-patch-kord-2e-sat-5e-ftp-5m-gray-2e-pc5ecu-ftp5lszh-gry.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1654803631,,,,,2728846,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Кабель патч-корд 2E САТ 6 FTP 5m Gray (2E-PC6CU-FTP5LSZH-GRY),,185,1,https://comfy.ua/kabel-patch-kord-2e-sat-6-ftp-5m-gray-2e-pc6cu-ftp5lszh-gry.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1654803880,,,,,.2845755,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S20.47.G12157),,75515,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s20-47-g12157.html,86799,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1654806208,,,,,.2845759,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S10.47.G12161W),,78560,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s10-47-g12161w.html,90299,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1654806408,,,,,.2845760,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S15.47.G12162W),,80039,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s15-47-g12162w.html,91999,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1654807920,,,,,.2845761,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S20.47.G12163W),,80996,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s20-47-g12163w.html,93099,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1654809351,,,,,.2832271,Техника для дома >> Мелкая техника,ronix,Мінімийка Ronix 8930,,4499,1,https://comfy.ua/minimojka-ronix-8930.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1654810595,,,,,2820967,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Armorstandart,armorstandart,Чохол для смартфону Armorstandart Icon Case for Samsung S24 Dark Blue (ARM72489),,349,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-icon-case-for-samsung-s24-dark-blue-arm72489.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1654810645,,,,,2829717,Красота и здоровье >> Уход за волосами,laifen,Фен Laifen Swift Premium Platinum блакитний (LF03-PBG-EU),,6299,1,https://comfy.ua/fen-laifen-swift-premium-platinum-blue-lf03-pbg-eu.html,6999,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1654810646,,,,,2829729,Красота и здоровье >> Уход за волосами,laifen,Фен Laifen Swift Special білий (LF03-WHG-EU),,5999,1,https://comfy.ua/fen-laifen-swift-special-white-lf03-whg-eu.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1654830349,,,,,2843836,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,"""Ляльковий набір L.O.L. Surprise! """"Surprise Swap"""" – КРІМПС КОРА (з аксес.) (593263)""",,1299,1,https://comfy.ua/kollekcionnaja-kukla-nabor-l-o-l-surprise-surprise-swap-krimps-kora-s-aksess-593263.html,,05.11.2025 23:29,,"вул. Соборна, 42",Фастів,0
1654830444,,,,,.2824261,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asrock,Материнська плата ASRock H610M-HDV/M.2 R2.0,,2899,1,https://comfy.ua/materinskaja-plata-asrock-h610m-hdv-m-2-r2-0.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1654830445,,,,,.2840789,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME H510M-A R2.0 DDR4,,3199,1,https://comfy.ua/materinskaja-plata-asus-prime-h510m-a-r2-0-ddr4.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1654830446,,,,,.2840794,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte H610M H V3 DDR4,,2599,1,https://comfy.ua/materinskaja-plata-gigabyte-h610m-h-v3-ddr4.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1654830447,,,,,.2839801,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME H610M-K DDR5,,3429,1,https://comfy.ua/materinskaja-plata-asus-prime-h610m-k-ddr5.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1654830450,,,,,.2824258,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asrock,Материнська плата ASRock B760M-HDV/M.2 D4,,3655,1,https://comfy.ua/materinskaja-plata-asrock-b760m-hdv-m-2-d4.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1654830452,,,,,.2826017,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte N4120I H DDR4,,4089,1,https://comfy.ua/materinskaja-plata-gigabyte-celeron-n4120-4-core-vga-hdm-i-1xm-2-1xcom-gbe-lan-mini-itx-n4120i-h-ddr4.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1654830455,,,,,.2840788,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME H610M-A WIFI DDR5,,4489,1,https://comfy.ua/materinskaja-plata-asus-prime-h610m-a-wifi-ddr5.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1654830456,,,,,.2824259,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asrock,Материнська плата ASRock N100M,,5559,1,https://comfy.ua/materinskaja-plata-asrock-n100m.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1654833757,6967705,PANASONIC,Эпилятор PANASONIC ES-EY31-W520,3699,2837818,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Panasonic,panasonic,Епілятор Panasonic ES-EY31-W520,,4399,1,https://comfy.ua/jepiljator-panasonic-es-ey31-w520.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1654835098,,,,,.2852008,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (I12400F.16.S1.3050.A6109),,31058,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-i12400f-16-s1-3050-a6109.html,35699,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1654837338,,,,,.2852009,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (I12400F.32.S1.3050.A6110),,32363,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-i12400f-32-s1-3050-a6110.html,37199,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1654837871,,,,,2820821,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",pantum,"Тонер для заправки картриджа Pantum PC-230R/PC-211EV до M6500, P2200/2207/2507W (PC-211PRB)",,755,1,https://comfy.ua/toner-dlja-zapravki-kartridzha-pantum-pc-230r-pc-211ev-dlja-m6500-p2200-2207-2507w-pc-211prb.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1654838243,,,,,2738012,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Bollire,bollire,Набір столових приборів Bollire BR-5001 PESCARA 24 шт.,,2104,1,https://comfy.ua/nabor-stolovyh-priborov-bollire-br-5001-pescara-24-sht.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1654838631,,,,,.2852010,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (I12400F.16.S1.3060.A6111),,34538,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-i12400f-16-s1-3060-a6111.html,39699,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1654839034,,,,,2857718,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! серії Ліло і Стіч - СТИЧ З УКУЛЕЛЕ (55615),,805,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-cerii-lilo-i-stich-stich-s-ukulele-55615.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
1654839036,,,,,2857720,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! серії Наруто – САСКЕ (72072),,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-serii-naruto-saskje-72072.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
