1654854063,6965663,concept,_concept_te2050,2199,2846051,__________concept,concept,_concept_te2050,column,2199,1,httpscomfyuatosterconceptte2050html,column,05112025_1955,column,__42,Фастів,0
1654847849,,,,,2847809,Детские товары >> Игрушки >> Пазлы >> Пазлы Vladi Toys,vladi-toys,"""Пазли (до 2 років) Vladi Toys """"Динозаври"""" (укр) (VT1106-93)""",,71,1,https://comfy.ua/pazly-mjagkie-do-2-let-vladi-toys-dinozavry-ukr-vt1106-93.html,,05.11.2025 23:27,,"вул. Соборна, 42",Фастів,0
1654854063,6965663,CONCEPT,Тостер CONCEPT TE2050,2199,2846051,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Concept,concept,Тостер Concept TE2050,,2199,1,https://comfy.ua/toster-concept-te2050.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1654854575,,,,,2837814,Бытовая химия >> Средства для стирки,washfree,Гель для прання WASH & FREE Универсальный (DOYPACK) 2000г,,75,1,https://comfy.ua/gel-dlja-stirki-wash-free-universal-nyj-doypack-2000g.html,120,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1654855008,,,,,2820966,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Icon Case for Samsung S24 Black (ARM72488),,349,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-icon-case-for-samsung-s24-black-arm72488.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1654855037,6906376,ERGO,Мобильный телефон ERGO F241 Dual Sim Black,1049,2850017,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Ergo,ergo,Мобільний телефон Ergo F241 Dual Sim Black,,1049,1,https://comfy.ua/mobil-nyj-telefon-ergo-f241-dual-sim-black.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1654857919,,,,,2000949,Инструменты и автотовары >> Расходные материалы,qbrick-system,Ящик для інструментів Qbrick System SZU10XCZAPG001,,315,1,https://comfy.ua/jaschik-dlja-instrumentov-qbrick-system-szu10xczapg001.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1654861306,,,,,.2853016,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (I12400F.16.S1.4070.A6117),,48632,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-i12400f-16-s1-4070-a6117.html,55899,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1654862309,,,,,.2853017,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (I12400F.32.S1.4070.A6118),,49937,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-i12400f-32-s1-4070-a6118.html,57399,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1654863737,,,,,2852109,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Maxi-Cosi,maxi-cosi,Стільчик для годування класичний Maxi-Cosi Moa Beyond Graphite ECO,,7560,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-maxi-cosi-moa-beyond-graphite-eco.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1654863740,,,,,2852108,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Maxi-Cosi,maxi-cosi,Стільчик для годування класичний Maxi-Cosi Minla Beyond Grey Eco,,8802,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-maxi-cosi-minla-beyond-grey-eco.html,9780,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1654863741,,,,,2852107,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Maxi-Cosi,maxi-cosi,Стільчик для годування класичний Maxi-Cosi Minla Beyond Graphite Eco,,8802,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-maxi-cosi-minla-beyond-graphite-eco.html,9780,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1654870098,7066861,LIONELO,Коляска прогулочная LIONELO ELIA GREY WHITE (LO-ELIA GREY WHITE),3778,2777636,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Elia Grey White,,3999,1,https://comfy.ua/koljaska-progulochnaja-lionelo-elia-grey-white.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
