1655252322,6971368,iiyama,_iiyama_prolite_xub2292hsub6,4766,2863058,_________iiyama,iiyama,_iiyama_xub2292hsub6,column,4765,1,httpscomfyuamonitoriiyamaxub2292hsub6html,column,05112025_1751,column,__42,Фастів,0
1655252298,6971369,IIYAMA,Монитор IIYAMA XU2292HSU-B6,3965,2863059,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA XU2292HSU-B6,,3965,1,https://comfy.ua/monitor-iiyama-xu2292hsu-b6.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1655252322,6971368,IIYAMA,Монитор IIYAMA ProLite XUB2292HSU-B6,4766,2863058,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA XUB2292HSU-B6,,4765,1,https://comfy.ua/monitor-iiyama-xub2292hsu-b6.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1655252322,6971369,IIYAMA,Монитор IIYAMA XU2292HSU-B6,3965,2863058,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA XUB2292HSU-B6,,4765,1,https://comfy.ua/monitor-iiyama-xub2292hsu-b6.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1655268165,,,,,.2738216,Техника для кухни >> Мелкая техника,wmf,Блендер заглибний WMF 416720011 Kult X,,3799,1,https://comfy.ua/blender-pogruzhnoj-wmf-416720011-kult-x.html,5099,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1655281844,6687202,KARCHER,Пылесос KARCHER T 11/1 Classic (1.527-197.0),5599,2864433,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Karcher,karcher,Пилосос для сухого прибирання з мішком Karcher T 11/1 Classic (1.527-197.0),,5599,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-karcher-t-11-1-classic-1-527-197-0.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1655282734,6963896,TALKO,Кастрюля TALKO Селена 2 л Silver (D3002),768,2768326,Посуда >> Для приготовления >> Кастрюли >> Кастрюли TALKo,talko,Каструля TALKo 2 л (D3002),,768,1,https://comfy.ua/kastrjulja-talko-2-l-d3002.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1655282796,6963897,TALKO,Кастрюля TALKO Селена 3л Silver (D3003),959,2768327,Посуда >> Для приготовления >> Кастрюли >> Кастрюли TALKo,talko,Каструля TALKo 3 л (D3003),,959,1,https://comfy.ua/kastrjulja-talko-3-l-d3003.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1655282799,6963898,TALKO,Кастрюля TALKO Селена 4л (D3004),790,2768325,Посуда >> Для приготовления >> Кастрюли >> Кастрюли TALKo,talko,Каструля TALKo 4 л (D3004),,1059,1,https://comfy.ua/kastrjulja-talko-4-l-d3004.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1655282929,6924905,TALKO,Кастрюля TALKO Веста 3 л Dark Grey (АD3203),1082,2591846,Посуда >> Для приготовления >> Кастрюли >> Кастрюли TALKo,talko,Каструля TALKo 3 л (АD3203),,1082,1,https://comfy.ua/kastrjulja-talko-3-l-ad3203.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1655282930,6924909,TALKO,Кастрюля TALKO Веста 4 л Dark Grey (АD3204),1269,2591847,Посуда >> Для приготовления >> Кастрюли >> Кастрюли TALKo,talko,Каструля TALKo 4 л (АD3204),,1269,1,https://comfy.ua/kastrjulja-talko-4-l-ad3204.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1655289505,,,,,2860837,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",officepro,Підставка під ноутбук OfficePro LH313B Black,,549,1,https://comfy.ua/podstavka-pod-noutbuk-officepro-lh313b-black.html,649,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1655289507,,,,,2860838,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",officepro,Підставка під ноутбук охолоджуюча OfficePro LH474B Black,,799,1,https://comfy.ua/podstavka-pod-noutbuk-officepro-lh474b-black.html,899,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1655289510,,,,,2860852,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",officepro,Підставка під ноутбук OfficePro LH524B Black,,599,1,https://comfy.ua/podstavka-pod-noutbuk-officepro-lh524b-black.html,999,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1655305130,6939274,GOODGRILL,Электропечь GOODGRILL GR-5501RC,4988,2857115,Техника для кухни >> Крупная техника,goodgrill,Піч електрична GoodGrill GR-5501RC,,4989,1,https://comfy.ua/pech-jelektricheskaja-goodgrill-gr-5501rc.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1655305131,6939275,GOODGRILL,Электропечь GOODGRILL GR-6501RC,4499,2857116,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи GoodGrill,goodgrill,Піч електрична GoodGrill GR-6501RC,,4499,1,https://comfy.ua/pech-jelektricheskaja-goodgrill-gr-6501rc.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1655325767,,,,,2519482,Инструменты и автотовары >> Расходные материалы,haisser,Круг шліфувальний Haisser 125 мм 5 шт. (5315314),,63,1,https://comfy.ua/krug-shlifoval-nyj-haisser-125-mm-5-sht-5315314.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
1655325829,,,,,2519474,Инструменты и автотовары >> Расходные материалы,haisser,Круг шліфувальний Haisser 190 мм 5 шт. (5316323),,155,1,https://comfy.ua/krug-shlifoval-nyj-haisser-190-mm-5-sht-5316323.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1655325845,,,,,2519475,Инструменты и автотовары >> Расходные материалы,haisser,Круг шліфувальний Haisser 190 мм 5 шт. (5316324),,155,1,https://comfy.ua/krug-shlifoval-nyj-haisser-190-mm-5-sht-5316324.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
1655325847,,,,,2519477,Инструменты и автотовары >> Расходные материалы,haisser,Круг шліфувальний Haisser 225 мм 5 шт. (5317331),,215,1,https://comfy.ua/krug-shlifoval-nyj-haisser-225-mm-5-sht-5317331.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1655340160,6923595,ENCHEN,Электробритва ENCHEN Xiaomi Z4 (ench-z4),599,2845659,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Enchen,enchen,Бритва Enchen Z4,,599,1,https://comfy.ua/britva-enchen-z4.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1655340191,6856333,SHOWSEE,Электробритва Xiaomi ShowSee Electric Shaver Black (F1-BK),1059,1831815,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Xiaomi,xiaomi,Бритва Xiaomi ShowSee Electric Shaver Black (F1-BK),,1059,1,https://comfy.ua/britva-xiaomi-showsee-electric-shaver-black-f1-bk.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1655340194,6923591,SHOWSEE,Электробритва Xiaomi ShowSee F601,879,2845668,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Xiaomi,xiaomi,Бритва Xiaomi ShowSee (SS-F601),,939,1,https://comfy.ua/britva-xiaomi-showsee-ss-f601.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1655388725,,,,,2853621,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня електрична Ventolux HI 64 TC FBS SQFZ SL,,7599,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-ventolux-hi-64-tc-fbs-sqfz-sl.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1655393412,6993150,HAIER,Стиральная машина HAIER HW50-BP12307-S,20503,2685914,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Haier,haier,Пральна машина Haier HW50-BP12307,,22999,1,https://comfy.ua/stiral-naja-mashina-haier-hw50-bp12307.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1655395120,6963875,TALKO,Ковш TALKO Веста-Light 1.2 л Dark Grey (АD60161),599,2741598,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники TALKo,talko,Сотейник TALKo 1.2 л (АD60163),,599,1,https://comfy.ua/sotejnik-talko-1-2-l-ad60163.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1655426315,,,,,.2860851,Телевизоры и мультимедиа >> Аксессуары для ТВ,officepro,Кріплення для акустики OfficePro SS138 Black,,1999,1,https://comfy.ua/kreplenie-dlja-akustiki-officepro-ss138-black.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1655427602,,,,,.2001967,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",hp,Картридж для струменевих принтерів/БФП HP 89Y Black (CF289Y),,19615,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-89y-black-cf289y.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
