1656296187,6835460,lg,_lg_gcb459secl,24999,2866840,__________lg,lg,_lg_gcb459secl,column,24999,1,httpscomfyuaholodilniklggcb459seclhtml,column,05112025_1810,column,__42,Фастів,0
1656295673,6963222,PHILIPS,Электрочайник PHILIPS HD9396/90,3199,2871614,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Philips,philips,Електричний чайник Philips HD9396/90,,3199,1,https://comfy.ua/jelektricheskij-chajnik-philips-hd9396-90.html,4299,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1656296187,6835460,LG,Холодильник LG GC-B459SECL,24999,2866840,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники LG,lg,Холодильник LG GC-B459SECL,,24999,1,https://comfy.ua/holodil-nik-lg-gc-b459secl.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1656296188,6851423,LG,Холодильник LG GC-B459SLCL,24999,2866841,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники LG,lg,Холодильник LG GC-B459SLCL,,24999,1,https://comfy.ua/holodil-nik-lg-gc-b459slcl.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1656296195,6550651,PHILIPS,Фен PHILIPS BHD003/00,649,2846104,Красота и здоровье >> Уход за волосами >> Фены >> Фены Philips,philips,Фен Philips BHD003/00,,649,1,https://comfy.ua/fen-philips-bhd003-00.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1656296362,6864014,LG,Холодильник LG GC-B509SESM,29499,2866835,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники LG,lg,Холодильник LG GC-B509SESM,,29499,1,https://comfy.ua/holodil-nik-lg-gc-b509sesm.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,1
1656296377,6842374,LG,Холодильник LG GC-B509SECL,28499,2866839,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники LG,lg,Холодильник LG GC-B509SECL,,28499,1,https://comfy.ua/holodil-nik-lg-gc-b509secl.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1656296929,6981366,REOLINK,IP-камера REOLINK CX410,5099,2854290,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры Reolink",reolink,IP-камера Reolink CX410,,3379,1,https://comfy.ua/ip-kamera-reolink-cx410.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1656299146,7170443,PERFELLI,Вытяжка PERFELLI RINCI 6CWX INOX,3779,2865514,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка традиційна Perfelli RINCI 6CWX INOX,,3779,1,https://comfy.ua/vytjazhka-tradicionnaja-perfelli-rinci-6cwx-inox.html,4199,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1656299147,7170442,PERFELLI,Вытяжка PERFELLI RINCI 6CWX BIANCO,3779,2865516,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка традиційна Perfelli RINCI 6CWX BIANCO,,3779,1,https://comfy.ua/vytjazhka-tradicionnaja-perfelli-rinci-6cwx-bianco.html,4199,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1656299162,7170333,PERFELLI,Вытяжка PERFELLI TL 6622 Full BL 1000 LED,4499,2866699,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli TL 6622 Full BL 1000 LED,,4499,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-tl-6622-full-bl-1000-led.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1656299544,,,,,2738006,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Bollire,bollire,Набір посуду Bollire BR-4001 6 шт.,,2480,1,https://comfy.ua/nabor-posudy-bollire-br-4001-6-sht.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1656299545,,,,,2738007,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Bollire,bollire,Набір посуду Bollire BR-4002 6 шт.,,2976,1,https://comfy.ua/nabor-posudy-bollire-br-4002-6-sht.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1656299546,,,,,2738011,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Bollire,bollire,Набір посуду Bollire BR-4014 4 шт.,,1704,1,https://comfy.ua/nabor-posudy-bollire-br-4014-4-sht.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1656311396,,,,,2863819,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Intaleo,intaleo,Мережевий зарядний пристрій Intaleo 12W Fast Charge 2USB 2.4A TCG242 (1283126578281),,299,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-intaleo-12w-fast-charge-2usb-2-4a-tcg242-1283126578281.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,1
1656312012,,,,,2863818,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Intaleo,intaleo,Мережевий зарядний пристрій Intaleo 30W GAN USB-C PD+USB-A QC 3.0 TCG30GAN (1283126578274),,599,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-intaleo-30w-gan-usb-c-pd-usb-a-qc-3-0-tcg30gan-1283126578274.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,1
1656312126,,,,,2863817,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Intaleo,intaleo,Мережевий зарядний пристрій Intaleo 65W GAN 2USB-C PD+USB-A QC 3.0 TCG65GAN (1283126559525),,1399,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-intaleo-65w-gan-2usb-c-pd-usb-a-qc-3-0-tcg65gan-1283126559525.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
