1656413074,6903811,aureti,_aureti_lkj02905_500__au0101,149,2567395,________aureti,aureti,_aureti_lkj02905_500__au0101,column,149,1,httpscomfyuamiskaauretilkj02905500mlau0101html,column,05112025_1923,column,__42,Фастів,0
1656412873,,,,,12354631,OUTLET,aopen,Мікропошкодження - Проектор AOPEN PV12p (MR.JW211.001) WiFi,,6174,1,https://comfy.ua/proektor-aopen-pv12p-mr-jw211-001-wifi-ucenka-50-1.html,12375,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1656413074,6903811,AURETI,Миска AURETI LKJ-029-0.5 500 мл (AU-01-01),149,2567395,Посуда >> Кухонные аксессуары >> Миски >> Миски Aureti,aureti,Миска Aureti LKJ-029-0.5 500 мл (AU-01-01),,149,1,https://comfy.ua/miska-aureti-lkj-029-0-5-500-ml-au-01-01.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1656413076,6903812,AURETI,Миска AURETI LKJ-029-1.56 1560 мл (AU-01-02),160,2567396,Посуда >> Кухонные аксессуары >> Миски >> Миски Aureti,aureti,Миска Aureti LKJ-029-1.56 1560 мл (AU-01-02),,160,1,https://comfy.ua/miska-aureti-lkj-029-1-56-1560-ml-au-01-02.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1656413208,6965425,OUKITEL,Смартфон OUKITEL WP27 12/256GB NFC Camo,11199,2843849,Смартфоны и телефоны >> Смартфоны >> Смартфоны OUKITEL >> Серия OUKITEL WP27,oukitel,Смартфон OUKITEL WP27 12/256GB Camo,,11199,1,https://comfy.ua/smartfon-oukitel-wp27-12-256gb-camo-harakteristiki.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1656413217,,,,,2843851,Смартфоны и телефоны >> Смартфоны,oukitel,Смартфон OUKITEL WP23 Pro 8/128GB Orange,,6415,1,https://comfy.ua/smartfon-oukitel-wp23-pro-8-128gb-orange-harakteristiki.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1656413333,6853528,RINGEL,Ложка коктейльная RINGEL Mira (RG-3117-1/5),36,2655775,Посуда >> Для сервировки >> Принадлежности для бара >> Принадлежности для бара Ringel,ringel,Ложка для лимонаду Ringel Mira (RG-3117-1/5),,50,1,https://comfy.ua/lozhka-dlja-limonada-ringel-mira-rg-3117-1-5.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1656417904,,,,,2822210,"Аудио, фото и видео >> Аксессуары для фото, видео",panasonic,З/пристрій для акумуляторів AA/AAA Panasonic Charger + Eneloop NI-MH  AAA 800 мАг 4 шт. (K-KJ51MCD04E),,1745,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-panasonic-charger-eneloop-ni-mh-aaa-800-mag-4-sht-k-kj51mcd04e.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1656431889,,,,,.2693123,Инструменты и автотовары >> Электроинструменты,milwaukee,Стрічкова шліф. машина Milwaukee M12 FBFL13-0 (4933480960),,14165,1,https://comfy.ua/lentochnaja-shlif-mashina-milwaukee-m12-fbfl13-0-4933480960.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1656432179,,,,,2697030,Инструменты и автотовары >> Ручные инструменты >> Тиски и струбцины >> Тиски и струбцины Milwaukee,milwaukee,Струбцина Milwaukee Torque Lock 1-52 мм (4932471731),,829,1,https://comfy.ua/strubcina-milwaukee-torque-lock-1-52-mm-4932471731.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1656432195,6966558,ACER,Ноутбук ACER Chromebook CB314-3HT-P4EL Silver (NX.KB5EU.001),12999,2860908,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Acer >> Серия Acer Chromebook",acer,Ноутбук Acer Chromebook CB314-3HT (NX.KB5EU.001) Silver,,12999,1,https://comfy.ua/noutbuk-acer-chromebook-cb314-3ht-nx-kb5eu-001-silver.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1656432195,7085950,ACER,Ноутбук ACER Chromebook CB314-3H Silver (NX.KB4EU.001),10999,2860908,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Acer >> Серия Acer Chromebook",acer,Ноутбук Acer Chromebook CB314-3HT (NX.KB5EU.001) Silver,,12999,1,https://comfy.ua/noutbuk-acer-chromebook-cb314-3ht-nx-kb5eu-001-silver.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1656433169,,,,,2822458,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки GRUNWALD,grunwald,Пральний порошок GRUNWALD універсальний безфосф. Aroma 350 г,,40,1,https://comfy.ua/stiral-nyj-poroshok-grunwald-universal-nyj-besfosf-aroma-350-g.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1656433253,,,,,2868239,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Saturn,saturn,Електричний чайник Saturn ST-EK8470,,349,1,https://comfy.ua/jelektricheskij-chajnik-saturn-st-ek8470.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1656433826,7014415,ASUS,Ноутбук ASUS TUF Gaming FA507NU-LP101 Mecha Gray (90NR0EB5-M00AE0),49147,2840922,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",asus,Ноутбук ігровий Asus TUF Gaming A15 FA507NU-LP101 Mecha Gray,,43999,1,https://comfy.ua/noutbuk-igrovoj-asus-tuf-gaming-a15-fa507nu-lp101-mecha-gray.html,49999,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1656434004,6932054,ACER,Ноутбук ACER Nitro V 15 ANV15-51-788T Obsidian Black (NH.QNBEU.003),47999,2866332,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Acer >> Серия Acer Nitro",acer,Ноутбук Acer Nitro V 15 ANV15-51-788T (NH.QNBEU.003) Obsidian Black,,47999,1,https://comfy.ua/noutbuk-acer-nitro-v-15-anv15-51-788t-nh-qnbeu-003-obsidian-black.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1656435279,6967085,HP,Ноутбук HP ZBook Power G10 Grey (7C3M7AV_V2),129255,2866387,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",hp,Ноутбук HP ZBook Power G10 (7C3M7AV_V2) Silver,,114197,1,https://comfy.ua/noutbuk-hp-zbook-power-g10-7c3m7av-v2-silver.html,129255,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1656442362,7045333,STRATEG,Настольная игра STRATEG Kid's Tower (30863),499,1873462,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Kid's Tower (укр) (30863),,439,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-kid-s-tower-ukr-30863.html,,06.11.2025 0:13,,"вул. Соборна, 42",Фастів,0
1656442365,,,,,2866700,Бытовая химия >> Средства для стирки,persil,Капсули для прання Persil Диски Колор 13 шт,,229,1,https://comfy.ua/kapsuly-dlja-stirki-persil-diski-kolor-13-sht.html,413,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,1
1656449502,,,,,2595880,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Gardena,gardena,Набір садових інструментів Gardena Classic Ergo (08965-30.000.00),,1739,1,https://comfy.ua/nabor-sadovyh-instrumentov-gardena-classic-ergo-08965-30-000-00.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1656451023,,,,,.2864444,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gelius,"Кабель синхронизации данных Gelius Twister 4в1 USB-A/Type-C to Type-C/Lightning 60W 1,2m Gray (GP-UCN004)",,599,1,https://comfy.ua/kabel-sinhronizacii-dannyh-gelius-twister-4v1-usb-a-type-c-to-type-c-lightning-60w-1-2m-gray-gp-ucn004.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1656457719,6926570,BOSCH,Котел газовый BOSCH Condens 5300i GC5300i WM 24/100S (7738101021),168000,2235339,Техника для дома >> Климатическая техника >> Газовые котлы >> Газовые котлы Bosch,bosch,Газовий котел Bosch Condens 5300i GC5300i WM 24/100S (7738101021),,167999,1,https://comfy.ua/gazovyj-kotel-bosch-condens-5300i-gc5300i-wm-24-100s-7738101021.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
