1656559852,6545450,menalux,____menalux_cfp4_100__900256314,219,1834642,_________________menalux,menalux,___menalux_cfp_4_100_,column,219,1,httpscomfyuafiltrdljakofevarkimenaluxcfp4100shthtml,column,05112025_1725,column,__42,Фастів,0
1656557246,6895457,EINHELL,"Ножницы EINHELL GC-CG 3,6/70 Li WT (3410365)",1519,2527214,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Einhell,einhell,Кущоріз Einhell GC-CG 3.6/70 Li WT (3410365),,1519,1,https://comfy.ua/kustorez-einhell-gc-cg-3-6-70-li-wt-3410365.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1656559852,6545450,MENALUX,Бумажный фильтр для кофеварок MENALUX CFP4 100 шт. (900256314),219,1834642,Бытовая химия >> Средства для чистки техники >> Средства для чистки кофемашин >> Средства для чистки кофемашин Menalux,menalux,Фільтр для кавоварки Menalux CFP 4 100 шт.,,219,1,https://comfy.ua/fil-tr-dlja-kofevarki-menalux-cfp-4-100-sht.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1656576942,6967059,AOC,Монитор AOC CU34G2XP,14899,2873461,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы AOC",aoc,Монітор ігровий AOC CU34G2XP/BK,,13119,1,https://comfy.ua/monitor-igrovoj-aoc-cu34g2xp-bk.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1656577499,6952523,A4TECH,Гарнитура A4TECH BH220 Black,999,2832308,"Аудио, фото и видео >> Наушники >> Наушники A4tech",a4tech,Навушники повнорозмірні бездротові A4tech Fstyler Bluetooth 5.3 Wireless (BH220 Black),,999,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-a4tech-fstyler-bluetooth-5-3-wireless-bh220-black.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1656577513,6952522,A4TECH,Гарнитура A4TECH BH350C White,1399,2832307,"Аудио, фото и видео >> Наушники >> Наушники A4tech",a4tech,Навушники повнорозмірні бездротові A4tech Fstyler ANC Bluetooth 5.3 Wireless (BH350C White),,1399,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-a4tech-fstyler-anc-bluetooth-5-3-wireless-bh350c-white.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1656577514,6952521,A4TECH,Гарнитура A4TECH BH350C Black,1399,2832306,"Аудио, фото и видео >> Наушники >> Наушники A4tech",a4tech,Навушники повнорозмірні бездротові A4tech Fstyler ANC Bluetooth 5.3 Wireless (BH350C Black),,1399,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-a4tech-fstyler-anc-bluetooth-5-3-wireless-bh350c-black.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1656577515,6964873,OPPO,Гарнитура OPPO Enco Buds2 Pro E510A Graphite Black,1111,2850674,"Аудио, фото и видео >> Наушники >> Наушники OPPO",oppo,Навушники вкладиші бездротові TWS OPPO Enco Buds2 Pro Graphite Black,,1111,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-oppo-enco-buds2-pro-graphite-black.html,2499,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,4
1656577516,6964874,OPPO,Гарнитура OPPO Enco Buds2 Pro E510A Granite White,1111,2850675,"Аудио, фото и видео >> Наушники >> Наушники OPPO",oppo,Навушники вкладиші бездротові TWS OPPO Enco Buds2 Pro Granite White,,1111,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-oppo-enco-buds2-pro-granite-white.html,2499,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,2
1656605649,,,,,2832825,Бытовая химия >> Для кухни и мытья посуды,helper,Засіб для ручного миття посуду Helper Max Easy Clean 500 мл,,46,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-helper-max-easy-clean-500-ml.html,75,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1656605650,,,,,2832824,Бытовая химия >> Для кухни и мытья посуды,helper,Засіб для ручного миття посуду Helper Max Ultra Power 500 мл,,46,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-helper-max-ultra-power-500-ml.html,75,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1656627739,7038490,DIFRAX,Бутылочка DIFRAX антиколиковая 170 мл S-bottle Natural Ice (705 Ice),449,2814102,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Difrax",difrax,Пляшка для годування Difrax 170 мл S-bottle Natural (705 Ice),,449,1,https://comfy.ua/butylochka-dlja-kormlenija-difrax-170-ml-s-bottle-natural-705-ice.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1656633561,,,,,.2869208,Красота и здоровье >> Уход за полостью рта,oromed,Іригатор Oromed ORO-DENT-PRO,,3205,1,https://comfy.ua/irrigator-oromed-oro-dent-pro.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1656715471,,,,,2832833,Бытовая химия >> Все для уборки,balance,Засіб по догляду за підлоговими покриттями BALANCE д/миття дерев'яної підлоги 800 мл,,185,1,https://comfy.ua/sredstvo-po-uhodu-za-napol-nymi-pokrytijami-balance-d-mojka-derevjannogo-pola-800-ml.html,289,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1656755532,,,,,2860376,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 5 5500GT (100-100001489BOX),,5999,1,https://comfy.ua/processor-amd-ryzen-5-5500gt-100-100001489box.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1656758468,,,,,.2860370,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 5 7500F (100-100000597MPK),,7799,1,https://comfy.ua/processor-amd-ryzen-5-7500f-100-100000597mpk.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
