1657493233,6965420,poly,_poly_tws_voyager_free_60_earbuds__bt700c__bchc_black_7y8h4aa,8109,2842463,________poly,poly,___tws_poly_voyager_free_60_earbuds__bt700c__bchc_black_7y8h4aa,column,8109,1,httpscomfyuanaushnikivkladyshibesprovodnyetwspolyvoyagerfree60earbudsbt700cbchcblack7y8h4aahtml,column,05112025_1915,column,__42,Фастів,0
1657484704,6950086,MASTERPRO,"Форма MASTERPRO Foodies collection 25,4х22,8 см (BGMP-7336)",319,2799490,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Masterpro,masterpro,"Форма для приготування Masterpro Foodies collection 25,4х22,8 см (BGMP-7336)",,319,1,https://comfy.ua/forma-dlja-prigotovlenija-masterpro-foodies-collection-25-4h22-8-sm-bgmp-7336.html,579,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1657493233,6965420,POLY,Гарнитура POLY TWS Voyager Free 60 Earbuds + BT700C + BCHC Black (7Y8H4AA),8109,2842463,"Аудио, фото и видео >> Наушники >> Наушники Poly",poly,Навушники вкладиші бездротові TWS Poly Voyager Free 60 Earbuds + BT700C + BCHC Black (7Y8H4AA),,8109,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-poly-voyager-free-60-earbuds-bt700c-bchc-black-7y8h4aa.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1657493553,6977818,KITCHENAID,Форма для выпечки KITCHENAID для хлеба (CC003298-001),1599,2868828,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко KitchenAid,kitchenaid,Форма для приготування KitchenAid 27х11х8 см (CC003298-001),,1439,1,https://comfy.ua/forma-dlja-prigotovlenija-kitchenaid-27h11h8-sm-cc003298-001.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1657493554,,,,,2809916,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Masterpro,masterpro,Форма для приготування Masterpro Foodies collection 25х8х40 см (BGEU-2849),,1099,1,https://comfy.ua/forma-dlja-prigotovlenija-masterpro-foodies-collection-25h8h40-sm-bgeu-2849.html,1999,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1657493555,6977815,KITCHENAID,Форма для выпечки KITCHENAID для кексов 12 шт (CC006067-001),1859,2868833,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко KitchenAid,kitchenaid,Форма для приготування KitchenAid 12 шт. (CC006067-001),,1859,1,https://comfy.ua/forma-dlja-prigotovlenija-kitchenaid-12-sht-cc006067-001.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1657493556,6977803,KITCHENAID,Форма KITCHENAID KitchenAid 28 см (CC003301-001),1859,2868834,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко KitchenAid,kitchenaid,Форма для приготування KitchenAid 28 см (CC003301-001),,1859,1,https://comfy.ua/forma-dlja-prigotovlenija-kitchenaid-28-sm-cc003301-001.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1657493558,6977807,KITCHENAID,"Форма KITCHENAID 6,5х15,5х26 см 900 мл Фисташковый (CC007424-001)",2129,2868823,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко KitchenAid,kitchenaid,"Форма для приготування KitchenAid 6,5х15,5х26 см (CC007424-001)",,2129,1,https://comfy.ua/forma-dlja-prigotovlenija-kitchenaid-6-5h15-5h26-sm-cc007424-001.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1657493559,6977802,KITCHENAID,Форма KITCHENAID KitchenAid 24 см (CC003295-001),2249,2868826,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко KitchenAid,kitchenaid,Форма для приготування KitchenAid 24 см (CC003295-001),,2249,1,https://comfy.ua/forma-dlja-prigotovlenija-kitchenaid-24-sm-cc003295-001.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1657493874,6977816,KITCHENAID,Форма для выпечки KITCHENAID для кексов 8 шт (CC006068-001),2469,2868832,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко KitchenAid,kitchenaid,Форма для приготування KitchenAid 8 шт. (CC006068-001),,2469,1,https://comfy.ua/forma-dlja-prigotovlenija-kitchenaid-8-sht-cc006068-001.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1657493878,6977811,KITCHENAID,"Форма для запекания KITCHENAID 1,9 л Pistachio (CC007425-001)",3569,2868824,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко KitchenAid,kitchenaid,"Форма для приготування KitchenAid 7,5х19,5х32,8 см (CC007425-001)",,3569,1,https://comfy.ua/forma-dlja-prigotovlenija-kitchenaid-7-5h19-5h32-8-sm-cc007425-001.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1657493879,6977814,KITCHENAID,"Форма для запекания KITCHENAID 3,8 л Pistachio (CC007426-001)",4259,2868825,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко KitchenAid,kitchenaid,"Форма для приготування KitchenAid 8,8х24,8х40,4 см (CC007426-001)",,4259,1,https://comfy.ua/forma-dlja-prigotovlenija-kitchenaid-8-8h24-8h40-4-sm-cc007426-001.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1657498865,,,,,.2878881,Техника для дома >> Климатическая техника,vimar,Конвектор Vimar VCE-2081F,,2199,1,https://comfy.ua/konvektor-vimar-vce-2081f.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1657500474,6952506,A4TECH,Гарнитура A4TECH Bloody GR270 Black,2299,2839719,"Аудио, фото и видео >> Наушники >> Наушники Bloody",bloody,Гарнітура бездротова ігрова Bloody GR270 Black,,1899,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-bloody-gr270-black.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1657500632,6366339,HYPERX,Гарнитура HyperX Cloud Alpha Gaming Headset (4P5L1AM),4299,2855926,"Аудио, фото и видео >> Наушники >> Наушники HyperX",hyperx,Гарнітура дротова ігрова HyperX Cloud Alpha (4P5L1AM),,4299,1,https://comfy.ua/garnitura-provodnaja-igrovaja-hyperx-cloud-alpha-4p5l1am.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1657501647,,,,,.2827699,Техника для дома >> Аксессуары к мелкой технике,electrolux,Фільтр для пилососа Electrolux EF1,,98,1,https://comfy.ua/fil-tr-dlja-pylesosa-electrolux-ef1.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1657502419,6951414,TRANSCEND,"ssd.ext TRANSCEND 1TB ESD320A, USB 10Gbps, Type-A, Silver",5901,2874674,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,SSD-накопичувач зовнішній Transcend 1TB ESD320A USB 10Gbps Type-A Silver (TS1TESD320A),,4119,1,https://comfy.ua/ssd-nakopitel-vneshnij-transcend-1tb-esd320a-usb-10gbps-type-a-silver-ts1tesd320a.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1657503025,6973824,HANSA,Встраиваемая посудомоечная машина HANSA ZIM 635 PH,11999,2877133,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Hansa,hansa,Посудомийна машина вбудована Hansa ZIM 635 PH,,13349,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-hansa-zim-635-ph.html,16499,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1657503710,6977282,NUTRIBULLET,Соковыжималка NUTRIBULLET Juicer NBJ100G (0C22500001),6499,2871367,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки NUTRIBULLET,nutribullet,Соковитискач відцентровий NUTRIBULLET NBJ100G,,6499,1,https://comfy.ua/sokovyzhimalka-shnekovaja-nutribullet-nbj100g.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1657524869,,,,,2859262,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Jantar,jantar,Варильна поверхня газова Jantar HSR 60 WH EF,,3399,1,https://comfy.ua/varochnaja-panel-gazovaja-jantar-hsr-60-wh-ef.html,3929,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1657530193,,,,,2712494,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка вбудована Weilor WT 63 WH,,3249,1,https://comfy.ua/vytjazhka-vstraivaemaja-weilor-wt-63-wh.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1657530194,,,,,2712493,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка вбудована Weilor WT 63 SS,,3249,1,https://comfy.ua/vytjazhka-vstraivaemaja-weilor-wt-63-ss.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1657530195,,,,,2712495,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка вбудована Weilor WT 63 FBL,,3249,1,https://comfy.ua/vytjazhka-vstraivaemaja-weilor-wt-63-fbl.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1657533864,,,,,2712501,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка вбудована Weilor WT 67 FBL,,4699,1,https://comfy.ua/vytjazhka-vstraivaemaja-weilor-wt-67-fbl.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1657606225,,,,,2845623,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Shade for OPPO A78 4G Wine Red (ARM73448),,249,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-shade-for-oppo-a78-4g-wine-red-arm73448.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1657617516,,,,,2827801,Техника для дома >> Аксессуары к мелкой технике,menalux,Насадка для пилососа Menalux TU 21,,609,1,https://comfy.ua/nasadka-dlja-pylesosa-menalux-tu-21.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1657620278,,,,,.2822144,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Pixus Folio (ARM74033),,345,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-pixus-folio-arm74033.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
1657620279,,,,,.2822143,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Pixus Line (ARM74032),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-pixus-line-arm74032.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1657620280,,,,,.2822141,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Teclast M50 LTE (ARM74030),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-teclast-m50-lte-arm74030.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
1657620281,,,,,.2822142,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Teclast M50HD LTE (ARM74031),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-teclast-m50hd-lte-arm74031.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1657620282,,,,,2827657,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Защитная пленка для планшета Armorstandart Anti-Blue for Samsung Galaxy Tab A9 (ARM74192),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-samsung-galaxy-tab-a9-arm74192.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1657620450,,,,,2869242,Техника для дома >> Аксессуары к крупной технике,colorway,Автомат захисту від сплесків напруги Colorway 16A/3680W 165V/260V LED1 White (CW-VR16-03L),,499,1,https://comfy.ua/avtomat-zaschity-ot-vspleskov-naprjazhenija-colorway-16a-3680w-165v-260v-led1-white-cw-vr16-03l.html,,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
1657624782,,,,,.2826961,Игровые консоли и гейминг >> Комплектующие для игровых ПК,patriot,Память DDR Patriot DDR5 2x16GB/5600 Viper Venom (PVV532G560C36K),,8569,1,https://comfy.ua/pamjat-ddr-patriot-ddr5-2x16gb-5600-viper-venom-pvv532g560c36k.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1657624783,,,,,.2826965,Игровые консоли и гейминг >> Комплектующие для игровых ПК,patriot,Память DDR Patriot DDR5 2x16GB/6800 Viper Venom Black (PVV532G680C34K),,9955,1,https://comfy.ua/pamjat-ddr-patriot-ddr5-2x16gb-6800-viper-venom-black-pvv532g680c34k.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1657625536,6963969,ELEYUS,Морозильный ларь ELEYUS MFD085M WH200,10481,2763654,Техника для кухни >> Крупная техника >> Морозильные лари >> Морозильные лари ELEYUS,eleyus,Морозильна скриня ELEYUS MFD085M WH200,,9399,1,https://comfy.ua/morozil-nyj-lar-eleyus-mfd085m-wh200.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1657626955,,,,,2842626,"Аудио, фото и видео >> Наушники по типу >> Bluetooth-гарнитуры >> Bluetooth-гарнитуры Poly",poly,Bluetooth-спікерфон Poly Sync 10-M (77P34AA),,4799,1,https://comfy.ua/bluetooth-spikerfon-poly-sync-10-m-77p34aa.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1657627384,,,,,2866879,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,"""Ігровий набір Hot Wheels """"Випробування гіперпетлі"""" (HTK16)""",,2299,1,https://comfy.ua/igrovoj-nabor-hot-wheels-ispytanie-giperpetli-htk16.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1657627395,,,,,2866870,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,"""Ігровий набір Hot Wheels """"Швидкісна автомийка"""" (HDR27)""",,999,1,https://comfy.ua/igrovoj-nabor-hot-wheels-skorostnaja-avtomojka-hdr27.html,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
1657627445,7019601,TRUST,Акустическая система TRUST Polo Compact Black (25164),499,2841970,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Trust",trust,Комп'ютерна акустика звичайна 2.0 Trust Polo 2.0 Speaker (25164),,499,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-trust-polo-2-0-speaker-25164.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1657627447,6692769,GEMIX,Колонки GEMIX SB-140BT,4054,2857981,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Gemix",gemix,Комп'ютерна акустика 2.1 Gemix SB-140BT,,3339,1,https://comfy.ua/komp-juternaja-akustika-2-1-gemix-sb-140bt.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1657627448,,,,,2859150,"Аудио, фото и видео >> Акустика",real-el,Комп'ютерна акустика звичайна 2.0 REAL-EL S-170 Black,,499,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-real-el-s-170-black.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1657627551,,,,,2873479,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Braam I-SIZE Black Carbon,,11999,1,https://comfy.ua/avtokreslo-lionelo-braam-i-size-black-carbon.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1657627796,7066833,LENOVO,Комплект LENOVO UKR 300 USB Combo UKR (GX31D64833),1999,2870318,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Lenovo",lenovo,Клавіатура+миша Lenovo 300 USB Combo UKR (GX31D64833),,1602,1,https://comfy.ua/klaviatura-mysh-lenovo-300-usb-combo-ukr-gx31d64833.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1657645453,,,,,2712498,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка вбудована Weilor WT 65 FBL,,4289,1,https://comfy.ua/vytjazhka-vstraivaemaja-weilor-wt-65-fbl.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
