1657736406,column,column,column,column,2883024,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,__lan_ruijie_reyee_rgnbr6210e,column,36799,1,httpscomfyuamarshrutizatorinternetlanruijiereyeergnbr6210ehtml,column,05112025_1749,column,__42,Фастів,0
1657736404,,,,,.2883022,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Маршрутизатор інтернет LAN Ruijie Reyee RG-NBR6120-E,,13279,1,https://comfy.ua/marshrutizator-internet-lan-ruijie-reyee-rg-nbr6120-e.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1657736406,,,,,.2883024,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Маршрутизатор інтернет LAN Ruijie Reyee RG-NBR6210-E,,36799,1,https://comfy.ua/marshrutizator-internet-lan-ruijie-reyee-rg-nbr6210-e.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1657736416,7130602,RUIJIE,Маршрутизатор RUIJIE Reyee RG-EG209GS,6879,2410224,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Ruijie",ruijie,Маршрутизатор інтернет LAN Ruijie RG-EG209GS,,6879,1,https://comfy.ua/marshrutizator-internet-lan-ruijie-rg-eg209gs.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1657736543,7130603,RUIJIE,Маршрутизатор RUIJIE Reyee RG-EG310GH-E,13779,2410228,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Ruijie",ruijie,Маршрутизатор VPN Ruijie RG-EG310GH-E,,13779,1,https://comfy.ua/marshrutizator-vpn-ruijie-rg-eg310gh-e.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1657737571,,,,,2874739,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры 2E,2e,Телевізор 2E 32A07KW,,6299,1,https://comfy.ua/televizor-2e-32a07kw.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1657737727,,,,,2874743,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры 2E,2e,Телевізор 2E 50A07KW,,13499,1,https://comfy.ua/televizor-2e-50a07kw.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1657739594,,,,,.2818169,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель 3.5 мм - RCA Essager Jack 3.5 to 2 RCA 2m (EYPZJ-MYA0H),,249,1,https://comfy.ua/kabel-3-5-mm-rca-essager-jack-3-5-to-2-rca-2m-eypzj-mya0h.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1657750693,6966039,TREX,Смарт-часы TREX FALCON 700 ULTRA BLACK (TRX-FLC700-BLK),2799,2869212,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы TREX,trex,Смарт-годинник TREX FALCON 700 ULTRA BLACK (TRX-FLC700-BLK),,2799,1,https://comfy.ua/smart-chasy-trex-falcon-700-ultra-black-trx-flc700-blk.html,2999,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1657750876,,,,,.2822147,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Teclast M50HD LTE (ARM74038),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-teclast-m50hd-lte-arm74038.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1657750877,,,,,2822148,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Pixus Line (ARM74039),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-pixus-line-arm74039.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1657752095,,,,,.2822146,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Teclast M50 LTE (ARM74037),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-teclast-m50-lte-arm74037.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1657760427,,,,,2688654,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Milwaukee,milwaukee,"Бур Milwaukee SDS-PLUS MX4 6,0х165х100 мм (4932352012)",,245,1,https://comfy.ua/bur-milwaukee-sds-plus-mx4-6-0h165h100-mm-4932352012.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1657777427,6919664,RYOBI,Опрыскиватель RYOBI RY36BPSA-0 (5133005775),9999,2822049,Инструменты и автотовары >> Садовые инструменты >> Опрыскиватели ручные >> Опрыскиватели ручные Ryobi,ryobi,Обприскувач акумуляторний Ryobi RY36BPSA-0 (5133005775),,9999,1,https://comfy.ua/opryskivatel-akkumuljatornyj-ryobi-ry36bpsa-0-5133005775.html,11499,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1657780823,6970713,MPM,Бутербродница MPM MOP-49M,799,2875456,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы MPM,mpm,Бутербродниця MPM MOP-49M,,799,1,https://comfy.ua/buterbrodnica-mpm-mop-49m.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1657813317,6580006,FORTE,Торцовочная пила FORTE MS-210 (77399),5156,2784947,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Forte2,forte2,Пила торцева Forte MS-210,,5535,1,https://comfy.ua/pila-torcevaja-forte-ms-210.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1657813445,6982727,SENCOR,Тостер SENCOR STS7200WH White / Gold,1099,2875513,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Sencor,sencor,Тостер Sencor STS7200WH,,1099,1,https://comfy.ua/toster-sencor-sts7200wh.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1657813491,6982725,SENCOR,Тостер SENCOR STS7500WH,1199,2875915,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Sencor,sencor,Тостер Sencor STS7500WH,,1199,1,https://comfy.ua/toster-sencor-sts7500wh.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1657813492,6982726,SENCOR,Тостер SENCOR STS7501BK Black / Gold,1199,2875916,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Sencor,sencor,Тостер Sencor STS7501BK,,1199,1,https://comfy.ua/toster-sencor-sts7501bk.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1657813493,6982724,SENCOR,Тостер SENCOR STS7551BK,1999,2875917,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Sencor,sencor,Тостер Sencor STS7551BK,,2499,1,https://comfy.ua/toster-sencor-sts7551bk.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1657813587,,,,,2870209,Детские товары >> Игрушки,trefl,"""Пазли (3-4 роки) Trefl """"Спішимо на порятунок"""" / Пожежник Сем (30 ел.) (18297)""",,135,1,https://comfy.ua/pazly-kartonnye-3-4-goda-trefl-speshim-na-spasenie-pozharnyj-sjem-30-jelm-18297.html,,06.11.2025 1:09,,"вул. Соборна, 42",Фастів,0
1657813621,,,,,2870188,Детские товары >> Игрушки,trefl,"""Пазли (5-7 років) Trefl """"Проведи день з Базею"""" / Сім'я Базі (100 ел.) (16453)""",,199,1,https://comfy.ua/pazly-kartonnye-5-7-let-trefl-provedi-den-s-bazej-sem-ja-bazi-100-jelm-16453.html,,05.11.2025 23:39,,"вул. Соборна, 42",Фастів,0
1657813626,,,,,2870160,Детские товары >> Игрушки,trefl,"""Пазли (5-7 років) Trefl """"Зустрічайте Базю"""" / Сім'я Базі (160 ел.) (15409)""",,205,1,https://comfy.ua/pazly-kartonnye-5-7-let-trefl-vstrechajte-bazju-sem-ja-bazi-160-jelm-15409.html,,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
1657813630,,,,,2870190,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (5-7 років) Trefl """"Різдво у Трефликів""""  (100 ел.) (16459)""",,195,1,https://comfy.ua/pazly-kartonnye-5-7-let-trefl-rozhdestvo-u-treflikov-100-jelm-16459.html,,05.11.2025 23:12,,"вул. Соборна, 42",Фастів,0
1657814219,,,,,.2870225,Детские товары >> Игрушки,trefl,"""Пазли (8+) Trefl """"У світі роботів"""" (300 елм.) (23024)""",,319,1,https://comfy.ua/pazly-kartonnye-5-7-let-trefl-v-mire-robotov-300-jelm-23024.html,,06.11.2025 0:03,,"вул. Соборна, 42",Фастів,0
1657815267,,,,,.2872622,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",denmen,Кабель Denmen D10L Type-C/Lightning PD (18W) 1m White (DM-D10L-WH),,149,1,https://comfy.ua/kabel-denmen-d10l-type-c-lightning-pd-18w-1m-white-dm-d10l-wh.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1657815989,,,,,2872621,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",denmen,Кабель синхронізації даних Denmen D01V Silicone  USB - Micro USB 2.4A 1m Black (DM-D01V-BK),,49,1,https://comfy.ua/kabel-sinhronizacii-dannyh-denmen-d01v-silicone-usb-micro-usb-2-4a-1m-black-dm-d01v-bk.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1657818889,6950376,SAMSUNG,Фитнес-браслет SAMSUNG Galaxy Fit 3 Gray (SM-R390NZAASEK),1599,2863848,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Samsung,samsung,Фітнес-браслет Samsung Galaxy Fit3 Gray (SM-R390NZAASEK),,1599,1,https://comfy.ua/fitnes-braslet-samsung-galaxy-fit3-gray-sm-r390nzaasek.html,1999,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,3
1657818890,6950375,SAMSUNG,Фитнес-браслет SAMSUNG Galaxy Fit 3 Pink Gold (SM-R390NIDASEK),1599,2863849,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Samsung,samsung,Фітнес-браслет Samsung Galaxy Fit3 Pink Gold (SM-R390NIDASEK),,1599,1,https://comfy.ua/fitnes-braslet-samsung-galaxy-fit3-pink-gold-sm-r390nidasek.html,1999,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,2
1657818894,6950377,SAMSUNG,Фитнес-браслет SAMSUNG Galaxy Fit 3 Silver (SM-R390NZSASEK),1599,2863850,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Samsung,samsung,Фітнес-браслет Samsung Galaxy Fit3 Silver (SM-R390NZSASEK),,1599,1,https://comfy.ua/fitnes-braslet-samsung-galaxy-fit3-silver-sm-r390nzsasek.html,1999,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1657819651,,,,,.2863070,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core i3-13100F (BX8071513100FSRMBV),,5259,1,https://comfy.ua/processor-intel-core-i3-13100f-bx8071513100fsrmbv.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1657819652,,,,,.2866900,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 5 5600X (100-000000065),,4999,1,https://comfy.ua/processor-amd-ryzen-5-5600x-100-000000065.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1657819979,,,,,2855489,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 7 5700X (100-000000926),,5299,1,https://comfy.ua/processor-amd-ryzen-7-5700x-100-000000926.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
