1657978980,6965399,poly,_poly_blackwire_5220_usba_hs_stereo_80r97aa,5118,2842629,________poly,poly,__poly_blackwire_5220_usba_hs_stereo_80r97aa,column,5799,1,httpscomfyuagarnituraprovodnajapolyblackwire5220usbahsstereo80r97aahtml,column,05112025_1902,column,__42,Фастів,0
1657978104,,,,,2878170,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры Bloody",bloody,Гарнітура бездротова ігрова Bloody MR590 Sport Black,,2399,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-bloody-mr590-sport-black.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1657978980,6965399,POLY,Гарнитура POLY BlackWire 5220 USB-A HS Stereo (80R97AA),5118,2842629,"Аудио, фото и видео >> Наушники >> Наушники Poly",poly,Гарнітура дротова Poly BlackWire 5220 USB-A HS Stereo (80R97AA),,5799,1,https://comfy.ua/garnitura-provodnaja-poly-blackwire-5220-usb-a-hs-stereo-80r97aa.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1657978982,6932901,JABRA,Гарнитура JABRA Evolve2 50 USB-A MS (25089-999-999),7519,2878192,"Аудио, фото и видео >> Наушники >> Наушники Jabra",jabra,Гарнітура дротова Jabra Evolve2 50 USB-A MS Stereo (25089-999-999),,7519,1,https://comfy.ua/garnitura-provodnaja-jabra-evolve2-50-usb-a-ms-stereo-25089-999-999.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1657983048,,,,,2738152,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Vitrinor,vitrinor,Ківш Vitrinor ARES 16 см (1114803),,699,1,https://comfy.ua/kovsh-vitrinor-ares-16-sm-1114803.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1657984097,7031809,KARCHER,Набор салфеток KARCHER из микрофибры для RCV3 (2.269-620.0),599,2861533,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Насадка-мікрофібра для пилососа Karcher RCV 3 (2.269-620.0),,599,1,https://comfy.ua/nasadka-mikrofibra-dlja-pylesosa-karcher-rcv-3-2-269-620-0.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1657984099,7031811,KARCHER,Набор аксессуаров KARCHER для RCV5 (2.269-641.0),999,2861536,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Набір аксесуарів для пилососа Karcher RCV 5 (2.269-641.0),,999,1,https://comfy.ua/nabor-aksessuarov-dlja-pylesosa-karcher-rcv-5-2-269-641-0.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1657984102,6990263,KARCHER,Комплект принадлежностей KARCHER для RCV 3 (2.269-621.0),999,2861534,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Набір аксесуарів для пилососа Karcher RCV 3 (2.269-621.0),,999,1,https://comfy.ua/nabor-aksessuarov-dlja-pylesosa-karcher-rcv-3-2-269-621-0.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1657984150,,,,,.2840917,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",yeastar,Маршрутизатор інтернет LAN Yeastar TA810,,15679,1,https://comfy.ua/marshrutizator-internet-lan-yeastar-ta810.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1657990445,6879000,MAGIO,Электрочайник  MAGIO МG-111 1 л Black,529,2855511,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Magio,magio,Електричний чайник Magio MG-111,,529,1,https://comfy.ua/jelektricheskij-chajnik-magio-mg-111.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1657993716,7061907,LENOVO,Планшет LENOVO Tab M11 8/128 WiFi Luna Grey + Pen (ZADA0299UA),8999,2864427,"Ноутбуки, планшеты и компьютерная техника >> Планшеты >> Планшеты все >> Планшеты все Lenovo",lenovo,Планшет Lenovo Tab M11 8/128 WiFi (ZADA0299UA) Luna Grey + Pen,,8999,1,https://comfy.ua/planshet-lenovo-tab-m11-8-128-wifi-zada0299ua-luna-grey-pen.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1657993717,7061908,LENOVO,Планшет LENOVO Tab M11 8/128 WiFi Seafoam Green + Pen (ZADA0329UA),8999,2864428,"Ноутбуки, планшеты и компьютерная техника >> Планшеты >> Планшеты все >> Планшеты все Lenovo",lenovo,Планшет Lenovo Tab M11 8/128 WiFi (ZADA0329UA) Seafoam Green + Pen,,8999,1,https://comfy.ua/planshet-lenovo-tab-m11-8-128-wifi-zada0329ua-seafoam-green-pen.html,9999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1657997613,6963911,COSORI,Мультиварка COSORI CRC-R501-KEUR,4899,2878878,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки COSORI,cosori,Мультиварка COSORI CRC-R501-KEU,,4759,1,https://comfy.ua/mul-tivarka-cosori-crc-r501-keu.html,6999,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1657997613,7142445,COSORI,Мультиварка COSORI 5л (CRC-R501-KEU),4799,2878878,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки COSORI,cosori,Мультиварка COSORI CRC-R501-KEU,,4759,1,https://comfy.ua/mul-tivarka-cosori-crc-r501-keu.html,6999,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1657998888,,,,,.2851220,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Air Series for Apple iPhone SE 2022/2020/8/7 Cam cov Transparent (ARM70010),,229,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-air-series-for-apple-iphone-se-2022-2020-8-7-cam-cov-transparent-arm70010.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1658006745,,,,,2001317,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Vitrinor,vitrinor,Каструля Vitrinor Toscana Terracota 20 см (1105728),,889,1,https://comfy.ua/kastrjulja-vitrinor-toscana-terracota-20-sm-1105728.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1658008702,,,,,2738155,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Vitrinor,vitrinor,Каструля Vitrinor NORDIC 20 см (1114810),,1219,1,https://comfy.ua/kastrjulja-vitrinor-nordic-20-sm-1114810.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1658008703,,,,,2738153,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Vitrinor,vitrinor,Каструля Vitrinor ARES 20 см (1114805),,1239,1,https://comfy.ua/kastrjulja-vitrinor-ares-20-sm-1114805.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
