1658747350,6133763,werk,__werk_xkj1104_sa5_33743,5133,2542067,_________werk,werk,"""Насосна станція",column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19
1658731618,7099378,GRUNHELM,Минимойка GRUNHELM GR-22HRLW (132144),7870,2877166,Техника для дома >> Мелкая техника >> Минимойки >> Минимойки Grunhelm,grunhelm,Мінімийка Grunhelm GR-22HRLW,,7869,1,https://comfy.ua/minimojka-grunhelm-gr-22hrlw.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1658747350,6133763,WERK,Насосная станция WERK XKJ-1104 SA5 (33743),5133,2542067,Инструменты и автотовары >> Полив >> Насосы >> Насосы Werk,werk,"""Насосна станція",,,,,,,,,,
"Werk XKJ-1104 SA5""",,5135,1,https://comfy.ua/nasosnaja-stancija-werk-xkj-1104-sa5.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1658747372,6148515,WERK,Насосная станция WERK XKJ-801 IA5 (33746),4374,2542068,Инструменты и автотовары >> Полив >> Насосы >> Насосы Werk,werk,"""Насосна станція",,,,,,,,,,
"Werk XKJ-801 IA5""",,4375,1,https://comfy.ua/nasosnaja-stancija-werk-xkj-801-ia5.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1658747769,6271215,WERK,Погружной насос WERK SP-8H,1407,2531857,Инструменты и автотовары >> Полив >> Насосы >> Насосы Werk,werk,Занурювальний насос Werk SP-8H,,1409,1,https://comfy.ua/poverhnevij-nasos-werk-sp-8h.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1658747776,6134381,WERK,Погружной насос WERK VM70 (32314),1119,2542546,Инструменты и автотовары >> Полив >> Насосы >> Насосы Werk,werk,Занурювальний насос Werk VM70,,1119,1,https://comfy.ua/pogruzhnoj-nasos-werk-vm70.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1658747797,6170291,WERK,Погружной насос WERK WQD12 (38209),3011,2531856,Инструменты и автотовары >> Полив >> Насосы >> Насосы Werk,werk,Занурювальний насос Werk WQD12,,3009,1,https://comfy.ua/poverhnevij-nasos-werk-wqd12.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1658747862,6173683,WERK,Погружной скважинный насос WERK 4QGD1.2-50-0.37 (33709),2948,2531853,Инструменты и автотовары >> Полив >> Насосы >> Насосы Werk,werk,Занурювальний насос Werk 4QGD1.2-50-0.37,,2949,1,https://comfy.ua/poverhnevij-nasos-werk-4qgd1-2-50-0-37.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1658771829,6970731,MPM,Холодильник MPM MPM-114-CJ-35,8199,2888925,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники MPM,mpm,Холодильник MPM MPM-114-CJ-35,,8199,1,https://comfy.ua/holodil-nik-mpm-mpm-114-cj-35.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
