1659516636,7047650,lindo,_lindo_1612___1612_,55,2526366,Детские товары >> Игрушки для малышей,lindo,_lindo__1612_,column,55,1,httpscomfyuapogremushkalindokotik1612zhelthtml,column,05112025_2026,column,__42,Фастів,0
1659516632,7047651,LINDO,"""Игрушка-погремушка LINDO """"Котик"""" Зеленый (1612 зел)""",44,2526390,Comfy KIDS >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Lindo,lindo,Брязкальце Lindo КОТИК (1612 зел),,55,1,https://comfy.ua/pogremushka-lindo-kotik-1612-zel.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1659516636,7047650,LINDO,"""Игрушка-погремушка LINDO 1612 """"Котик"""" Желтый (1612 жов)""",55,2526366,Детские товары >> Игрушки для малышей,lindo,Брязкальце Lindo КОТИК (1612 жовт),,55,1,https://comfy.ua/pogremushka-lindo-kotik-1612-zhelt.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1659516644,7047648,LINDO,"""Игрушка-погремушка LINDO """"Кольцо"""" с кольцами (1619 зел/жов)""",51,2526370,Comfy KIDS >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Lindo,lindo,Брязкальце Lindo Кільце з кільцями (1619 зел),,51,1,https://comfy.ua/pogremushka-lindo-kol-co-s-kol-cami-1619-zel.html,68,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1659519472,6913476,TALKO,Сотейник с крышкой TALKO Веста 22 см Black (A50223),854,2591852,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo А50223,,854,1,https://comfy.ua/skovoroda-universal-naja-talko-a50223.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1659527065,7121529,BARBIE,Кукла BARBIE Моя подружка блондинка 71 см (HJY02),2821,2888516,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Barbie,barbie,"""Лялька Barbie """"Моя подружка"""" блондинка (HJY02)""",,2499,1,https://comfy.ua/kukla-barbie-moja-podruzhka-blondinka-hjy02.html,3199,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1659527066,,,,,2888517,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Barbie,barbie,"""Лялька Barbie Кен """"Футболіст"""" серії """"Я можу бути"""" (HCN15)""",,649,1,https://comfy.ua/kukla-barbie-ken-futbolist-serii-ja-mogu-byt-hcn15.html,,05.11.2025 22:57,,"вул. Соборна, 42",Фастів,0
1659527067,,,,,2888518,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Barbie,barbie,"""Ляльковий набір Barbie """"Тренування з гімнастики"""" (HRG52)""",,1999,1,https://comfy.ua/kukol-nyj-nabor-barbie-trenirovka-po-gimnastike-hrg52.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1659527102,,,,,2879518,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы L.O.L. Surprise!,lol-surprise,Ляльковий набір L.O.L. Surprise! серії Tweens Loves Mini Sweets - HARIBO (119920),,1185,1,https://comfy.ua/kollekcionnaja-kukla-nabor-l-o-l-surprise-serii-tweens-loves-mini-sweets-haribo-119920.html,,05.11.2025 22:37,,"вул. Соборна, 42",Фастів,0
1659530392,,,,,2845769,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S15.47T.G12171W),,82071,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s15-47t-g12171w.html,99299,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1659532181,,,,,.2837614,Бытовая химия >> Средства для чистки техники,purify-agent,Засіб для видалення масляного нальоту Purify Agent Milk Cleaner 1л (4820093486422),,259,1,https://comfy.ua/sredstvo-dlja-udalenija-masljanogo-naleta-purify-agent-milk-cleaner-1l-4820093486422.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
