1659559866,7031245,zephyr,_zephyr_robotix_2_166__1063,799,2884842,________zephyr,zephyr,__zephyr_robotix_2_166_8__1063,column,825,1,httpscomfyuametallicheskijkonstruktorzephyrrobotix2166jelm8modelej1063html,column,05112025_2222,column,__42,Фастів,0
1659559865,,,,,2884841,Детские товары >> Игрушки >> Конструкторы >> Конструкторы ZEPHYR,zephyr,"""Металевий конструктор ZEPHYR """"ROBOTIX"""" №1 (114 елм./8 моделей) (1018)""",,515,1,https://comfy.ua/metallicheskij-konstruktor-zephyr-robotix-1-114-jelm-8-modelej-1018.html,,05.11.2025 22:48,,"вул. Соборна, 42",Фастів,0
1659559866,7031245,ZEPHYR,Конструктор ZEPHYR ROBOTIX №2 166 деталей (1063),799,2884842,Детские товары >> Игрушки >> Конструкторы >> Конструкторы ZEPHYR,zephyr,"""Металевий конструктор ZEPHYR """"ROBOTIX"""" №2 (166 елм./8 моделей) (1063)""",,825,1,https://comfy.ua/metallicheskij-konstruktor-zephyr-robotix-2-166-jelm-8-modelej-1063.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
1659559867,7031243,ZEPHYR,Конструктор ZEPHYR ROBOTIX №3 215 деталей (1007),999,2884843,Детские товары >> Игрушки >> Конструкторы >> Конструкторы ZEPHYR,zephyr,"""Металевий конструктор ZEPHYR """"ROBOTIX"""" №3 (215 елм./8 моделей) (1007)""",,1029,1,https://comfy.ua/metallicheskij-konstruktor-zephyr-robotix-3-215-jelm-8-modelej-1007.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
1659559869,,,,,2884845,Детские товары >> Игрушки >> Конструкторы >> Конструкторы ZEPHYR,zephyr,"""Металевий конструктор ZEPHYR """"MECHANIX""""  Вертоліт (2 моделі + інструменти) (1061)""",,155,1,https://comfy.ua/metallicheskij-konstruktor-zephyr-mechanix-vertolet-2-modeli-instrumenty-1061.html,,05.11.2025 22:48,,"вул. Соборна, 42",Фастів,0
1659559871,7031249,ZEPHYR,Конструктор ZEPHYR MECHANIX Атракционы 205 деталей (1076),649,2884847,Детские товары >> Игрушки >> Конструкторы >> Конструкторы ZEPHYR,zephyr,"""Металевий конструктор ZEPHYR """"MECHANIX"""" Атракціони (205 елм./7 моделей)  (1076)""",,669,1,https://comfy.ua/metallicheskij-konstruktor-zephyr-mechanix-attrakciony-205-jelm-7-modelej-1076.html,,05.11.2025 23:10,,"вул. Соборна, 42",Фастів,0
1659559872,7031246,ZEPHYR,Конструктор ZEPHYR MECHANIX Тягач (1069),1199,2884848,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы ZEPHYR,zephyr,"""Металевий конструктор ZEPHYR  у пластиковому кейсі """"MECHANIX"""" Тягач (353елм/5мод)  (1069)""",,1285,1,https://comfy.ua/metallicheskij-konstruktor-zephyr-v-plastikovom-kejse-mechanix-tjagach-353jelm-5mod-1069.html,,05.11.2025 23:10,,"вул. Соборна, 42",Фастів,0
1659559876,7031248,ZEPHYR,Конструктор ZEPHYR ROBOTIX №3 в кейсе 215 деталей (1074),999,2884852,Детские товары >> Игрушки >> Конструкторы >> Конструкторы ZEPHYR,zephyr,"""Металевий конструктор ZEPHYR  у пластиковому кейсі """"ROBOTIX"""" №3 (215 елм./8 моделей) (1074)""",,1029,1,https://comfy.ua/metallicheskij-konstruktor-zephyr-v-plastikovom-kejse-robotix-3-215-jelm-8-modelej-1074.html,,05.11.2025 22:34,,"вул. Соборна, 42",Фастів,0
1659559882,,,,,2884858,Детские товары >> Игрушки >> Конструкторы >> Конструкторы ZEPHYR,zephyr,"""Металевий конструктор ZEPHYR """"MECHANIX"""" №0 (98 елм./5 моделей) (1002)""",,259,1,https://comfy.ua/metallicheskij-konstruktor-zephyr-mechanix-0-98-jelm-5-modelej-1002.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
1659559883,,,,,.2884859,Детские товары >> Игрушки,zephyr,"""Металевий конструктор ZEPHYR """"MECHANIX"""" №1 (127 елм./10 моделей) (1003)""",,405,1,https://comfy.ua/metallicheskij-konstruktor-zephyr-mechanix-1-127-jelm-10-modelej-1003.html,,05.11.2025 22:48,,"вул. Соборна, 42",Фастів,0
1659559884,,,,,2884860,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы ZEPHYR,zephyr,"""Металевий конструктор ZEPHYR """"MECHANIX"""" №2 (170 елм./15 моделей) (1004)""",,515,1,https://comfy.ua/metallicheskij-konstruktor-zephyr-mechanix-2-170-jelm-15-modelej-1004.html,,05.11.2025 22:34,,"вул. Соборна, 42",Фастів,0
