1660133635,column,column,column,column,2715548,Техника для кухни >> Крупная техника,faber,__faber_inka_plus_hcs_x_a522,column,7959,1,httpscomfyuavytjazhkavstraivaemajafaberinkaplushcsxa52html,column,05112025_2018,column,__42,Фастів,0
1660103561,6924212,INSPIRE,Автомобильный пылесос INSPIRE AX-6612 (R-6053) Black,1909,2767814,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы INSPIRE,inspire,Автомобільний пилосос INSPIRE R-6035 (AX-6612),,1909,1,https://comfy.ua/pylesos-ruchnoj-dlja-avtomobilja-inspire-r-6035.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1660133635,,,,,.2715548,Техника для кухни >> Крупная техника,faber,Витяжка вбудована Faber Inka Plus Hcs X A52/2,,7959,1,https://comfy.ua/vytjazhka-vstraivaemaja-faber-inka-plus-hcs-x-a52.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1660155196,,,,,.2483955,Техника для кухни >> Крупная техника,akpo,Витяжка декоративна Akpo WK-9 Feniks Slim Glass 850 Inox+Black 60,,12819,1,https://comfy.ua/vytjazhka-dekorativnaja-akpo-wk-9-feniks-slim-glass-850-inox-black-60.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1660169058,6976894,TEFAL,Форма TEFAL PerfectBake (J5734402),499,2888134,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Tefal,tefal,Форма для приготування Tefal J5734402 PerfectBake Mini 21х29 см (6 форм),,499,1,https://comfy.ua/forma-dlja-prigotovlenija-tefal-j5734402-perfectbake-mini-21h29-sm-6-form.html,999,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1660169942,7037948,BABOO,Чашка  BABOO Sea Life антискользящая 170 мл 12+ pink (8-140),169,2517478,Посуда >> Для напитков >> Чашки >> Чашки Baboo,baboo,Чашка Baboo 170 мл Sea Life Pink (8-140),,169,1,https://comfy.ua/chashka-baboo-170-ml-sea-life-pink-8-140.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1660171387,,,,,2720893,Детские товары >> Игрушки,road-rippers,Автотранспорт Road Rippers Afterburner (20442),,1099,1,https://comfy.ua/avtotransport-road-rippers-afterburner-20442.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1660171388,,,,,2720892,Детские товары >> Игрушки,road-rippers,Автотранспорт Road Rippers Afterburner (20441),,825,1,https://comfy.ua/avtotransport-road-rippers-afterburner-20441.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
1660171398,,,,,1707347,Детские товары >> Игрушки,road-rippers,Автотранспорт Road Rippers Машинка і динозавр T-Rex brown (20072),,199,1,https://comfy.ua/avtotransport-road-rippers-mashinka-i-dinozavr-t-rex-brown-20072.html,,06.11.2025 1:07,,"вул. Соборна, 42",Фастів,0
1660171400,,,,,1707360,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Road Rippers,road-rippers,Автотранспорт Road Rippers Машинка і динозавр Triceratops green (20074),,126,1,https://comfy.ua/avtotransport-road-rippers-mashinka-i-dinozavr-triceratops-green-20074.html,169,05.11.2025 23:50,,"вул. Соборна, 42",Фастів,0
1660171412,,,,,1707351,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Road Rippers,road-rippers,Автотранспорт Road Rippers Off Road Rumbler Deep Blue (20092),,799,1,https://comfy.ua/avtotransport-road-rippers-off-road-rumbler-deep-blue-20092.html,,05.11.2025 23:46,,"вул. Соборна, 42",Фастів,0
1660171413,,,,,1707374,Детские товары >> Игрушки,road-rippers,Автотранспорт Road Rippers Off Road Rumbler Forest Green (20091),,669,1,https://comfy.ua/avtotransport-road-rippers-off-road-rumbler-forest-green-20091.html,,05.11.2025 23:49,,"вул. Соборна, 42",Фастів,0
1660173045,,,,,.2835872,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba JL812A,,9199,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-jl812a.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1660173105,,,,,.2822064,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba JL683B,,30409,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-jl683b.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1660173110,,,,,.2840759,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba JL806A,,49845,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-jl806a.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1660173111,,,,,.2840760,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba JL807A,,70075,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-jl807a.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1660173130,7089521,SKG,Массажёр для глаз SKG E3 (7089521),2699,2876901,Красота и здоровье >> Здоровье,skg,Масажер для очей SKG E3-EN,,2699,1,https://comfy.ua/massazher-dlja-glaz-xiaomi-skg-e3-en.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1660456072,7082592,KARCHER,Базовая станция KARCHER для робота-пылесоса RCV 5 (2.269-643.0),9500,2895538,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Станція очищення пилососів Karcher RCV 5 (2.269-643.0),,10999,1,https://comfy.ua/stancija-ochistki-pylesosov-karcher-rcv-5-2-269-643-0.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1660625644,,,,,2888899,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Baltali,baltali-silikon,"Форма для приготування Baltali Silikon 19,5х34х4 см (45098)",,107,1,https://comfy.ua/forma-dlja-prigotovlenija-baltali-silikon-19-5h34h4-sm-45098.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1660651138,,,,,2682181,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры GREE,gree,Кондиціонер спліт GREE GWH12AUCXB-K6DNA1A/I Black/GWH12AUCXB-K6DNA1A/O Black,,35699,1,https://comfy.ua/kondicioner-split-gree-gwh12aucxb-k6dna1a-i-black-gwh12aucxb-k6dna1a-o-black.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1660847740,,,,,.2892861,Техника для дома >> Мелкая техника,eta,Пилосос для сухого прибирання без мішка ETA Stormy Car 1517 90010,,4099,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-eta-stormy-car-1517-90010.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1660862483,,,,,.2847445,Игровые консоли и гейминг >> Комплектующие для игровых ПК,1stplayer,Корпус 1stPlayer BS-2-3F1-BK Black без БЖ,,1629,1,https://comfy.ua/korpus-1stplayer-bs-2-3f1-bk-black-bez-bp.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1660862499,,,,,.2847470,Игровые консоли и гейминг >> Комплектующие для игровых ПК,1stplayer,Корпус 1stPlayer F3-A-4F1-WH без БЖ,,1999,1,https://comfy.ua/korpus-1stplayer-f3-a-4f1-wh-bez-bp.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1660865335,,,,,.2893822,Техника для дома >> Аксессуары к мелкой технике,eta,Набір мішків для пилососа ETA eBag Original 9600 68000,,279,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-eta-ebag-original-9600-68000.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1660951441,,,,,.2893181,Техника для дома >> Мелкая техника,eta,Праска ETA Esmira 0273 90000,,949,1,https://comfy.ua/utjug-eta-esmira-0273-90000.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1660951443,,,,,.2893182,Техника для дома >> Мелкая техника,eta,Праска ETA Kiara 1276 90000,,1199,1,https://comfy.ua/utjug-eta-kiara-1276-90000.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1660951444,,,,,.2893180,Техника для дома >> Мелкая техника,eta,Праска ETA Tiara II 0269 90000,,1099,1,https://comfy.ua/utjug-eta-tiara-ii-0269-90000.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1660959239,6967797,GT RACER,Кресло GT RACER X-2305 Fabric Gray,6699,2898071,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары GT Racer",gt-racer,Крісло для геймерів GT Racer X-2305 Fabric Gray,,6499,1,https://comfy.ua/kreslo-dlja-gejmerov-gt-racer-x-2305-fabric-gray.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1660959259,6967799,GT RACER,Кресло GT RACER X-2308 Fabric Black/Gray,7499,2898073,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары GT Racer",gt-racer,Крісло для геймерів GT Racer X-2308 Fabric Black/Gray,,7499,1,https://comfy.ua/kreslo-dlja-gejmerov-gt-racer-x-2308-fabric-black-gray.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
