1661931443,6989468,xiaomi,_xiaomi_smart_air_fryer_maf10_white,4999,2896214,______________xiaomi,xiaomi,_xiaomi_smart_air_fryer_maf10_white,column,4999,1,httpscomfyuamultipechxiaomismartairfryermaf10whitehtml,column,05112025_1739,column,__42,Фастів,0
1661931441,6971520,CECOTEC,Мультипечь CECOTEC Cecofry Fantastik 5500 Acc Kit (CCTC-03294),3499,2890816,Техника для кухни >> Мелкая техника,cecotec,Мультипіч Cecotec Cecofry Fantastik 5500 Acc Kit (CCTC-03294),,4419,1,https://comfy.ua/mul-tipech-cecotec-cecofry-fantastik-5500-acc-kit-cctc-03294.html,5199,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1661931443,6989468,XIAOMI,Мультипечь XIAOMI Smart Air Fryer MAF10 White,4999,2896214,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили Xiaomi,xiaomi,Мультипіч Xiaomi Smart Air Fryer MAF10 White,,4999,1,https://comfy.ua/mul-tipech-xiaomi-smart-air-fryer-maf10-white.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1661931444,6989469,XIAOMI,Мультипечь XIAOMI Smart Air Fryer MAF10 Black,4999,2896215,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили Xiaomi,xiaomi,Мультипіч Xiaomi Smart Air Fryer MAF10 Black,,4999,1,https://comfy.ua/mul-tipech-xiaomi-smart-air-fryer-maf10-black.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1661931446,,,,,2899633,Техника для кухни >> Мелкая техника,eta,Мультипіч ETA Vista 0168 90000,,2499,1,https://comfy.ua/mul-tipech-eta-vista-0168-90000.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1661933288,,,,,.2892857,Техника для кухни >> Мелкая техника,eta,Пароварка ETA Calderon II 1134 90010,,3499,1,https://comfy.ua/parovarka-eta-calderon-ii-1134-90010.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1661934165,7082894,BRITAX-ROMER,Автокресло BRITAX-ROMER HI-LINER Dusty Rose (2000039714),8400,2897511,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Britax-Romer,britax-romer,Автокрісло Britax-Romer HI-LINER Dusty Rose,,8400,1,https://comfy.ua/avtokreslo-britax-romer-hi-liner-dusty-rose.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1661934166,7082895,BRITAX-ROMER,Автокресло BRITAX-ROMER HI-LINER Night Blue (2000039737),8760,2897510,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Britax-Romer,britax-romer,Автокрісло Britax-Romer HI-LINER Night Blue,,8780,1,https://comfy.ua/avtokreslo-britax-romer-hi-liner-night-blue.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1661934302,,,,,.2893169,Техника для кухни >> Мелкая техника,eta,Подрібнювач ETA Flexo 4079 90000,,1999,1,https://comfy.ua/izmel-chitel-eta-flexo-4079-90000.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1661934309,7082871,BRITAX-ROMER,Автокресло BRITAX-ROMER DUALFIX 5Z Soft Taupe (2000039638),11400,2897717,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Britax-Romer,britax-romer,Автокрісло Britax-Romer DUALFIX 5Z Soft Taupe,,11400,1,https://comfy.ua/avtokreslo-britax-romer-dualfix-5z-soft-taupe.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1661934310,,,,,2897718,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Britax-Romer,britax-romer,Автокрісло Britax-Romer DUALFIX 5Z Urban Olive,,11400,1,https://comfy.ua/avtokreslo-britax-romer-dualfix-5z-urban-olive.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
