1662445611,column,column,column,column,2875490,____________________gamepro,gamepro,____gamepro_mp275h_black,column,299,1,httpscomfyuakovrikdljamyshigamepromp275hblackhtml,599,05112025_1752,column,__42,Фастів,0
1662445466,,,,,2875489,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши OfficePro",officepro,Килимок для миші OfficePro MP180BG Black/Gray,,359,1,https://comfy.ua/kovrik-dlja-myshi-officepro-mp180bg-black-gray.html,499,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1662445611,,,,,2875490,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши GamePro",gamepro,Килимок для миші ігровий GamePro MP275H Black,,299,1,https://comfy.ua/kovrik-dlja-myshi-gamepro-mp275h-black.html,599,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1662454748,6891993,HEINNER,Электрочайник HEINNER HEK-17IX,799,2894233,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Heinner,heinner,Електричний чайник Heinner HEK-17IX,,749,1,https://comfy.ua/jelektricheskij-chajnik-heinner-hek-17ix.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1662454749,6891997,HEINNER,Электрочайник HEINNER PF-47,599,2894234,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Heinner,heinner,Електричний чайник Heinner PF-47,,599,1,https://comfy.ua/jelektricheskij-chajnik-heinner-pf-47.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1662454750,6891998,HEINNER,Электрочайник HEINNER PF-70,999,2894235,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Heinner,heinner,Електричний чайник Heinner PF-70,,899,1,https://comfy.ua/jelektricheskij-chajnik-heinner-pf-70.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1662464894,6973349,HEINNER,Пылесос HEINNER HVC-V800BK,3889,2897961,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Heinner,heinner,Пилосос для сухого прибирання без мішка Heinner HVC-V800BK,,3889,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-heinner-hvc-v800bk.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1662467216,,,,,2908305,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Netis",netis,Маршрутизатор інтернет WiFi5 Netis NC65,,1099,1,https://comfy.ua/marshrutizator-internet-wifi5-netis-nc65.html,1149,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1662467217,,,,,2908306,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Netis",netis,Маршрутизатор інтернет WiFi6 Netis NX10,,1499,1,https://comfy.ua/marshrutizator-internet-wifi6-netis-nx10.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1662468463,6895082,HEINNER,"Разделочная доска HEINNER LDPE 26,5x32,5x1см Brown (HR-ADR-261M)",399,2897944,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Heinner,heinner,Дошка обробна Heinner HR-ADR-261M,,399,1,https://comfy.ua/razdelochnaja-doska-heinner-hr-adr-261m.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1662473022,6976890,TEFAL,Форма TEFAL PerfectBake (J5734902),999,2888136,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Tefal,tefal,Форма для приготування Tefal J5734902 PerfectBake Mini 21х29 см (8 форм),,999,1,https://comfy.ua/forma-dlja-prigotovlenija-tefal-j5734902-perfectbake-mini-21h29-sm-8-form.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
