1662557907,column,column,column,column,2675719,____________barbie,barbie,_barbie_perfect_day_____hpj96,column,2499,1,httpscomfyuakuklabarbieperfectdaypomotivamfilmabarbihpj96html,column,05112025_2242,column,__42,Фастів,0
1662513125,7135839,HEINNER,Микроволновая печь HEINNER HMW-M2535BK,4305,2897943,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Heinner,heinner,Мікрохвильова піч (НВЧ) Heinner HMW-M2535BK,,4305,1,https://comfy.ua/mikrovolnovaja-pech-svch-heinner-hmw-m2535bk.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1662557907,,,,,2675719,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Barbie,barbie,"""Лялька Barbie """"Perfect Day"""" за мотивами фільму """"Барбі"""" (HPJ96)""",,2499,1,https://comfy.ua/kukla-barbie-perfect-day-po-motivam-fil-ma-barbi-hpj96.html,,05.11.2025 22:42,,"вул. Соборна, 42",Фастів,0
1662562505,6965932,LORGAR,Клавиатура LORGAR Azar 514 RGB EN/UA Gaming White (LRG-GK514W-UA),4399,2866405,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Lorgar",lorgar,Клавіатура дротова ігрова Lorgar Azar 514 RGB EN/UA Gaming Wired White (LRG-GK514W-UA),,2499,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-lorgar-azar-514-rgb-en-ua-gaming-wired-white-lrg-gk514w-ua.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1662562511,6965933,LORGAR,Клавиатура LORGAR Azar 514 RGB EN/UA Gaming Black (LRG-GK514B-UA),4399,2866404,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Lorgar",lorgar,Клавіатура дротова ігрова Lorgar Azar 514 RGB EN/UA Gaming Wired Black (LRG-GK514B-UA),,4399,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-lorgar-azar-514-rgb-en-ua-gaming-wired-black-lrg-gk514b-ua.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1662565544,,,,,.2847759,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Корпус Asus A21/WHITE (90DC00H3-B09010),,2489,1,https://comfy.ua/korpus-asus-a21-white-90dc00h3-b09010.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1662565737,6914901,HEINNER,Мясорубка HEINNER MG1500TA-BL,2224,2912637,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Heinner,heinner,М'ясорубка Heinner MG1500TA-BL,,2149,1,https://comfy.ua/mjasorubka-heinner-mg1500ta-bl.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1662565738,6914902,HEINNER,Мясорубка HEINNER MG1500TA-GR,2299,2912638,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Heinner,heinner,М'ясорубка Heinner MG1500TA-GR,,2299,1,https://comfy.ua/mjasorubka-heinner-mg1500ta-gr.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1662565739,6914903,HEINNER,Мясорубка HEINNER MG1500TA-RED,2805,2912639,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Heinner,heinner,М'ясорубка Heinner MG1500TA-RED,,2805,1,https://comfy.ua/mjasorubka-heinner-mg1500ta-red.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1662565740,6914904,HEINNER,Мясорубка HEINNER MG1600TA-UV,2299,2912640,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Heinner,heinner,М'ясорубка Heinner MG1600TA-UV,,2299,1,https://comfy.ua/mjasorubka-heinner-mg1600ta-uv.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1662565741,6914905,HEINNER,Мясорубка HEINNER MG-2100BKWH,3199,2894273,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Heinner,heinner,М'ясорубка Heinner MG-2100BKWH,,3199,1,https://comfy.ua/mjasorubka-heinner-mg-2100bkwh.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1662565742,6891958,HEINNER,Мясорубка HEINNER MG-2100BKSL,3699,2894272,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Heinner,heinner,М'ясорубка Heinner MG-2100BKSL,,3699,1,https://comfy.ua/mjasorubka-heinner-mg-2100bksl.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1662566009,,,,,2331606,"Дом, отдых и зоотовары >> Декор для дома >> Декор для Halloween >> Декор для Halloween YES! Fun",yes-fun,Декор Halloween YES! Fun Гірлянда до свята (974466),,209,1,https://comfy.ua/dekor-halloween-yes-fun-girljanda-k-prazdniku-974466.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1662566013,,,,,2331605,"Дом, отдых и зоотовары >> Декор для дома >> Декор для Halloween >> Декор для Halloween YES! Fun",yes-fun,Декор Halloween YES! Fun Набір для творчості Дух Хэлловіну 421 шт. (974465),,489,1,https://comfy.ua/dekor-halloween-yes-fun-nabor-dlja-tvorchestva-duh-hjellouina-421-sht-974465.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1662566143,6952940,HEINNER,Блендер HEINNER HB-600BG,899,2897444,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Heinner,heinner,Блендер заглибний Heinner HB-600BG,,899,1,https://comfy.ua/blender-pogruzhnoj-heinner-hb-600bg.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1662566144,6891683,HEINNER,Блендер HEINNER HB-600BL,1011,2895616,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Heinner,heinner,Блендер заглибний Heinner HB-600BL,,999,1,https://comfy.ua/blender-pogruzhnoj-heinner-hb-600bl.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1662566145,6973312,HEINNER,Блендер HEINNER HBL-500RRD,1429,2897448,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Heinner,heinner,Блендер стаціонарний Heinner HBL-500RRD,,1429,1,https://comfy.ua/blender-stacionarnyj-heinner-hbl-500rrd.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1662566408,6952941,HEINNER,Блендер HEINNER HB-600UV,999,2897445,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Heinner,heinner,Блендер заглибний Heinner HB-600UV,,999,1,https://comfy.ua/blender-pogruzhnoj-heinner-hb-600uv.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1662566411,6914896,HEINNER,Блендер HEINNER HBL-550S,1549,2895617,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Heinner,heinner,Блендер заглибний Heinner HBL-550S,,1549,1,https://comfy.ua/blender-pogruzhnoj-heinner-hbl-550s.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1662566412,6914895,HEINNER,Блендер HEINNER HBL-500R,1599,2912645,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Heinner,heinner,Блендер стаціонарний Heinner HBL-500R,,1599,1,https://comfy.ua/blender-stacionarnyj-heinner-hbl-500r.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
