1662604713,column,column,column,column,2837853,Телевизоры и мультимедиа >> Аксессуары для ТВ,avatech,___avatech_13b61m,column,859,1,httpscomfyuakrepleniedljatelevizoraavatech13b61mhtml,column,05112025_1756,column,__42,Фастів,0
1662604650,6963572,HP,Мышь HP 430 Multi-Device Wireless (3B4Q2AA),1599,2910054,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные HP",hp,Миша бездротова HP 430 (3B4Q2AA),,1599,1,https://comfy.ua/mysh-besprovodnaja-hp-430-3b4q2aa.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1662604713,,,,,.2837853,Телевизоры и мультимедиа >> Аксессуары для ТВ,avatech,Кріплення для телевізора AVATech 13b61m,,859,1,https://comfy.ua/kreplenie-dlja-televizora-avatech-13b61m.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1662604714,,,,,.2837859,Телевизоры и мультимедиа >> Аксессуары для ТВ,avatech,Кріплення для телевізора AVATech 13w61m,,859,1,https://comfy.ua/kreplenie-dlja-televizora-avatech-13w61m.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1662604715,,,,,.2837855,Телевизоры и мультимедиа >> Аксессуары для ТВ,avatech,Кріплення для телевізора AVATech 13b905,,949,1,https://comfy.ua/kreplenie-dlja-televizora-avatech-13b905.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1662604716,,,,,.2837860,Телевизоры и мультимедиа >> Аксессуары для ТВ,avatech,Кріплення для телевізора AVATech 13w905,,949,1,https://comfy.ua/kreplenie-dlja-televizora-avatech-13w905.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1662604771,,,,,.2890787,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",cabletime,"Хаб USB Cabletime USB Type C - 4 Port USB 3.0, 0.15 cm (CB02B)",,739,1,https://comfy.ua/hab-usb-cabletime-usb-type-c-4-port-usb-3-0-0-15-cm-cb02b.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1662604772,,,,,.2905135,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",baseus,Хаб USB Baseus Essager Fanghe 5 in1 USB-C port (EHBC05-FH0G-P),,649,1,https://comfy.ua/hab-usb-baseus-essager-fanghe-5-in1-usb-c-port-ehbc05-fh0g-p.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1662606768,7109743,XO,Держатель XO C137 Black,566,2912635,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели XO,xo,Підставка для мобільного пристрою XO C137 135 см (XO-C137-BK),,699,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xo-c137-135-sm-xo-c137-bk.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1662607100,7060386,OXO,Щипцы Oxo Good Grips с силиконом Black 23 см (1101880),750,2819221,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы OXO,oxo,Щипці кухонні OXO 23 см (1101880),,935,1,https://comfy.ua/schipcy-kuhonnye-oxo-23-sm-1101880.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1662607101,7060656,JOSEPH JOSEPH,"Щипцы кухонные JOSEPH JOSEPH 30,5 см (10574)",1210,2904203,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Joseph Joseph,joseph-joseph,"Щипці кухонні Joseph Joseph 30,5 см 10574",,1025,1,https://comfy.ua/schipcy-kuhonnye-joseph-joseph-30-5-sm-10574.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1662607103,7060655,JOSEPH JOSEPH,Набор щипцов кухонных JOSEPH JOSEPH 2 пр (10573),2355,2904202,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Joseph Joseph,joseph-joseph,Щипці кухонні Joseph Joseph 2 шт. 10573,,1995,1,https://comfy.ua/schipcy-kuhonnye-joseph-joseph-2-sht-10573.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1662609537,6981792,ELECTROLUX,Духовой шкаф ELECTROLUX EOH4P56BX,19299,2905152,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Electrolux,electrolux,Духова шафа електрична Electrolux EOH4P56BX,,19299,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-electrolux-eoh4p56bx.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1662609679,7072583,JOSEPH JOSEPH,Набор разделочных досок Joseph Joseph 4 шт. (60226),8255,2897797,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Joseph Joseph,joseph-joseph,Набір обробних дошок Joseph Joseph 4 шт. (60226),,6995,1,https://comfy.ua/nabor-razdelochnyh-dosok-joseph-joseph-4-sht-60226.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1662611160,6921922,ENCHEN,Электробритва ENCHEN Blackstone Plus,499,2704777,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Enchen,enchen,Бритва Enchen Blackstone Plus,,499,1,https://comfy.ua/britva-enchen-blackstone-plus.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1662614952,6891985,HEINNER,Соковыжималка HEINNER XF-1000RD,2449,2912642,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки Heinner,heinner,Соковитискач відцентровий Heinner XF-1000RD,,2449,1,https://comfy.ua/sokovyzhimalka-centrobezhnaja-heinner-xf-1000rd.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1662614953,6891984,HEINNER,Соковыжималка HEINNER XF-1000GRSP,2449,2912641,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки Heinner,heinner,Соковитискач відцентровий Heinner XF-1000GRSP,,2449,1,https://comfy.ua/sokovyzhimalka-centrobezhnaja-heinner-xf-1000grsp.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1662620066,6914910,HEINNER,Пылесос HEINNER HVC-V800WBL,3059,2894263,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Heinner,heinner,Пилосос для сухого прибирання без мішка Heinner HVC-V800WBL,,3059,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-heinner-hvc-v800wbl.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1662620094,6891981,HEINNER,Пылесос HEINNER HVC-MC700WB,2499,2894262,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Heinner,heinner,Пилосос для сухого прибирання без мішка Heinner HVC-MC700WB,,2499,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-heinner-hvc-mc700wb.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1662620165,7069667,JOSEPH JOSEPH,Набор ножей JOSEPH JOSEPH Elevate Store 6 пр (10564),12975,2904207,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Joseph Joseph,joseph-joseph,Набір ножів Joseph Joseph 5 шт. 10564,,10995,1,https://comfy.ua/nabor-nozhej-joseph-joseph-5-sht-10564.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1662740943,,,,,.2839476,Игровые консоли и гейминг >> Комплектующие для игровых ПК,pccooler,Процесорний кулер PCCooler RZ620 BK,,2559,1,https://comfy.ua/processornyj-kuler-pccooler-rz620-bk.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1662741553,,,,,.2854178,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Коммутатор локальної мережі (Switch) Ruijie RG-ES206GS-P,,4579,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-ruijie-rg-es206gs-p.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1662752036,,,,,2117816,"Дом, отдых и зоотовары >> Декор для дома",ideyka,"""Картина за номерами Ideyka """"Ароматні кавові зерна"""" 30х40см (KHO5636)""",,196,1,https://comfy.ua/kartina-po-nomeram-idejka-aromatnye-kofejnye-zerna-30h40sm-kho5636.html,249,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1662752532,6975221,XO,Пылесос XO CZ001A 120 Вт 12 В Black (XO-CZ001A),429,2912634,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы XO,xo,Автомобільний пилосос XO CZ001A 12В Black (XO-CZ001A),,429,1,https://comfy.ua/pylesos-ruchnoj-dlja-avtomobilja-xo-cz001a-12v-black-xo-cz001a.html,499,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1662752532,7080976,XO,Vac/accum XO CZ001A black,499,2912634,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы XO,xo,Автомобільний пилосос XO CZ001A 12В Black (XO-CZ001A),,429,1,https://comfy.ua/pylesos-ruchnoj-dlja-avtomobilja-xo-cz001a-12v-black-xo-cz001a.html,499,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1662759022,,,,,2346019,"Дом, отдых и зоотовары >> Декор для дома",ideyka,"""Картина за номерами Ideyka """"Загадкова незнайомка"""" 40х50см (KHO4843)""",,295,1,https://comfy.ua/kartina-po-nomeram-ideyka-zagadochnaja-neznakomka-40h50sm-kho4843.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1662759086,6975239,XO,Гарнитура XO BE39 Black (XO-BE39BK),599,2912621,"Аудио, фото и видео >> Наушники >> Наушники XO",xo,Навушники накладні бездротові XO BE39 Black (XO-BE39BK),,599,1,https://comfy.ua/naushniki-nakladnye-besprovodnye-xo-be39-black-xo-be39bk.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1662759097,6975234,XO,Гарнитура XO G17 ANC+ENC Black (XO-G17BK),799,2912631,"Аудио, фото и видео >> Наушники >> Наушники XO",xo,Навушники вкладиші бездротові TWS XO G17 ANC+ENC Black (XO-G17BK),,799,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-xo-g17-anc-enc-black-xo-g17bk.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1662759098,6975235,XO,Гарнитура XO G16 ENC White (XO-G16WH),747,2912630,"Аудио, фото и видео >> Наушники >> Наушники XO",xo,Навушники вкладиші бездротові TWS XO G16 ENC White (XO-G16WH),,749,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-xo-g16-enc-white-xo-g16wh.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1662759311,6975238,XO,Наушники XO G11 Grey (XO-G11GRY),799,2912629,"Аудио, фото и видео >> Наушники >> Наушники XO",xo,Навушники вкладиші бездротові TWS XO G11 Grey (XO-G11GRY),,799,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-xo-g11-grey-xo-g11gry.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1662759423,,,,,2156777,"Дом, отдых и зоотовары >> Декор для дома",ideyka,"""Картина за номерами Ideyka """"Улюблена Японія"""" 40х50 см (KHO2856)""",,295,1,https://comfy.ua/kartina-po-nomeram-idejka-ljubimaja-japonija-40h50-sm-kho2856.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1662759430,,,,,2288922,"Дом, отдых и зоотовары >> Декор для дома",ideyka,Картина за номерами Ideyka Улюблені соняшники 40x40 см (KHO3206),,275,1,https://comfy.ua/kartina-po-nomeram-idejka-ljubimye-podsolnuhi-40x40-sm-kho3206.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1662759803,,,,,2382240,"Дом, отдых и зоотовары >> Декор для дома",ideyka,"""Картина за номерами Ideyka """"Потяг додому"""" 40х50см (KHO2510)""",,295,1,https://comfy.ua/kartina-po-nomeram-ideyka-poezd-domoj-40h50sm-kho2510.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1662760210,,,,,2156775,"Дом, отдых и зоотовары >> Декор для дома",ideyka,"""Картина за номерами Ideyka """"Квітуча лаванда"""" 40*50см (KHO2839)""",,295,1,https://comfy.ua/kartina-po-nomeram-idejka-cvetuschaja-lavanda-40-50sm-kho2839.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1662760561,6977782,KITCHENAID,Сковорода KITCHENAID Multiply Stainless Steel 20 см (CC003243-001),6899,2868304,Посуда >> Для приготовления >> Сковороды >> Сковороды KitchenAid,kitchenaid,Сковорода універсальна KitchenAid MSS 20 см (CC003243-001),,6899,1,https://comfy.ua/skovoroda-universal-naja-kitchenaid-mss-20-sm-cc003243-001.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1662760741,,,,,2912626,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Мережевий зарядний пристрій XO CE18 PD30W USB-C Yellow (XO-CE18-YEL),,269,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xo-ce18-pd30w-usb-c-yellow-xo-ce18-yel.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1662760742,,,,,2908283,Смартфоны и телефоны >> Аксессуары для смартфонов,choetech,Мережевий зарядний пристрій Choetech 2xUSB 11W (C0028),,469,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-choetech-2xusb-11w-c0028.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1662760755,,,,,2908290,Смартфоны и телефоны >> Аксессуары для смартфонов,choetech,"Мережевий зарядний пристрій Choetech 2x USB Type-C 35W PD3.0, Qc3.0 (Q5008)",,699,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-choetech-2x-usb-type-c-35w-pd3-0-qc3-0-q5008.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1662760803,,,,,2908287,Смартфоны и телефоны >> Аксессуары для смартфонов,choetech,"Мережевий зарядний пристрій Choetech GaN USB Type-C 45W PD, QC, PPS (PD8007)",,1199,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-choetech-gan-usb-type-c-45w-pd-qc-pps-pd8007.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1662760809,,,,,2908286,Смартфоны и телефоны >> Аксессуары для смартфонов,choetech,Мережевий зарядний пристрій Choetech GaN USB Type-C Type-A 65W PD QC (PD8002),,1999,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-choetech-gan-usb-type-c-type-a-65w-pd-qc-pd8002.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1662760948,,,,,2912628,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xo,Кабель синхронізації даних XO Type-C NB-Q259 iPhone15 60W White (XO-NB-Q259-WH),,149,1,https://comfy.ua/kabel-sinhronizacii-dannyh-xo-type-c-nb-q259-iphone15-60w-white-xo-nb-q259-wh.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1662761306,6973220,COOPER&HUNTER,Кондиционер COOPER&HUNTER CH-S12FTXF2-NG,24199,2682579,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Cooper&Hunter,cooperhunter,Кондиціонер спліт Cooper&Hunter CH-S12FTXF2-NG,,24199,1,https://comfy.ua/kondicioner-split-cooper-hunter-ch-s12ftxf2-ng.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
