1662890708,column,column,column,column,2839787,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gembird,___gembird_nbsd101,column,999,1,httpscomfyuapodstavkapodnoutbukgembirdnbsd101html,column,05112025_1955,column,__42,Фастів,0
1662890706,,,,,.2839773,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",choetech,Підставка під ноутбук Choetech H061-GY,,969,1,https://comfy.ua/podstavka-pod-noutbuk-choetech-h061-gy.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1662890708,,,,,.2839787,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gembird,Підставка під ноутбук Gembird NBS-D1-01,,999,1,https://comfy.ua/podstavka-pod-noutbuk-gembird-nbs-d1-01.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1662890709,,,,,2839778,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",choetech,Підставка під ноутбук Choetech USB-C 7-в-1 (HUB-M48-GY),,2999,1,https://comfy.ua/podstavka-pod-noutbuk-choetech-usb-c-7-v-1-hub-m48-gy.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1662891042,6860064,ARRTX,Акриловые маркеры ARRTX AACM-03-32 32 цвета (LC302802),1196,2088821,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Arrtx,arrtx,Набір маркерів Arrtx AACM-03-32 32 кольори (LC302802),,1260,1,https://comfy.ua/nabor-markerov-arrtx-aacm-03-32-32-cveta-lc302802.html,1499,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1662891049,,,,,2635823,Comfy KIDS >> Творчество и развитие >> Все для рисования >> Все для рисования Arrtx,arrtx,Набір маркерів Arrtx AACM-03-8BK чорні (LC303458),,395,1,https://comfy.ua/nabor-markerov-arrtx-aacm-03-8bk-chernye-lc303458.html,439,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1662891082,,,,,.2837265,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon 3D for iPhone 15 Plus Black 2 шт. (ARM74273),,699,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-3d-for-iphone-15-plus-black-2-sht-arm74273.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1662891085,,,,,.2837260,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Supreme Set Black Icon для Apple iPhone 15 Pro (ARM74187),,1299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-supreme-set-black-icon-dlja-apple-iphone-15-pro-arm74187.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1662891119,,,,,2621537,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры Battat,battat,Сюжетно-рольова гра. Набір-професій Battat Валіза Лікаря 11 предметів (BT4537Z),,895,1,https://comfy.ua/sjuzhetno-rolevaja-igra-nabor-professij-battat-chemodanchik-vracha-11-predmetov-bt2426z.html,,05.11.2025 23:14,,"вул. Соборна, 42",Фастів,0
1662892038,,,,,2904329,Красота и здоровье >> Уход за лицом >> Косметические зеркала >> Косметические зеркала Xiaomi,xiaomi,Косметичне дзеркало Xiaomi Jordan Judy LED Lighted Makeup Mirror (NV536),,1999,1,https://comfy.ua/kosmeticheskoe-zerkalo-xiaomi-jordan-judy-led-lighted-makeup-mirror-nv536.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1662892086,6918389,DEFENDER,Гарнитураt DEFENDER Flame RGB Black (64555),785,2885219,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Гарнітура дротова ігрова Defender Flame 2m Black (64555),,785,1,https://comfy.ua/garnitura-provodnaja-igrovaja-defender-flame-2m-black-64555.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1662892108,6975040,TRUST,Гарнитура TRUST GXT 490 FAYZO 7.1 USB-A White (25302),1999,2876851,"Аудио, фото и видео >> Наушники >> Наушники Trust",trust,Гарнітура дротова ігрова Trust GXT 490 FAYZO (25302),,1659,1,https://comfy.ua/garnitura-provodnaja-igrovaja-trust-gxt-490-fayzo-25302.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1662892112,6975038,ACER,Гарнитура ACER Predator Galea 365 PHW210 USB-A Black (GP.HDS11.01L),3479,2876863,"Аудио, фото и видео >> Наушники >> Наушники Acer",acer,Гарнітура дротова ігрова Acer Predator Galea 365 PHW210 (GP.HDS11.01L),,3479,1,https://comfy.ua/garnitura-provodnaja-igrovaja-acer-predator-galea-365-phw210-gp-hds11-01l.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
