1664063044,column,column,column,column,2724465,Посуда >> Для сервировки,luminarc,__luminarc_brush_mania_terracotta_20__v5420,column,100,1,httpscomfyuatarelkasupovajaluminarcbrushmaniaterracotta20smv5420html,column,05112025_1931,column,__42,Фастів,0
1664063041,,,,,.2724462,Посуда >> Для сервировки,luminarc,Тарілка супова Luminarc Poppy Turquoise 20 см (V5426),,81,1,https://comfy.ua/tarelka-supovaja-luminarc-poppy-turquoise-20-sm-v5426.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1664063044,,,,,.2724465,Посуда >> Для сервировки,luminarc,Тарілка супова Luminarc Brush Mania Terracotta 20 см (V5420),,100,1,https://comfy.ua/tarelka-supovaja-luminarc-brush-mania-terracotta-20-sm-v5420.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1664063161,,,,,.2731111,Посуда >> Для сервировки,wilmax,Тарілка десертна Wilmax Coral Blue.Graphics 17 см (WL-671601 / A),,225,1,https://comfy.ua/tarelka-desertnaja-wilmax-coral-blue-graphics-17-sm-wl-671601-a.html,296,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1664063243,,,,,.2731110,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Coral Blue.Graphics 27 см (WL-671625 / A),,525,1,https://comfy.ua/tarelka-obedennaja-wilmax-coral-blue-graphics-27-sm-wl-671625-a.html,688,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1664063256,,,,,.2731107,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Silver Moon.Graphics 28 см (WL-671214 / A),,609,1,https://comfy.ua/tarelka-obedennaja-wilmax-silver-moon-graphics-28-sm-wl-671214-a.html,790,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1664091489,,,,,2912615,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Gorenje,gorenje,Холодильник Gorenje NRK 6182 PW4,,18699,1,https://comfy.ua/holodil-nik-gorenje-nrk-6182-pw4.html,21399,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1664091892,6979015,MPM,Холодильник MPM 387-CJF-22,27999,2917932,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники MPM,mpm,Холодильник MPM MPM-387-CJF-22,,27999,1,https://comfy.ua/holodil-nik-mpm-mpm-387-cjf-22.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1664118232,6987985,PYRAMIDA,Вытяжка PYRAMIDA AGS 60 WH,3179,2918964,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Pyramida,pyramida,Витяжка вбудована Pyramida AGS 60 WH,,2649,1,https://comfy.ua/vytjazhka-vstraivaemaja-pyramida-ags-60-wh.html,3529,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1664118247,,,,,2912121,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Interline,interline,Витяжка декоративна Interline SET X A/60 PB/2/T,,3099,1,https://comfy.ua/vytjazhka-dekorativnaja-interline-set-x-a-60-pb-2-t.html,3949,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1664121560,,,,,2912120,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Interline,interline,Витяжка декоративна Interline SET WH A/60 PB/2/T,,3099,1,https://comfy.ua/vytjazhka-dekorativnaja-interline-set-wh-a-60-pb-2-t.html,3949,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1664144706,6884684,BEST CHEF,Вытяжка BEST CHEF Medium Box Touch 1000 inox 60 OAREP60JFSW.S3.SA.SK_BST,6999,2910048,Техника для кухни >> Крупная техника,best-chef,Витяжка вбудована Best Chef Medium Box Touch 1000 inox 60 (OAREP60JFSW.S3.SA.SK_BST),,8499,1,https://comfy.ua/vytjazhka-vstraivaemaja-best-chef-medium-box-touch-1000-inox-60-oarep60jfsw-s3-sa-sk-bst.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1664160337,7038952,TEFAL,Форма для льда TEFAL Master Seal Fresh (K3023612),497,2551315,Посуда >> Кухонные аксессуары >> Формы и пакеты для заморозки >> Формы и пакеты для заморозки Tefal,tefal,Форма для льоду Tefal K3023612 Master Seal Fresh,,499,1,https://comfy.ua/forma-dlja-l-da-tefal-k3023612-master-seal-fresh.html,639,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1664165884,,,,,.2741796,Посуда >> Для сервировки,luminarc,"Тарілка десертна Luminarc Poppy Turquoise 19,6 см (V5425)",,81,1,https://comfy.ua/tarelka-desertnaja-luminarc-poppy-turquoise-19-6-sm-v5425.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1664165887,,,,,.2741794,Посуда >> Для сервировки,luminarc,Тарілка супова Luminarc Poppy Orange 20 см (V5423),,81,1,https://comfy.ua/tarelka-supovaja-luminarc-poppy-orange-20-sm-v5423.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1664169027,6544195,BRIZOLL,Сковорода BRIZOLL Optima-Bordo 20 см Black (O2035-P2),379,2777427,Посуда >> Для приготовления >> Сковороды >> Сковороды Brizoll,brizoll,Сковорода універсальна Brizoll O2035-P2 Optimа-Bordo 200 х 35 мм,,379,1,https://comfy.ua/skovoroda-universal-naja-brizoll-o2035-p2-optima-bordo-200-h-35-mm.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1664169037,7056824,BRIZOLL,Сотейник BRIZOLL Monolith 26 см Black (M2660U),505,2768118,Посуда >> Для приготовления >> Сковороды >> Сковороды Brizoll,brizoll,Сковорода універсальна Brizoll M2660U 260 х 60 мм,,505,1,https://comfy.ua/skovoroda-universal-naja-brizoll-m2660u-260-h-60-mm.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
