1664609515,6976116,prime_technics,_prime_technics_ppc_121_profi_cook,3699,2918965,__________prime_technics,primetechnics,_prime_technics_ppc_121_profi_cook,column,3699,1,httpscomfyuamultivarkaskorovarkaprimetechnicsppc121proficookhtml,column,05112025_1814,column,__42,Фастів,0
1664607631,6979014,MPM,Холодильник MPM 215-KB-39/E,12999,2917931,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники MPM,mpm,Холодильник MPM MPM-215-KB-39/E,,12999,1,https://comfy.ua/holodil-nik-mpm-mpm-215-kb-39-e.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1664609515,6976116,PRIME TECHNICS,Мультиварка-скороварка PRIME TECHNICS PPC 121 Profi Cook,3699,2918965,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Prime Technics,prime-technics,Мультиварка-скороварка Prime Technics PPC 121 Profi Cook,,3699,1,https://comfy.ua/mul-tivarka-skorovarka-prime-technics-ppc-121-profi-cook.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1664734492,6962752,KINGSTON,Флеш-драйв KINGSTON DT SE9 G3 128GB USB 3.2 Gold (DTSE9G3/128GB),589,2878154,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Kingston",kingston,Флеш USB Kingston DT SE9 G3 128GB USB 3.2 Gold (DTSE9G3/128GB),,589,1,https://comfy.ua/flesh-usb-kingston-dt-se9-g3-128gb-usb-3-2-gold-dtse9g3-128gb.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1664734501,6962753,KINGSTON,Флеш-драйв KINGSTON DT SE9 G3 256GB USB 3.2 Gold (DTSE9G3/256GB),1029,2878155,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Kingston",kingston,Флеш USB Kingston DT SE9 G3 256GB USB 3.2 Gold (DTSE9G3/256GB),,1029,1,https://comfy.ua/flesh-usb-kingston-dt-se9-g3-256gb-usb-3-2-gold-dtse9g3-256gb.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1664742899,,,,,2874708,Техника для дома >> Умный дом,sonoff,Бездротовий датчик температури і вологості повітря Sonoff Zigbee SNZB-02P,,1299,1,https://comfy.ua/besprovodnoj-datchik-temperatury-i-vlazhnosti-vozduha-sonoff-zigbee-snzb-02p.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1664742901,,,,,2874707,"Техника для дома >> Умный дом >> Датчики температуры, влажности >> Датчики температуры, влажности Sonoff",sonoff,Бездротовий датчик температури і вологості повітря Sonoff SNZB-02D,,1399,1,https://comfy.ua/besprovodnoj-datchik-temperatury-i-vlazhnosti-vozduha-sonoff-snzb-02d.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1664742902,,,,,2857967,"Техника для дома >> Умный дом >> Датчики температуры, влажности >> Датчики температуры, влажности Ajax",ajax,Бездротовий датчик температури Ajax FireProtect 2 RB Heat (000034667),,2399,1,https://comfy.ua/besprovodnoj-datchik-temperatury-ajax-fireprotect-2-rb-heat-000034667.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1664808238,,,,,2295737,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Ninjago Гоночний автомобіль ніндзя Кая EVO (71780),,367,1,https://comfy.ua/konstruktor-lego-ninjago-gonochnyj-avtomobil-nindzja-kaja-evo-71780.html,459,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1664808492,,,,,2295796,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Star Wars Бойовий загін бійців-клонів 501-го легіону (75345),,759,1,https://comfy.ua/konstruktor-lego-star-wars-tm-tbd-star-wars-tm-75345-75345.html,949,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1664808494,,,,,2295797,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Star Wars Бомбардувальник TIE (75347),,2559,1,https://comfy.ua/konstruktor-lego-star-wars-tm-tbd-star-wars-tm-75347-75347.html,3199,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1664808513,,,,,2183695,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Star Wars TM Джедайський винищувач Обі-Вана Кенобі (75333),,1319,1,https://comfy.ua/konstruktor-lego-star-wars-tm-dzhedajskij-istrebitel-obi-vana-kenobi-75333.html,1649,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
