1668503248,column,column,column,column,2929238,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_ryzen_5_7500f_rtx_4060_8gb_nm_3242win_ryzen57500frtx40608gbnm3242win,column,54336,1,httpscomfyuasistemnyjblokqubeqbryzen57500frtx40608gbnm3242winryzen57500frtx40608gbnm3242winhtml,62455,05112025_1805,column,__42,Фастів,0
1668516056,,,,,.2929232,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 3060 12GB NM 64102 (Ryzen57500FRTX306012GBNM64102),,54592,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-3060-12gb-nm-64102-ryzen57500frtx306012gbnm64102.html,62749,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1668516666,,,,,.2929231,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 3060 12GB NM 641010 (Ryzen57500FRTX306012GBNM641010),,55032,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-3060-12gb-nm-641010-ryzen57500frtx306012gbnm641010.html,63255,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1668516906,,,,,.2926728,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X RTX 4060 Ti 16GB NM 1641Win (Ryzen55600XRTX4060Ti16GBNM1641Win),,53422,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-rtx-4060-ti-16gb-nm-1641win-ryzen55600xrtx4060ti16gbnm1641win.html,61405,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1668517022,,,,,.2929253,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 Ti 8GB NM 321010 (Ryzen57500FRTX4060Ti8GBNM321010),,55505,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-ti-8gb-nm-321010-ryzen57500frtx4060ti8gbnm321010.html,63799,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1668526498,,,,,2380528,Comfy KIDS >> Творчество и развитие >> Все для рисования >> Все для рисования Crayola,crayola,Набір олівців Crayola 50 шт. (68-4050),,1089,1,https://comfy.ua/nabor-karandashej-crayola-50-sht-68-4050.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1668532441,,,,,.2926749,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 3050 8GB NM 64102Win (Ryzen57500FRTX30508GBNM64102Win),,56198,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-3050-8gb-nm-64102win-ryzen57500frtx30508gbnm64102win.html,64595,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1668532681,,,,,.2929246,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 Ti 16GB NM 3242 (Ryzen57500FRTX4060Ti16GBNM3242),,57807,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-ti-16gb-nm-3242-ryzen57500frtx4060ti16gbnm3242.html,66445,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1668536681,,,,,.2929233,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 3060 12GB NM 64102Win (Ryzen57500FRTX306012GBNM64102Win),,60582,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-3060-12gb-nm-64102win-ryzen57500frtx306012gbnm64102win.html,69635,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1668555089,,,,,.2929242,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 8GB NM 64102Win (Ryzen57500FRTX40608GBNM64102Win),,63140,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-8gb-nm-64102win-ryzen57500frtx40608gbnm64102win.html,72575,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1668873629,,,,,2345404,"Дом, отдых и зоотовары >> Декор для дома",ideyka,"""Картина за номерами Ideyka """"Яскраві соняшники"""" 40х40см (KHO2865)""",,269,1,https://comfy.ua/kartina-po-nomeram-ideyka-jarkie-podsolnuhi-40h40sm-kho2865.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1668921812,,,,,.2763791,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Samsung Galaxy S20 FE SM-G780 Black (708812),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-samsung-galaxy-s20-fe-sm-g780-black-708812.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1668922933,,,,,.2904182,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Samsung Galaxy M54 5G SM-M546 Black (709273),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-samsung-galaxy-m54-5g-sm-m546-black-709273.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1668922937,,,,,.2904180,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Nokia G22 Black (709249),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-nokia-g22-black-709249.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1668959607,6829314,VILEDA,Набор для уборки VILEDA Dustpan 2 в 1 (4023103172326),440,2884695,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки Vileda,vileda,Щітка для прибирання Vileda +совок (4023103172326),,439,1,https://comfy.ua/schetka-dlja-uborki-vileda-sovok-4023103172326.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1668960957,,,,,2933875,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,Йоржик для дитячих пляшечок BabyOno і сосок з губкою сірий (720/03),,89,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-i-sosok-s-gubkoj-seryj-720-03.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1668961347,,,,,2888869,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Nip",nip,Пляшка для годування NIP 120 мл + соска від 0 міс М (35115),,589,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-120-ml-soska-ot-0-mes-m-35115.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1668987886,,,,,2884014,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Krosno,krosno,Стопка Krosno X-LINE 25 мл 6 шт. (785967),,284,1,https://comfy.ua/stopka-krosno-x-line-25-ml-6-sht-785967.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1668987895,,,,,2882455,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Чарка для горілки Krosno SHOT 30 мл 6 шт. (789019),,308,1,https://comfy.ua/rjumka-dlja-vodki-krosno-shot-30-ml-6-sht-789019.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1668987911,,,,,2882454,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Krosno,krosno,Чарка для горілки Krosno SHOT 50 мл 6 шт. (789163),,331,1,https://comfy.ua/rjumka-dlja-vodki-krosno-shot-50-ml-6-sht-789163.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1668987936,,,,,2900352,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Стопка Krosno MIXOLOGY 45 мл 6 шт. (790077),,297,1,https://comfy.ua/stopka-krosno-mixology-45-ml-6-sht-790077.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1668988353,,,,,2882460,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Чарка для горілки Krosno BALANCE 40 мл 6 шт. (789262),,294,1,https://comfy.ua/rjumka-dlja-vodki-krosno-balance-40-ml-6-sht-789262.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1668988392,,,,,2884067,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Стопка Krosno RAY 50 мл 6 шт. (901541),,329,1,https://comfy.ua/stopka-krosno-ray-50-ml-6-sht-901541.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1668988411,,,,,2884016,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Стопка Krosno PURE 20 мл 6 шт. (786032),,597,1,https://comfy.ua/stopka-krosno-pure-20-ml-6-sht-786032.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1668988445,,,,,2884056,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Стопка Krosno STERLING 50 мл 6 шт. (832050),,622,1,https://comfy.ua/stopka-krosno-sterling-50-ml-6-sht-832050.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1668988718,,,,,2882453,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Krosno,krosno,Чарка для горілки Krosno VENEZIA 50 мл 6 шт. (788708),,732,1,https://comfy.ua/rjumka-dlja-vodki-krosno-venezia-50-ml-6-sht-788708.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
