1669027288,column,column,column,column,2887050,______________york,york,_york_salsa__pepita_81302,column,529,1,httpscomfyuashvabrayorksalsamorpepita81302html,column,05112025_1919,column,__42,Фастів,0
1669026540,,,,,2886385,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские BabyOno,babyono,Нагрудник каучуковий BabyOno з регульованою застібкою рожевий (835/04),,219,1,https://comfy.ua/nagrudnik-kauchukovyj-babyono-s-reguliruemoj-zastezhkoj-rozovyj-835-04.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1669026542,,,,,2933878,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские BabyOno,babyono,Нагрудник тканинний BabyOno Листочки 2 шт. (879/10),,285,1,https://comfy.ua/nagrudnik-tkanevyj-babyono-listochki-2-sht-879-10.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1669026544,,,,,2933880,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские BabyOno,babyono,Нагрудник тканинний BabyOno Квіточки 2 шт. (879/16),,285,1,https://comfy.ua/nagrudnik-tkanevyj-babyono-cvetochki-2-sht-879-16.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1669026624,,,,,2884620,Бытовая химия >> Для кухни и мытья посуды,helper,Засіб для ручного миття посуду Helper Преміум 1000 мл (4820183971623),,120,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-helper-premium-1000-ml-4820183971623.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1669026626,,,,,2884622,Бытовая химия >> Для кухни и мытья посуды,helper,Засіб для ручного миття посуду Helper Energy 1л (4820183971982),,90,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-helper-energy-1l-4820183971982.html,128,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1669026647,,,,,2884618,Бытовая химия >> Для кухни и мытья посуды >> Средства для мытья посуды >> Средства для мытья посуды Helper,helper,"Засіб для ручного миття посуду Helper Ароматне яблуко 4,95л (4823019005226)",,222,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-helper-aromatnoe-jabloko-4-95l-4823019005226.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1669026650,,,,,.2933876,"Детские товары >> Уход, купание и гигиена",babyono,Килимок в дитячу ванночку BabyOno Рожевий 70 см х 35 см (1346/08),,485,1,https://comfy.ua/kovrik-v-detskuju-vannochku-babyono-rozovyj-70-sm-h-35-sm-1346-08.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1669027169,6973003,LOSK,Капсулы для стирки Losk Power Caps Ароматерапія Эфирные масла и аромат Малазийский цветок 36 шт (9000101803020),379,2919522,Бытовая химия >> Средства для стирки >> Капсулы для стирки >> Капсулы для стирки Losk,losk,Капсули для прання Losk тріо-капсули Ефірні масла та аромат Малазійська квітка 36 шт,,389,1,https://comfy.ua/kapsuly-dlja-stirki-losk-trio-kapsuly-jefirnye-masla-i-aromat-malazijskij-cvetok-36-sht.html,677,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,3
1669027253,6981165,JURA,Кофемашина JURA J8 twin Diamond White EA (15594),109889,2883019,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Jura,jura,Кавомашина Jura J8 twin Diamond White EA,,109889,1,https://comfy.ua/kofemashina-jura-j8-twin-diamond-white-ea.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1669027259,6978910,PHILIPS,Кофемашина PHILIPS EP4449/70,29999,2926417,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Philips,philips,Кавомашина Philips EP4449/70,,29999,1,https://comfy.ua/kofemashina-philips-ep4449-70.html,43999,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
