1669208842,column,column,column,column,2915016,________________2e,2e,___switch_2e_powerlink_sp401f_2esp401f2,column,799,1,httpscomfyuakommutatorlokalnojsetiswitch2epowerlinksp401f2esp401f2html,column,05112025_1749,column,__42,Фастів,0
1669198321,6980326,DREAME,Пылесос DREAME Wet & Dry Vacuum Cleaner H11 Core,8399,2933516,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Dreame,dreame,Пилосос ручний миючий Dreame H11 Core (HHR21A),,8399,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-dreame-h11-core-hhr21a.html,14999,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1669208842,,,,,2915016,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети 2E",2e,Коммутатор локальної мережі (Switch) 2E PowerLink SP401F (2E-SP401F-2),,799,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-2e-powerlink-sp401f-2e-sp401f-2.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1669221571,6891952,HEINNER,Утюг HEINNER ID-2900-PP,799,2937945,Техника для дома >> Мелкая техника >> Утюги >> Утюги Heinner,heinner,Праска Heinner ID-2900-PP,,799,1,https://comfy.ua/utjug-heinner-id-2900-pp.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1669221574,6988714,MAGIO,Утюг MAGIO MG-531,977,2926813,Техника для дома >> Мелкая техника >> Утюги >> Утюги Magio,magio,Праска Magio MG-531,,979,1,https://comfy.ua/utjug-magio-mg-531.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1669221575,6923551,MAGIO,Утюг MAGIO MG-530,1049,2926809,Техника для дома >> Мелкая техника >> Утюги >> Утюги Magio,magio,Праска Magio MG-530,,1049,1,https://comfy.ua/utjug-magio-mg-530.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1669221615,6891953,HEINNER,Утюг HEINNER XI-6060-GR,999,2937950,Техника для дома >> Мелкая техника >> Утюги >> Утюги Heinner,heinner,Праска Heinner XI-6060-GR,,999,1,https://comfy.ua/utjug-heinner-xi-6060-gr.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1669223028,,,,,.2925462,Техника для кухни >> Мир кофе,eta,Кавомолка ETA Маgico 0065 90000 Black,,679,1,https://comfy.ua/kofemolka-eta-magico-0065-90000-black.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1669223029,,,,,.2925461,Техника для кухни >> Мир кофе,eta,Кавомолка ETA Aromo 0064 90000 White,,669,1,https://comfy.ua/kofemolka-eta-aromo-0064-90000-white.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1669224338,,,,,2915084,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",huawei,Маршрутизатор інтернет WiFi6 Huawei AX3 (Dual Core) WS7100 V2,,2499,1,https://comfy.ua/marshrutizator-internet-wifi6-huawei-ax3-dual-core-ws7100-v2.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1669231062,6931289,POLAROID,Фотоаппарат POLAROID Go Gen 2 Black (9096),5999,2930292,"Аудио, фото и видео >> Фотокамеры >> Фотоаппараты >> Фотоаппараты Polaroid",polaroid,Фотокамера миттєвого друку Polaroid Go Gen 2 – Black (9096),,5999,1,https://comfy.ua/fotokamera-momental-noj-pechati-polaroid-go-gen-2-black-9096.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1669231063,6931290,POLAROID,Фотоаппарат POLAROID Go Gen 2 White (9097),5999,2930293,"Аудио, фото и видео >> Фотокамеры >> Фотоаппараты >> Фотоаппараты Polaroid",polaroid,Фотокамера миттєвого друку Polaroid Go Gen 2 – White (9097),,5999,1,https://comfy.ua/fotokamera-momental-noj-pechati-polaroid-go-gen-2-white-9097.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1669237700,6826790,VILEDA,Валик для чистки одежды VILEDA 1 шт. (4023103126251),270,2884684,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Валики и щетки для одежды >> Валики и щетки для одежды Vileda",vileda,Валик для чищення одягу Vileda 4023103126251,,269,1,https://comfy.ua/valiki-dlja-chistki-odezhdy-vileda-4023103126251.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1669237701,6999529,VILEDA,Набор запасных валиков VILEDA Lint Roller 2 шт по 29 листов (8001940007922),175,2884681,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Валики и щетки для одежды >> Валики и щетки для одежды Vileda",vileda,Запаска до валика для чистки одягу Vileda 2 шт. (8001940007922),,174,1,https://comfy.ua/zapaska-k-valiku-dlja-chistki-odezhdy-vileda-2-sht-8001940007922.html,249,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1669238307,6973342,HEINNER,Вытяжка HEINNER HTCH-F400BK,2699,2937939,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Heinner,heinner,Витяжка вбудована Heinner HTCH-F400BK,,2699,1,https://comfy.ua/vytjazhka-vstraivaemaja-heinner-htch-f400bk.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1669238450,6973343,HEINNER,Вытяжка HEINNER HTCH-F400WH,2575,2937940,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Heinner,heinner,Витяжка вбудована Heinner HTCH-F400WH,,2575,1,https://comfy.ua/vytjazhka-vstraivaemaja-heinner-htch-f400wh.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1669238941,6886862,HEINNER,Вытяжка HEINNER DCH-350RGBK,3295,2937724,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Heinner,heinner,Витяжка декоративна Heinner DCH-350RGBK,,4399,1,https://comfy.ua/vytjazhka-dekorativnaja-heinner-dch-350rgbk.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1669241685,6973314,HEINNER,Вытяжка HEINNER HCH-490-BRW,5299,2937924,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Heinner,heinner,Витяжка традиційна Heinner HCH-490-BRW,,5299,1,https://comfy.ua/vytjazhka-tradicionnaja-heinner-hch-490-brw.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
