1669615974,column,column,column,column,2855242,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",foneng,___foneng_x75_usbc__lightning_1_white_x75catcip,column,135,1,httpscomfyuakabelsinhronizaciidannyhfonengx75usbclightning1mwhitex75catciphtml,column,05112025_2218,column,__42,Фастів,0
1669615930,,,,,.2855247,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",foneng,Кабель синхронізації даних Foneng X95 Metal Head Braided Cable (3A) USB - Lightning 1.2m Black (X95-CA-IP),,109,1,https://comfy.ua/kabel-sinhronizacii-dannyh-foneng-x95-metal-head-braided-cable-3a-usb-lightning-1-2m-black-x95-ca-ip.html,,05.11.2025 22:18,,"вул. Соборна, 42",Фастів,0
1669615974,,,,,2855242,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",foneng,Кабель синхронізації даних Foneng X75 USB-C - Lightning 1м White (X75-CA-TCIP),,135,1,https://comfy.ua/kabel-sinhronizacii-dannyh-foneng-x75-usb-c-lightning-1m-white-x75-ca-tcip.html,,05.11.2025 22:18,,"вул. Соборна, 42",Фастів,0
1669617248,,,,,2915033,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",elyte,Клавіатура дротова ігрова Elyte Blackbird (Gaming Keyboard),,325,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-elyte-blackbird-gaming-keyboard.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1669617684,,,,,2860895,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Rainbow USB A to Type-C 100W Fast Charging USB Cable 1m Green (EXCT1-CH06),,199,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-rainbow-usb-a-to-type-c-100w-fast-charging-usb-cable-1m-green-exct1-ch06.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1669617886,,,,,2860891,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Rainbow USB A to Lightning 3A Fast Charging USB Cable 3m White (EXCL-CHC02),,239,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-rainbow-usb-a-to-lightning-3a-fast-charging-usb-cable-3m-white-excl-chc02.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
1669618917,6967809,GT RACER,Кресло GT RACER X-5348 Black,9999,2937782,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары GT Racer",gt-racer,Крісло для геймерів GT Racer X-5348 Black,,9999,1,https://comfy.ua/kreslo-dlja-gejmerov-gt-racer-x-5348-black.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1669619671,,,,,2900479,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Apple",apple,Кабель синхронізації даних Apple USB-C to Lightning Cable 1m (MUQ93),,1099,1,https://comfy.ua/kabel-sinhronizacii-dannyh-apple-usb-c-to-lightning-cable-1m-muq93.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,3
1669627507,6977951,MAGIO,Машинка для стрижки MAGIO МG-587,999,1112813,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Magio,magio,Машинка для стрижки волосся Magio MG-587,,999,1,https://comfy.ua/mashinka-dlja-strizhki-volos-magio-mg-587.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1669628077,6985199,TEFAL,Кухонная машина TEFAL QB160138,6199,2936114,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Tefal,tefal,Планетарний міксер Tefal QB160138,,6199,1,https://comfy.ua/planetarnyj-mikser-tefal-qb160138.html,7699,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1669628100,,,,,2915029,Смартфоны и телефоны >> Аксессуары для смартфонов,denmen,Мережевий зарядний пристрій Denmen DC07,,149,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-denmen-dc07.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1669630153,6983323,CANYON,Powerbank CANYON 27000mAh PB-2010 TFT PD140W Dark Grey (CNE-CPB2010DG),4599,2944890,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Canyon,canyon,Батарея мобільна Canyon PB-2010 TFT 27000mAh PD140W Dark Grey (CNE-CPB2010DG),,3699,1,https://comfy.ua/batareja-mobil-naja-canyon-pb-2010-tft-27000mah-pd140w-dark-grey-cne-cpb2010dg.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1669631341,,,,,2788034,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для планшета Armorstandart Smart Case для Samsung Tab S9/S9 FE/S10 FE/S10 Lite Black (ARM70992),,599,1,https://comfy.ua/chehol-dlja-plansheta-armorstandart-smart-case-for-samsung-galaxy-tab-s9-fe-sm-x510-x516-black-arm70992.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1669669277,7019699,LARETTI,Термопот LARETTI LR-EK3510,1699,2879642,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические LARETTI,laretti,Термопот LARETTI LR-EK3510,,1699,1,https://comfy.ua/termopot-laretti-lr-ek3510.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1669730185,6984819,GORENJE,Холодильник GORENJE RF4142PW4,11999,2945235,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Gorenje,gorenje,Холодильник Gorenje RF4142PW4,,11799,1,https://comfy.ua/holodil-nik-gorenje-rf4142pw4.html,13899,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1669730186,6990155,GORENJE,Холодильник GORENJE RF414EPS4 (HZZS21862),11599,2945236,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Gorenje,gorenje,Холодильник Gorenje RF414EPS4,,11999,1,https://comfy.ua/holodil-nik-gorenje-rf414eps4.html,14499,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
