1669764444,column,column,column,column,2917129,_________________samsung,samsung,___samsung_15w_wireless_charger_duo_with_ta_epp5400tbegeu,column,3699,1,httpscomfyuabesprovodnoezarjadnoeustrojstvosamsung5wwirelesschargerduowithtaepp5400tbegeuhtml,column,05112025_1721,column,__42,Фастів,0
1669764173,,,,,2917128,Смартфоны и телефоны >> Аксессуары для смартфонов,samsung,Бездротовий зарядний пристрій Samsung 15W Wireless Charger Duo w/o TA (EP-P5400BBEGEU),,2899,1,https://comfy.ua/besprovodnoe-zarjadnoe-ustrojstvo-samsung-15w-wireless-charger-duo-w-o-ta-ep-p5400bbegeu.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1669764444,,,,,2917129,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Samsung,samsung,Бездротовий зарядний пристрій Samsung 15W Wireless Charger Duo with TA (EP-P5400TBEGEU),,3699,1,https://comfy.ua/besprovodnoe-zarjadnoe-ustrojstvo-samsung-5w-wireless-charger-duo-with-ta-ep-p5400tbegeu.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1669766028,6985233,KONNER&SOHNEN,Газонокосилка KONNER&SOHNEN KS 32LM,2974,2918974,Инструменты и автотовары >> Садовые инструменты >> Газонокосилки >> Газонокосилки Konner&Sohnen,konnersohnen,Газонокосарка електрична Konner&Sohnen KS32LM,,3499,1,https://comfy.ua/gazonokosilka-jelektricheskaja-konner-sohnen-ks32lm.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1669766031,6902467,EINHELL,Газонокосилка EINHELL GE-HM 18/38 Li - Solo 18В (3414200),5476,2551349,Инструменты и автотовары >> Садовые инструменты >> Газонокосилки >> Газонокосилки Einhell,einhell,Газонокосарка акумуляторна Einhell GE-HM 18/38 Li - Solo (3414200),,5369,1,https://comfy.ua/gazonokosilka-akkumuljatornaja-einhell-ge-hm-18-38-li-solo-3414200.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1669767800,,,,,2855243,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",foneng,Кабель синхронізації даних Foneng X70 90-degree Angle Gaming Cable (3A) USB - Lightning 1м Black (X70-CA-DAG-IP),,149,1,https://comfy.ua/kabel-sinhronizacii-dannyh-foneng-x70-90-degree-angle-gaming-cable-3a-usb-lightning-1m-black-x70-ca-dag-ip.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1669772521,,,,,.2854276,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gmakin,"Чохол для ноутбука Gmakin for Macbook Air/Pro 13,3 Grey (GM71)",,549,1,https://comfy.ua/chehol-dlja-noutbuka-gmakin-for-macbook-air-pro-13-3-grey-gm71.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1669773385,,,,,2886714,Техника для кухни >> Мир кофе,nescafe,"Кава у капсулах Nescafe DOLCE GUSTO Cortado Espresso Macchiato 16 шт. 100,8 г",,279,1,https://comfy.ua/kofe-v-kapsulah-nescafe-dolce-gusto-cortado-espresso-macchiato-16-sht-100-8-g.html,349,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,1
1669773968,,,,,.2920350,"Аудио, фото и видео >> Аксессуары для фото, видео",samsung,Карта пам'яті Samsung PRO Plus microSDXC 128GB UHS-I U3 V30 A2 + SD адаптер (MB-MD128SA/EU),,869,1,https://comfy.ua/karta-pamjati-samsung-pro-plus-microsdxc-128gb-uhs-i-u3-v30-a2-sd-adapter-mb-md128sa-eu.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1669774814,6977924,SAMSUNG,Планшет SAMSUNG Galaxy Tab S6 Lite 2024 LTE 4/128Gb Oxford Gray (SM-P625NZAEEUC),14699,2903118,"Ноутбуки, планшеты и компьютерная техника >> Планшеты >> Планшеты все >> Планшеты все Samsung",samsung,Samsung Galaxy Tab S6 Lite LTE 4/128Gb Gray (SM-P625NZAEEUC),,14699,1,https://comfy.ua/planshet-samsung-galaxy-tab-s6-lite-lte-4-128gb-gray-sm-p625nzaeeuc.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1669775918,,,,,2937781,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer X-702L Black (W-61),,16499,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-x-702l-black-w-61.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1669776136,6984311,ACER,Ноутбук ACER Chromebook Plus с Google AI CB515-2H Steel Gray (NX.KNUEU.002),19999,2861421,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Acer >> Серия Acer Chromebook",acer,Ноутбук Acer Chromebook Plus CB515-2H (NX.KNUEU.002) Silver,,19999,1,https://comfy.ua/noutbuk-acer-chromebook-plus-cb515-2h-nx-knueu-002-silver.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1669776280,6984312,ACER,Ноутбук ACER Chromebook Plus с Google AI CB515-2H Steel Gray (NX.KNUEU.003),21999,2861422,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Acer >> Серия Acer Chromebook",acer,Ноутбук Acer Chromebook Plus CB515-2H (NX.KNUEU.003) Silver,,21999,1,https://comfy.ua/noutbuk-acer-chromebook-plus-cb515-2h-nx-knueu-003-silver.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1669777817,6983744,SATELIT,Телевизор SATELIT 32H8001ST,5199,2945247,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры SATELIT,satelit,Телевізор SATELIT 32H8001ST,,5199,1,https://comfy.ua/televizor-satelit-32h8001st.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1669777817,7082471,SATELIT,Телевизор SATELIT 32H8001T,4445,2945247,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры SATELIT,satelit,Телевізор SATELIT 32H8001ST,,5199,1,https://comfy.ua/televizor-satelit-32h8001st.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1670008166,6989682,LIEBHERR,Холодильник LIEBHERR CNsfd 7723 Plus,65749,2945249,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Liebherr,liebherr,Холодильник Liebherr CNsfd 7723,,65749,1,https://comfy.ua/holodil-nik-liebherr-cnsfd-7723.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1670628799,6902501,EINHELL,Ножницы Einhell X-Change GE-CG 18/100 Li T-Solo (3410310),3395,2562161,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Einhell,einhell,Ножиці садові Einhell GE-CG 18/100 Li T - Solo без АКБ і ЗП (3410310),,3395,1,https://comfy.ua/nozhnicy-sadovye-einhell-ge-cg-18-100-li-t-solo-bez-akb-i-zu-3410310.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1671046004,,,,,.2945491,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",poly,IP-телефон Poly Edge B20 (82M83AA),,3749,1,https://comfy.ua/ip-telefon-poly-edge-b20-82m83aa.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1671046017,,,,,.2945495,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",poly,IP-телефон Poly CCX 400 (848Z8AA),,13735,1,https://comfy.ua/ip-telefon-poly-ccx-400-848z8aa.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1671046029,,,,,.2945492,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",poly,IP-телефон Poly Edge B30 (82M84AA),,4445,1,https://comfy.ua/ip-telefon-poly-edge-b30-82m84aa.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1671046040,,,,,.2945493,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",poly,IP-телефон Poly Edge E450 (82M90AA),,13115,1,https://comfy.ua/ip-telefon-poly-edge-e450-82m90aa.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1671291214,6950969,TIANDY,IP-камера TIANDY TC-C34KN,7051,2815948,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры Tiandy",tiandy,IP-камера Tiandy TC-C34KN,,6385,1,https://comfy.ua/ip-kamera-tiandy-tc-c34kn.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1671370749,6962758,GOODRAM,Флеш-драйв GOODRAM UNO3 128GB (UNO3-1280S0R11),585,2915081,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Goodram",goodram,Флеш USB Goodram UNO3 SILVER Metal 128GB 60R/20W (UNO3-1280S0R11),,629,1,https://comfy.ua/flesh-usb-goodram-uno3-silver-metal-128gb-60r-20w-uno3-1280s0r11.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1671467341,,,,,.2690185,Инструменты и автотовары >> Расходные материалы,milwaukee,Полотно Milwaukee T344D 105 мм 5 шт. (4932311633),,455,1,https://comfy.ua/polotno-milwaukee-t344d-105-mm-5-sht-4932311633.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
1672495406,,,,,.2946937,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Корпусний вентилятор ID-Cooling AF-125-W,,239,1,https://comfy.ua/korpusnyj-ventiljator-id-cooling-af-125-w.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1672674947,,,,,2946934,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Водяна система охолодження ID-Cooling Dashflow 360 Basic White,,3349,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-id-cooling-dashflow-360-basic-white.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1672675151,,,,,2948017,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,Процесорний кулер Deepcool Assassin 4S (R-ASN4S-BKGPMN-G),,3899,1,https://comfy.ua/processornyj-kuler-deepcool-assassin-4s-r-asn4s-bkgpmn-g.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1673862808,6981506,PHILIPS,Блендер PHILIPS HR2683/00,3099,2943087,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Philips,philips,Блендер міні-комбайн Philips HR2683/00,,3099,1,https://comfy.ua/blender-mini-kombajn-philips-hr2683-00.html,3699,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1675482062,,,,,.2917929,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte H610M S2H V2 DDR5,,3499,1,https://comfy.ua/materinskaja-plata-gigabyte-h610m-s2h-v2-ddr5.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1675483344,,,,,.2834821,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",kodak,Сканер Kodak S2060W (1015114),,49635,1,https://comfy.ua/skaner-kodak-s2060w-1015114.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1675500079,,,,,.2700015,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asrock,Материнська плата ASRock B650M PRO RS,,6399,1,https://comfy.ua/materinskaja-plata-asrock-b650m-pro-rs.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1675808777,6975309,NEOR,Термосумка NEOR 6L PK (22706119),399,2902751,"Дом, отдых и зоотовары >> Отдых и путешествия >> Термосумки >> Термосумки Neor",neor,Сумка ізотермічна Neor 6L PK,,399,1,https://comfy.ua/sumka-izotermicheskaja-neor-6l-pk.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1675808825,6975308,NEOR,Термосумка NEOR 5L BL (22707031),469,2902752,"Дом, отдых и зоотовары >> Отдых и путешествия >> Термосумки >> Термосумки Neor",neor,Сумка ізотермічна Neor 5L BL,,469,1,https://comfy.ua/sumka-izotermicheskaja-neor-5l-bl.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1678069480,,,,,.2704126,Смартфоны и телефоны >> Аксессуары для смартфонов,tnb,Автотримач TnB WCh2,,515,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-tnb-wch2.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1678069488,,,,,.2704125,Смартфоны и телефоны >> Аксессуары для смартфонов,tnb,Автотримач TnB WCh,,529,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-tnb-wch.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1678069592,,,,,2929947,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Promate,promate,Автотримач Promate maghoop-av,,499,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-promate-maghoop-av.html,899,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1678069631,,,,,2929949,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Promate,promate,Автотримач Promate maghoop-hg.black,,1099,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-promate-maghoop-hg-black.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1678069658,,,,,2929948,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Promate,promate,Автотримач Promate maghoop-gn,,599,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-promate-maghoop-gn.html,1299,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1678690496,,,,,.2940711,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 82 (i514400B582),,17796,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-82-i514400b582.html,20455,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
