1680853287,column,column,column,column,2941132,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_i5_14400f_rtx_3050_8gb_nm_324_i514400frtx30508gbnm324,column,35848,1,httpscomfyuasistemnyjblokqubeqbi514400frtx30508gbnm324i514400frtx30508gbnm324html,41205,05112025_1746,column,__42,Фастів,0
1680853286,,,,,.2940312,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 8GB NM 1641Win (Ryzen75700XRTX30508GBNM1641Win),,38149,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-8gb-nm-1641win-ryzen75700xrtx30508gbnm1641win.html,43849,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1680853287,,,,,.2941132,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 8GB NM 324 (i514400FRTX30508GBNM324),,35848,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-8gb-nm-324-i514400frtx30508gbnm324.html,41205,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1680854154,,,,,.2941129,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 8GB NM 1642 (i514400FRTX30508GBNM1642),,36762,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-8gb-nm-1642-i514400frtx30508gbnm1642.html,42255,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1680857445,,,,,.2941188,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RX 6600 8GB NM 3210 (i514400FRX66008GBNM3210),,40233,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rx-6600-8gb-nm-3210-i514400frx66008gbnm3210.html,46245,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1680857454,,,,,.2941124,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 6GB NM 3242 (i514400FRTX30506GBNM3242),,38149,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-6gb-nm-3242-i514400frtx30506gbnm3242.html,43849,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1680931963,,,,,.2940326,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3060 12GB NM 3242 (Ryzen75700XRTX306012GBNM3242),,39320,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3060-12gb-nm-3242-ryzen75700xrtx306012gbnm3242.html,45195,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1680932056,,,,,.2940331,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 8GB NM 3210 (Ryzen75700XRTX40608GBNM3210),,36999,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-8gb-nm-3210-ryzen75700xrtx40608gbnm3210.html,43309,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1680932584,,,,,.2941190,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RX 6600 8GB NM 3241 (i514400FRX66008GBNM3241),,41620,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rx-6600-8gb-nm-3241-i514400frx66008gbnm3241.html,47839,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1680968252,6965332,TRUST,Гарнитура TRUST Ayda PC headset,699,2842430,"Аудио, фото и видео >> Наушники >> Наушники Trust",trust,Гарнітура дротова Trust Ayda Black (25087),,629,1,https://comfy.ua/garnitura-provodnaja-trust-ayda-black-25087.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1681024850,,,,,.2940309,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 6GB NM 3242Win (Ryzen75700XRTX30506GBNM3242Win),,40010,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-6gb-nm-3242win-ryzen75700xrtx30506gbnm3242win.html,45989,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1681024861,,,,,.2941130,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 8GB NM 3210 (i514400FRTX30508GBNM3210),,37710,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-8gb-nm-3210-i514400frtx30508gbnm3210.html,43345,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1681185959,,,,,.2940333,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 8GB NM 3241 (Ryzen75700XRTX40608GBNM3241),,41877,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-8gb-nm-3241-ryzen75700xrtx40608gbnm3241.html,48135,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1681193338,,,,,.2941191,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RX 6600 8GB NM 3242 (i514400FRX66008GBNM3242),,41877,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rx-6600-8gb-nm-3242-i514400frx66008gbnm3242.html,48135,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1681193342,,,,,.2941414,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 3050 6GB NM 1641 (i712700FRTX30506GBNM1641),,39793,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-3050-6gb-nm-1641-i712700frtx30506gbnm1641.html,45739,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1681193347,,,,,.2940324,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3060 12GB NM 32102 (Ryzen75700XRTX306012GBNM32102),,41181,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3060-12gb-nm-32102-ryzen75700xrtx306012gbnm32102.html,47335,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1681193356,,,,,.2941121,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 6GB NM 32102 (i514400FRTX30506GBNM32102),,40010,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-6gb-nm-32102-i514400frtx30506gbnm32102.html,45989,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1681193360,,,,,.2941133,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 8GB NM 3241 (i514400FRTX30508GBNM3241),,39097,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-8gb-nm-3241-i514400frtx30508gbnm3241.html,44939,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1681249190,,,,,.2940627,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RX 6600 8GB NM 3242Win (i314100FRX66008GBNM3242Win),,41877,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rx-6600-8gb-nm-3242win-i314100frx66008gbnm3242win.html,48135,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1681249191,,,,,.2940250,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RX 6600 8GB NM 32102 (Ryzen57500FRX66008GBNM32102),,45784,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rx-6600-8gb-nm-32102-ryzen57500frx66008gbnm32102.html,52625,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1681249505,,,,,.2940334,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 8GB NM 3242 (Ryzen75700XRTX40608GBNM3242),,42095,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-8gb-nm-3242-ryzen75700xrtx40608gbnm3242.html,48385,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1681311061,,,,,.2940375,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RX 6600 8GB NM 3242Win (Ryzen75700XRX66008GBNM3242Win),,43482,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rx-6600-8gb-nm-3242win-ryzen75700xrx66008gbnm3242win.html,49979,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1681311067,,,,,.2941136,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3060 12GB NM 1641 (i514400FRTX306012GBNM1641),,40706,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3060-12gb-nm-1641-i514400frtx306012gbnm1641.html,46789,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1681311069,,,,,.2941134,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 8GB NM 3242 (i514400FRTX30508GBNM3242),,39320,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-8gb-nm-3242-i514400frtx30508gbnm3242.html,45195,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1681311073,,,,,.2941426,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 3050 6GB NM 1642 (i712700FRTX30506GBNM1642),,40010,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-3050-6gb-nm-1642-i712700frtx30506gbnm1642.html,45989,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1681311077,,,,,.2940249,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RX 6600 8GB NM 321010 (Ryzen57500FRX66008GBNM321010),,46262,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rx-6600-8gb-nm-321010-ryzen57500frx66008gbnm321010.html,53175,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1681324399,,,,,.2941189,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RX 6600 8GB NM 32102 (i514400FRX66008GBNM32102),,43704,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rx-6600-8gb-nm-32102-i514400frx66008gbnm32102.html,50235,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1681325325,,,,,.2940321,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3060 12GB NM 1641Win (Ryzen75700XRTX306012GBNM1641Win),,42568,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3060-12gb-nm-1641win-ryzen75700xrtx306012gbnm1641win.html,48929,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1681325329,,,,,.2940319,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 8GB NM 3242Win (Ryzen75700XRTX30508GBNM3242Win),,40924,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-8gb-nm-3242win-ryzen75700xrtx30508gbnm3242win.html,47039,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1681325336,,,,,.2941118,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 6GB NM 1641Win (i514400FRTX30506GBNM1641Win),,41399,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-6gb-nm-1641win-i514400frtx30506gbnm1641win.html,47585,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1681327394,,,,,.2940332,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 8GB NM 32102 (Ryzen75700XRTX40608GBNM32102),,43957,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-8gb-nm-32102-ryzen75700xrtx40608gbnm32102.html,50525,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1681327399,,,,,.2941138,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3060 12GB NM 1642 (i514400FRTX306012GBNM1642),,41181,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3060-12gb-nm-1642-i514400frtx306012gbnm1642.html,47335,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1681334266,,,,,.2941131,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 8GB NM 32102 (i514400FRTX30508GBNM32102),,41181,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-8gb-nm-32102-i514400frtx30508gbnm32102.html,47335,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1681334287,,,,,.2941427,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 3050 6GB NM 3210 (i712700FRTX30506GBNM3210),,38149,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-3050-6gb-nm-3210-i712700frtx30506gbnm3210.html,43849,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1681339155,,,,,.2940344,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 Ti 8GB NM 1641 (Ryzen75700XRTX4060Ti8GBNM1641),,43957,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-ti-8gb-nm-1641-ryzen75700xrtx4060ti8gbnm1641.html,50525,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1681339164,,,,,.2941429,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 3050 6GB NM 3241 (i712700FRTX30506GBNM3241),,42312,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-3050-6gb-nm-3241-i712700frtx30506gbnm3241.html,48635,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1681368032,,,,,.2941144,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4060 8GB NM 1641 (i514400FRTX40608GBNM1641),,43482,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4060-8gb-nm-1641-i514400frtx40608gbnm1641.html,49979,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1681368037,,,,,.2941186,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RX 6600 8GB NM 1641Win (i514400FRX66008GBNM1641Win),,44870,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rx-6600-8gb-nm-1641win-i514400frx66008gbnm1641win.html,51575,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1681370146,,,,,.2941139,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3060 12GB NM 3210 (i514400FRTX306012GBNM3210),,42095,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3060-12gb-nm-3210-i514400frtx306012gbnm3210.html,48385,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1681400142,,,,,.2940346,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 Ti 8GB NM 1642 (Ryzen75700XRTX4060Ti8GBNM1642),,44178,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-ti-8gb-nm-1642-ryzen75700xrtx4060ti8gbnm1642.html,50779,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1681400150,,,,,.2940329,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 8GB NM 1641Win (Ryzen75700XRTX40608GBNM1641Win),,45091,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-8gb-nm-1641win-ryzen75700xrtx40608gbnm1641win.html,51829,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
