1686567917,column,column,column,column,2940339,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_ryzen_7_5700x_rtx_4060_ti_16gb_nm_3210_ryzen75700xrtx4060ti16gbnm3210,column,49734,1,httpscomfyuasistemnyjblokqubeqbryzen75700xrtx4060ti16gbnm3210ryzen75700xrtx4060ti16gbnm3210html,57165,05112025_1716,column,__42,Фастів,0
1686567909,,,,,.2941431,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 3050 6GB NM 3242Win (i712700FRTX30506GBNM3242Win),,48563,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-3050-6gb-nm-3242win-i712700frtx30506gbnm3242win.html,55819,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1686567917,,,,,.2940339,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 Ti 16GB NM 3210 (Ryzen75700XRTX4060Ti16GBNM3210),,49734,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-ti-16gb-nm-3210-ryzen75700xrtx4060ti16gbnm3210.html,57165,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1686567918,,,,,.2941765,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RX 6600 8GB NM 3210 (i714700FRX66008GBNM3210),,50424,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rx-6600-8gb-nm-3210-i714700frx66008gbnm3210.html,57959,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1686567919,,,,,.2941680,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 6GB NM 3242 (i714700FRTX30506GBNM3242),,48342,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-6gb-nm-3242-i714700frtx30506gbnm3242.html,55565,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1686567924,,,,,2940341,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 Ti 16GB NM 3241 (Ryzen75700XRTX4060Ti16GBNM3241),,51120,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-ti-16gb-nm-3241-ryzen75700xrtx4060ti16gbnm3241.html,58759,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1686567925,,,,,.2941438,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 4060 8GB NM 3242 (i712700FRTX40608GBNM3242),,50424,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-4060-8gb-nm-3242-i712700frtx40608gbnm3242.html,57959,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1686567931,,,,,.2941767,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RX 6600 8GB NM 3241 (i714700FRX66008GBNM3241),,51813,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rx-6600-8gb-nm-3241-i714700frx66008gbnm3241.html,59555,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1686567932,,,,,.2941449,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 3050 6GB NM 1641Win (i713700FRTX30506GBNM1641Win),,49734,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-3050-6gb-nm-1641win-i713700frtx30506gbnm1641win.html,57165,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1686567934,,,,,.2941143,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3060 12GB NM 3242Win (i514400FRTX306012GBNM3242Win),,49476,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3060-12gb-nm-3242win-i514400frtx306012gbnm3242win.html,56869,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1686567950,,,,,.2941686,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 8GB NM 3210 (i714700FRTX30508GBNM3210),,47867,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-8gb-nm-3210-i714700frtx30508gbnm3210.html,55019,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
