1686570056,column,column,column,column,2941457,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_i7_13700f_rtx_4060_8gb_nm_1641win_i713700frtx40608gbnm1641win,column,57590,1,httpscomfyuasistemnyjblokqubeqbi713700frtx40608gbnm1641wini713700frtx40608gbnm1641winhtml,66195,05112025_1742,column,__42,Фастів,0
1686570055,,,,,.2941706,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 4060 8GB NM 3242 (i714700FRTX40608GBNM3242),,56419,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-4060-8gb-nm-3242-i714700frtx40608gbnm3242.html,64849,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1686570056,,,,,.2941457,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 4060 8GB NM 1641Win (i713700FRTX40608GBNM1641Win),,57590,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-4060-8gb-nm-1641win-i713700frtx40608gbnm1641win.html,66195,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1686570726,,,,,2929971,Бытовая химия >> Средства для стирки,persil,"Гель для прання Persil Сенсітів 0,9 л, 20 циклів",,314,1,https://comfy.ua/gel-dlja-stirki-persil-sensitiv-0-9-l-20-ciklov.html,487,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1686570804,,,,,2929969,Бытовая химия >> Средства для стирки,persil,Капсули для прання Persil Диски Колор 26 шт,,386,1,https://comfy.ua/kapsuly-dlja-stirki-persil-diski-kolor-26-sht.html,685,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1686570805,,,,,2929970,Бытовая химия >> Средства для стирки,persil,Капсули для прання Persil Universal Deep Clean 44 шт,,599,1,https://comfy.ua/kapsuly-dlja-stirki-persil-universal-deep-clean-44-sht.html,1065,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,1
1686570983,,,,,2644831,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover Milanese Style for Samsung Galaxy (20mm)/Watch 5/ Watch 4 40/44mm/Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gea (707671),,399,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-milanese-style-for-samsung-galaxy-20mm-watch-5-watch-4-40-44mm-watch-42mm-watch-active-active-2-40-44mm-watch-3-41mm-gea-707671.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1686571009,,,,,.2940354,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 12GB NM 1642 (Ryzen75700XRTX407012GBNM1642),,55980,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-12gb-nm-1642-ryzen75700xrtx407012gbnm1642.html,64345,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1686571010,,,,,.2940220,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 Ti 8GB NM 64102 (Ryzen57500FRTX4060Ti8GBNM64102),,61974,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-ti-8gb-nm-64102-ryzen57500frtx4060ti8gbnm64102.html,71235,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1686571011,,,,,.2941769,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RX 6600 8GB NM 3242Win (i714700FRX66008GBNM3242Win),,57807,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rx-6600-8gb-nm-3242win-i714700frx66008gbnm3242win.html,66445,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1686571024,,,,,2572794,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов BeCover,becover,Ремінець для смарт-годинника BeCover Milanese Style for Samsung Galaxy Watch 4 Classic 42 (22mm)/46mm/Watch 46mm/Watch 3 45mm/Gear S3 Classic/Gear S3 Frontier B (707783),,399,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-milanese-style-for-samsung-galaxy-watch-4-classic-42-22mm-46mm-watch-46mm-watch-3-45mm-gear-s3-classic-gear-s3-frontier-b-707783.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
