1686586070,column,column,column,column,2945453,Техника для дома >> Климатическая техника,scandilux,__scandilux_sc07epro32,column,8999,1,httpscomfyuakondicionersplitscandiluxsc07epro32html,10999,05112025_1743,column,__42,Фастів,0
1686586065,7119371,MOJI POPS,acc/child MOJI POPS Набір фігурок S2 – ДРУЗІ (2 фігурки),49,2933900,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Moji Pops,moji-pops,Набір ігрових фігурок Moji Pops S2 – ДРУЗІ (2 фігурки) (PMP2D818IN00),,49,1,https://comfy.ua/nabor-igrovyh-figurok-moji-pops-s2-druz-ja-2-figurki-pmp2d818in00.html,79,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1686586070,,,,,2945453,Техника для дома >> Климатическая техника,scandilux,Кондиціонер спліт Scandilux SC07E-Pro32,,8999,1,https://comfy.ua/kondicioner-split-scandilux-sc07e-pro32.html,10999,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1686586217,,,,,2901862,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",mijia,Подовжувач 220В Mijia Power Strip White (CXB6-1QM China Edition),,299,1,https://comfy.ua/udlinitel-220v-mijia-power-strip-white-cxb6-1qm-china-edition.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1686586249,,,,,2944647,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Polly Pocket,polly-pocket,"""Колекційна лялька набір Polly Pocket Набір """"Стильний гардероб модниці"""" (в ас.) (HKV88)""",,749,1,https://comfy.ua/kollekcionnaja-kukla-nabor-polly-pocket-nabor-stil-nyj-garderob-modnicy-v-as-hkv88.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
1686586309,,,,,2929973,Бытовая химия >> Средства для стирки,perwoll,Засіб для делікатного прання Perwoll Відновлення та Аромат 3 л,,499,1,https://comfy.ua/sredstvo-dlja-delikatnoj-stirki-perwoll-vosstanovlenie-i-aromat-3-l.html,888,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1686586358,,,,,.2886600,"Детские товары >> Уход, купание и гигиена",keeeper,Горщик дитячий Keeeper Little Duck Pink (1834.1),,201,1,https://comfy.ua/gorshok-detskij-keeeper-little-duck-pink-1834-1.html,245,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1686586359,,,,,.2886601,"Детские товары >> Уход, купание и гигиена",keeeper,Горщик дитячий Keeeper Little Duck Blue (1834.2),,255,1,https://comfy.ua/gorshok-detskij-keeeper-little-duck-blue-1834-2.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1686586376,,,,,.2886603,"Детские товары >> Уход, купание и гигиена",keeeper,Горщик дитячий Keeeper Peppa the pig (18670),,559,1,https://comfy.ua/gorshok-detskij-keeeper-peppa-the-pig-18670.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1686586377,,,,,.2887020,"Детские товары >> Уход, купание и гигиена",keeeper,Горщик дитячий Keeeper Hippo (8648),,485,1,https://comfy.ua/gorshok-detskij-keeeper-hippo-8648.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1686586378,,,,,.2891618,"Детские товары >> Уход, купание и гигиена",keeeper,Горщик дитячий Keeeper Winni the Pooh (0026),,569,1,https://comfy.ua/gorshok-detskij-keeeper-winni-the-pooh-0026.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1686586380,,,,,2891637,"Детские товары >> Уход, купание и гигиена",keeeper,Горщик дитячий Keeeper Deluxe Mickey (8652),,569,1,https://comfy.ua/gorshok-detskij-keeeper-deluxe-mickey-8652.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1686586381,,,,,.2891638,"Детские товары >> Уход, купание и гигиена",keeeper,Горщик дитячий Keeeper Deluxe Сагѕ (8674),,569,1,https://comfy.ua/gorshok-detskij-keeeper-deluxe-sag-8674.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1686586382,,,,,.2891639,"Детские товары >> Уход, купание и гигиена",keeeper,Горщик дитячий Keeeper Deluxe Funny Farm (8722),,485,1,https://comfy.ua/gorshok-detskij-keeeper-deluxe-funny-farm-8722.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1686586383,,,,,.2887016,"Детские товары >> Уход, купание и гигиена",keeeper,Дитяча накладка на унітаз класична Keeeper Little Duck Pink (8017.1),,229,1,https://comfy.ua/detskaja-nakladka-na-unitaz-klassicheskaja-keeeper-little-duck-pink-8017-1.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1686586384,,,,,.2887017,"Детские товары >> Уход, купание и гигиена",keeeper,Дитяча накладка на унітаз класична Keeeper Little Duck Blue (8017.2),,229,1,https://comfy.ua/detskaja-nakladka-na-unitaz-klassicheskaja-keeeper-little-duck-blue-8017-2.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1686586385,,,,,.2887025,"Детские товары >> Уход, купание и гигиена",keeeper,Дитяча накладка на унітаз класична Keeeper Funny Farm (8723),,353,1,https://comfy.ua/detskaja-nakladka-na-unitaz-klassicheskaja-keeeper-funny-farm-8723.html,405,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
