1687034004,6981289,franke,_franke_orbit_chromeonyx_1150623057,6125,1858360,______________franke,franke,__franke_orbit_pull_out__1150623057,column,5625,1,httpscomfyuasmesitelkuhonnyjfrankeorbitpullouthromoniks1150623057hromonikshtml,column,05112025_1953,column,__42,Фастів,0
1687033962,6981286,FRANKE,Смеситель FRANKE Lina Gray Stone (115.0626.022),3509,1811275,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Franke",franke,Кухонний змішувач Franke Lina (115.0626.022),,3509,1,https://comfy.ua/smesitel-kuhonnyj-franke-lina-115-0626-022.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1687034004,6981289,FRANKE,Смеситель FRANKE Orbit Chrome-Onyx (115.0623.057),6125,1858360,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Franke",franke,Кухонний змішувач Franke Orbit Pull Out Хром-Онікс (115.0623.057),,5625,1,https://comfy.ua/smesitel-kuhonnyj-franke-orbit-pull-out-hrom-oniks-115-0623-057-hrom-oniks.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1687034044,6981293,FRANKE,Мойка FRANKE Sirius SID 110-50 White (125.0395.608),8145,2540649,Дом и отдых >> Сантехника >> Мойки кухонные >> Мойки кухонные Franke,franke,Мийка кухонна Franke Sirius SID 110-50 (125.0395.608),,8145,1,https://comfy.ua/mojka-kuhonnaja-franke-sirius-sid-110-50-125-0395-608.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1687034063,6981296,FRANKE,Мойка FRANKE Aton ANX 110-48 (122.0204.649),7379,2090687,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Franke",franke,Мийка кухонна Franke Aton ANX 110-48 (122.0204.649),,7379,1,https://comfy.ua/mojka-kuhonnaja-franke-aton-anx-110-48-122-0204-649.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1687034072,,,,,.2890942,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Перехідник Armorstandart OTG Type-C to USB-A Space Grey (ARM69356),,219,1,https://comfy.ua/perehodnik-armorstandart-otg-type-c-to-usb-a-space-grey-arm69356.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1687034188,6981299,FRANKE,Мойка FRANKE Basis BFG 611-62 Gray Stone (114.0565.090),7055,2251400,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Franke",franke,Мийка кухонна Franke Basis BFG 611-62 Сірий камінь (114.0565.090),,7055,1,https://comfy.ua/mojka-kuhonnaja-franke-basis-bfg-611-62-seryj-kamen-114-0565-090.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1687034190,6981301,FRANKE,Мойка FRANKE Basis BFG 611-78 Almond (114.0306.793),8281,2251392,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Franke",franke,Мийка кухонна Franke Basis BFG 611-78 Мигдаль (114.0306.793),,8549,1,https://comfy.ua/mojka-kuhonnaja-franke-basis-bfg-611-78-mindal-114-0306-793.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1687034204,6981302,FRANKE,Мойка FRANKE Basis BFG 611-78 Sahara (114.0258.031),8279,2090685,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Franke",franke,Мийка кухонна Franke Basis BFG 611-78 (114.0258.031),,8279,1,https://comfy.ua/mojka-kuhonnaja-franke-basis-bfg-611-78-114-0258-031.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1687034228,6981303,FRANKE,Мойка FRANKE Centro CNG 611-62 TL Gray Stone (114.0630.453),8775,1855441,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Franke",franke,Мийка кухонна Franke Centro CNG 611-62 TL Сірий Камінь (114.0630.453),,8775,1,https://comfy.ua/mojka-kuhonnaja-franke-centro-cng-611-62-tl-seryj-kamen-114-0630-453.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1687034252,6981305,FRANKE,Мойка FRANKE Centro CNG 611-78 TL Onyx (114.0630.471),10079,2169696,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Franke",franke,Мийка кухонна Franke Centro CNG 611-78 TL Онікс (114.0630.471),,10079,1,https://comfy.ua/mojka-kuhonnaja-franke-centro-cng-611-78-tl-oniks-114-0630-471.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
