1687694108,column,column,column,column,2940353,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_ryzen_7_5700x_rtx_4070_12gb_nm_1641win_ryzen75700xrtx407012gbnm1641win,column,61534,1,httpscomfyuasistemnyjblokqubeqbryzen75700xrtx407012gbnm1641winryzen75700xrtx407012gbnm1641winhtml,70729,05112025_1742,column,__42,Фастів,0
1687694107,,,,,.2929250,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 Ti 16GB NM 64102 (Ryzen57500FRTX4060Ti16GBNM64102),,66359,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-ti-16gb-nm-64102-ryzen57500frtx4060ti16gbnm64102.html,76275,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1687694108,,,,,.2940353,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 12GB NM 1641Win (Ryzen75700XRTX407012GBNM1641Win),,61534,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-12gb-nm-1641win-ryzen75700xrtx407012gbnm1641win.html,70729,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1687694109,,,,,.2940362,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 SUPER 12GB NM 1642 (Ryzen75700XRTX4070S12GBNM1642),,58503,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-super-12gb-nm-1642-ryzen75700xrtx4070s12gbnm1642.html,67245,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1687694125,,,,,.2940267,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 Ti 16GB NM 321010 (Ryzen57600XRTX4060Ti16GBNM321010),,62923,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-ti-16gb-nm-321010-ryzen57600xrtx4060ti16gbnm321010.html,72325,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1687694553,,,,,.2929249,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 Ti 16GB NM 641010 (Ryzen57500FRTX4060Ti16GBNM641010),,67050,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-ti-16gb-nm-641010-ryzen57500frtx4060ti16gbnm641010.html,77069,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1687694554,,,,,.2940222,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4070 12GB NM 3210 (Ryzen57500FRTX407012GBNM3210),,60838,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4070-12gb-nm-3210-ryzen57500frtx407012gbnm3210.html,69929,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1687694555,,,,,.2941707,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 4060 8GB NM 3242Win (i714700FRTX40608GBNM3242Win),,62448,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-4060-8gb-nm-3242win-i714700frtx40608gbnm3242win.html,71779,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1687695079,,,,,.2940225,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4070 12GB NM 3242 (Ryzen57500FRTX407012GBNM3242),,62448,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4070-12gb-nm-3242-ryzen57500frtx407012gbnm3242.html,71779,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1687695080,,,,,.2940221,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 Ti 8GB NM 64102Win (Ryzen57500FRTX4060Ti8GBNM64102Win),,67746,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-ti-8gb-nm-64102win-ryzen57500frtx4060ti8gbnm64102win.html,77869,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1687695081,,,,,.2941632,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700KF RTX 4060 8GB W1 3210 (i713700KFRTX40608GBW13210),,64275,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700kf-rtx-4060-8gb-w1-3210-i713700kfrtx40608gbw13210.html,73879,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1687695083,,,,,.2941175,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 12GB N 3242 (i514400FRTX407012GBN3242),,60147,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-12gb-n-3242-i514400frtx407012gbn3242.html,69135,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1687695085,,,,,.2940265,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 8GB NM 64102Win (Ryzen57600XRTX40608GBNM64102Win),,65919,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-8gb-nm-64102win-ryzen57600xrtx40608gbnm64102win.html,75769,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1687695093,,,,,.2940394,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7700X RTX 4060 8GB W1 32102 (Ryzen77700XRTX40608GBW132102),,63361,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7700x-rtx-4060-8gb-w1-32102-ryzen77700xrtx40608gbw132102.html,72829,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1687695099,,,,,.2940363,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 SUPER 12GB NM 3210 (Ryzen75700XRTX4070S12GBNM3210),,59669,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-super-12gb-nm-3210-ryzen75700xrtx4070s12gbnm3210.html,68585,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1687696485,,,,,.2924864,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 13400F RTX 4070 SUPER 12GB NM 1641 (i513400FRTX4070S12GBNM1641),,60365,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-13400f-rtx-4070-super-12gb-nm-1641-i513400frtx4070s12gbnm1641.html,69385,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1687696487,,,,,.2940435,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7800X3D RTX 4060 8GB W1 3210 (Ryzen77800X3DRTX40608GBW13210),,62227,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7800x3d-rtx-4060-8gb-w1-3210-ryzen77800x3drtx40608gbw13210.html,71525,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1687696488,,,,,.2940393,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7700X RTX 4060 8GB W1 321010 (Ryzen77700XRTX40608GBW1321010),,63836,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7700x-rtx-4060-8gb-w1-321010-ryzen77700xrtx40608gbw1321010.html,73375,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1687696489,,,,,.2940365,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 SUPER 12GB NM 3241 (Ryzen75700XRTX4070S12GBNM3241),,60838,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-super-12gb-nm-3241-ryzen75700xrtx4070s12gbnm3241.html,69929,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1687696490,,,,,.2940438,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7800X3D RTX 4060 8GB W1 3242 (Ryzen77800X3DRTX40608GBW13242),,63836,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7800x3d-rtx-4060-8gb-w1-3242-ryzen77800x3drtx40608gbw13242.html,73375,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1687696491,,,,,.2941173,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 12GB N 32102 (i514400FRTX407012GBN32102),,61974,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-12gb-n-32102-i514400frtx407012gbn32102.html,71235,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1687696906,,,,,.2825960,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus TUF GAMING A520M-PLUS II DDR4,,3149,1,https://comfy.ua/materinskaja-plata-asus-tuf-gaming-a520m-plus-ii-ddr4.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1687697423,,,,,.2924866,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 13400F RTX 4070 SUPER 12GB NM 1642 (i513400FRTX4070S12GBNM1642),,60582,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-13400f-rtx-4070-super-12gb-nm-1642-i513400frtx4070s12gbnm1642.html,69635,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1687698150,,,,,.2940366,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 SUPER 12GB NM 3242 (Ryzen75700XRTX4070S12GBNM3242),,61061,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-super-12gb-nm-3242-ryzen75700xrtx4070s12gbnm3242.html,70185,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1687698151,,,,,.2941177,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 SUPER 12GB N 1641 (i514400FRTX4070S12GBN1641),,59890,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-super-12gb-n-1641-i514400frtx4070s12gbn1641.html,68839,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1687698173,,,,,.2940271,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 Ti 16GB NM 6410 (Ryzen57600XRTX4060Ti16GBNM6410),,65919,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-ti-16gb-nm-6410-ryzen57600xrtx4060ti16gbnm6410.html,75769,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
