1687800824,column,column,column,column,2876879,_____________armorstandart,armorstandart,___armorstandart_for_xiaomi_mi_band_765_new_style_pink_punch_arm75066,column,299,1,httpscomfyuaremeshokdljafitnesbrasletaarmorstandartforxiaomimiband765newstylepinkpuncharm75066html,column,05112025_1835,column,__42,Фастів,0
1687800822,,,,,2876878,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 7/6/5 New Style Floral (ARM75059),,299,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-7-6-5-new-style-floral-arm75059.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1687800824,,,,,2876879,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 7/6/5 New Style Pink Punch (ARM75066),,299,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-7-6-5-new-style-pink-punch-arm75066.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1687803902,,,,,2588419,Инструменты и автотовары >> Садовые инструменты >> Садовые пылесосы >> Садовые пылесосы Einhell,einhell,"Повітродувка акумуляторна Einhell GE-UB 18/250 Li E - Solo, PXC (3433542)",,2285,1,https://comfy.ua/sadovyj-pylesos-einhell-ge-ub-18-250-li-e-solo-pxc-3433542.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1687808606,,,,,2889457,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели BabyOno,babyono,Прорізувач BabyOno Апельсинчик (499/01),,275,1,https://comfy.ua/prorezyvatel-babyono-apel-sinchik-499-01.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1687808609,7066692,FROSCH,Чистящее средство Frosch Лимон 750 мл (4001499142420),150,2767890,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Frosch,frosch,Засіб для чищення унітазу Frosch Лимон 750мл,,102,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-frosch-limon-750ml.html,176,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1687808610,,,,,2767889,Бытовая химия >> Все для уборки,frosch,Засіб для чищення унітазу Frosch Лаванда 750мл,,105,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-frosch-lavanda-750ml.html,176,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1687809336,,,,,2920373,Техника для кухни >> Системы и фильтры для воды >> Фильтры-кувшины >> Фильтры-кувшины Brita,brita,Фільтр-глечик Brita Marella MXpro White,,1099,1,https://comfy.ua/fil-tr-kuvshin-brita-marella-mxpro-white.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1687809338,,,,,2920378,Техника для кухни >> Системы и фильтры для воды,brita,Фільтр-глечик Brita Aluna MXpro White,,899,1,https://comfy.ua/fil-tr-kuvshin-brita-aluna-mxpro-white.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,1
1687809339,,,,,.2920379,Техника для кухни >> Системы и фильтры для воды,brita,Фільтр-глечик Brita Style XL LED Mxpro Gray,,1869,1,https://comfy.ua/fil-tr-kuvshin-brita-style-xl-led-mxpro-gray.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1687809358,,,,,2954128,Comfy KIDS >> Кормление >> Стульчики для кормления >> Стульчики для кормления Kinderkraft,kinderkraft,Стільчик для годування класичний Kinderkraft Tummie Grey (KHTUMM00GRY0000),,5190,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-kinderkraft-tummie-grey-khtumm00gry0000.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
