1688205526,6980805,jbl,__jbl_partybox_club_120_jblpbclub120ep,16999,2965426,____________jbl,jbl,__jbl_partybox_club_120_jblpbclub120ep,column,16999,1,httpscomfyuaakusticheskajasistemajblpartyboxclub120jblpbclub120ephtml,column,05112025_1811,column,__42,Фастів,0
1688202695,6987225,HIFUTURE,Гарнитура HIFUTURE fusion.black,1199,2961028,"Аудио, фото и видео >> Наушники >> Наушники HiFuture",hifuture,Навушники вкладиші бездротові TWS HiFuture fusion.black,,1199,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-hifuture-fusion-black.html,2599,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1688205526,6980805,JBL,Портативная акустика JBL PartyBox Club 120 (JBLPBCLUB120EP),16999,2965426,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Акустична система JBL PartyBox Club 120 (JBLPBCLUB120EP),,16999,1,https://comfy.ua/akusticheskaja-sistema-jbl-partybox-club-120-jblpbclub120ep.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1688224418,,,,,.2958120,Техника для кухни >> Мелкая техника,grunhelm,Блендер заглибний Grunhelm EBS-819BEP,,1439,1,https://comfy.ua/blender-mini-kombajn-grunhelm-ebs-819bep.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1688224419,,,,,.2958121,Техника для кухни >> Мелкая техника,grunhelm,Блендер заглибний Grunhelm EBS-819MIP,,1439,1,https://comfy.ua/blender-mini-kombajn-grunhelm-ebs-819mip.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1688232627,6995646,XIAOMI,Электробритва XIAOMI Blackstone 8 5W 500mAh Black,499,2958902,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Enchen,enchen,Бритва Enchen Blackstone 8 Black,,499,1,https://comfy.ua/britva-enchen-blackstone-8-black.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1688232630,,,,,.2958904,Красота и здоровье >> Уход за лицом,enchen,Бритва Enchen X8S-C Black,,999,1,https://comfy.ua/britva-enchen-x8s-c-black.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1688232632,6977463,SHOWSEE,Электробритва SHOWSEE F201-W,721,2959023,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы ShowSee,showsee,Бритва ShowSee F201-W,,509,1,https://comfy.ua/britva-showsee-f201-w.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1688253920,,,,,2900488,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",apple,Кабель синхронізації даних Apple Lightning to USB Cable (1.0 m) (MUQW3),,1099,1,https://comfy.ua/kabel-sinhronizacii-dannyh-apple-lightning-to-usb-cable-1-0-m-muqw3.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1688257106,,,,,.2955691,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,"""Чохол для ноутбуку Trust Lisboa 16"""" Laptop sleeve - Black (25248)""",,699,1,https://comfy.ua/chehol-dlja-noutbuka-trust-lisboa-16-laptop-sleeve-black-25248.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1688257375,,,,,2955692,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков Trust",trust,Сумка для ноутбуку Trust Bologna Bag & Mouse Set - Black (24988),,999,1,https://comfy.ua/sumka-dlja-noutbuka-trust-bologna-bag-mouse-set-black-24988.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1688257376,,,,,2955693,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Сумка для ноутбуку Trust Bologna Bag & Mouse Set - Green (24989),,999,1,https://comfy.ua/sumka-dlja-noutbuka-trust-bologna-bag-mouse-set-green-24989.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1688257377,,,,,2955694,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков Trust",trust,"""Сумка для ноутбуку Trust Lisboa 16"""" laptop carry bag - Black (25246)""",,1299,1,https://comfy.ua/sumka-dlja-noutbuka-trust-lisboa-16-laptop-carry-bag-black-25246.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1688257599,,,,,2955696,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,"""Рюкзак для ноутбуку Trust Lisboa 16"""" Backpack - Black (25244)""",,1899,1,https://comfy.ua/rjukzak-dlja-noutbuka-trust-lisboa-16-backpack-black-25244.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
