1688428464,column,column,column,column,2956968,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,___xo_qc_30_xo_l85_18w1usb__microusb_white_xol85mwh,column,109,1,httpscomfyuasetevoezarjadnoeustrojstvoxoqc30xol8518w1usbmicrousbwhitexol85mwhhtml,column,05112025_1903,column,__42,Фастів,0
1688428463,,,,,2956947,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,"Автомобільний зарядний пристрій XO + кабель Lightning CC48 Smart Metal 2USB, 2.4A Grey (XO-CC48i-GR)",,99,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xo-kabel-lightning-cc48-smart-metal-2usb-2-4a-grey-xo-cc48i-gr.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1688428464,,,,,2956968,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Мережевий зарядний пристрій XO QC 3.0 XO L85 18W/1USB + microUSB White (XO-L85m-WH),,109,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xo-qc-3-0-xo-l85-18w-1usb-microusb-white-xo-l85m-wh.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1688428541,,,,,2956965,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Мережевий зарядний пристрій XO QC 3.0 XO L72 30W (18W/1USB + 2.4A/2 USB) + кабель Lightning White (XO-L72i-WH),,199,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xo-qc-3-0-xo-l72-30w-18w-1usb-2-4a-2-usb-kabel-lightning-white-xo-l72i-wh.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1688428598,6986161,XO,"Переходник XO Adapter EU-US-UK 1 розетка 2,4А Black (XO-WL-01-BK)",299,2956998,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов XO,xo,Мережевий зарядний пристрій XO WL-01 EU-US-UK Black (XO-WL-01-BK),,299,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xo-wl-01-eu-us-uk-black-xo-wl-01-bk.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1688428600,,,,,.2956960,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Мережевий зарядний пристрій XO QC 3.0 XO L102 35W/2 USB-C + кабель Lightning NB113 White (XO-L102i-WH),,199,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xo-qc-3-0-xo-l102-35w-2-usb-c-kabel-lightning-nb113-white-xo-l102i-wh.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1688428601,,,,,2956945,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Автомобільний зарядний пристрій XO CC45 1 USB QC 3.0 + 2 Type-C PD (60W) Black (XO-CC45-BK),,249,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xo-cc45-1-usb-qc-3-0-2-type-c-pd-60w-black-xo-cc45-bk.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1688525607,7018952,KYVOL,Робот-пылесос KYVOL Cybovac L30,10799,2966771,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Kyvol,kyvol,Робот-пилосос миючий Kyvol Cybovac L30,,10799,1,https://comfy.ua/robot-pylesos-mojuschij-kyvol-cybovac-l30.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1688559941,,,,,2908219,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Samsung,samsung,Мережевий зарядний пристрій Samsung Trio 65W 2 Type-C+USB Black (EP-T6530NBEGEU),,2449,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-samsung-trio-65w-2-type-c-usb-black-ep-t6530nbegeu.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1688564712,6981175,SAMSUNG,Смартфон SAMSUNG Galaxy XCover7 6/128Gb SM-G556B ZKD Black (SM-G556BZKDEUC),13999,2949342,Смартфоны и телефоны >> Смартфоны >> Смартфоны Samsung >> Серия Samsung Galaxy Xcover7,samsung,Смартфон Samsung Galaxy Xcover7 6/128Gb 5G Black (SM-G556BZKDEUC),,13999,1,https://comfy.ua/smartfon-samsung-galaxy-xcover7-6-128gb-5g-black-sm-g556bzkdeuc.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1688565678,,,,,.2903029,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,"Кардрідер PowerPlant CF, SD, TF, MS, XD (CA913824)",,899,1,https://comfy.ua/kardrider-powerplant-cf-sd-tf-ms-xd-ca913824.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
