1688758047,column,column,column,column,2964430,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,__powerplant_hdd_25_usb31_hc380473,column,499,1,httpscomfyuavneshnijkarmanpowerplanthdd25usb31hc380473html,column,05112025_1737,column,__42,Фастів,0
1688758046,,,,,2964425,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,Зовнішній карман PowerPlant HDD 2.5 USB3.0 (HC380213),,299,1,https://comfy.ua/vneshnij-karman-powerplant-hdd-2-5-usb3-0-hc380213.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1688758047,,,,,2964430,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,Зовнішній карман PowerPlant HDD 2.5 USB3.1 (HC380473),,499,1,https://comfy.ua/vneshnij-karman-powerplant-hdd-2-5-usb3-1-hc380473.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1688758048,,,,,2964424,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,"Зовнішній карман PowerPlant HDD 2.5 USB3.0, 6.5 см (HC380015)",,399,1,https://comfy.ua/vneshnij-karman-powerplant-hdd-2-5-usb3-0-6-5-sm-hc380015.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1688758049,,,,,2964431,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,Зовнішній карман PowerPlant HDD 2.5 USB3.1 (HC380497),,399,1,https://comfy.ua/vneshnij-karman-powerplant-hdd-2-5-usb3-1-hc380497.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1688758050,,,,,2964426,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,Зовнішній карман PowerPlant HDD 2.5 USB3.1 (HC380299),,599,1,https://comfy.ua/vneshnij-karman-powerplant-hdd-2-5-usb3-1-hc380299.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1688758053,,,,,2964428,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,Зовнішній карман PowerPlant SSD M.2 PCIe NVMe USB3.1 (HC380428),,899,1,https://comfy.ua/vneshnij-karman-powerplant-ssd-m-2-pcie-nvme-usb3-1-hc380428.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1688758055,,,,,.2964421,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,Зовнішній карман Orico 2588US3-V1-BK-BP (HC380374),,799,1,https://comfy.ua/vneshnij-karman-orico-2588us3-v1-bk-bp-hc380374.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1688758058,,,,,2964429,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,Зовнішній карман PowerPlant SSD Premium M.2 PCIe NGFF/NVMe USB3.1 (HC380459),,1199,1,https://comfy.ua/vneshnij-karman-powerplant-ssd-premium-m-2-pcie-ngff-nvme-usb3-1-hc380459.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1688758059,,,,,2964423,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,Зовнішній карман Orico SSD USB3.2 Gen2 USB-C M.2 NVMe/NGFF(SATA) (HC380503),,1799,1,https://comfy.ua/vneshnij-karman-orico-ssd-usb3-2-gen2-usb-c-m-2-nvme-ngff-sata-hc380503.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1688760860,,,,,.1972529,Инструменты и автотовары >> Ручные инструменты,irwin,Викрутка IRWIN 98 24 01,,419,1,https://comfy.ua/otvertka-irwin-98-24-01.html,,05.11.2025 22:42,,"вул. Соборна, 42",Фастів,0
