1689063053,column,column,column,column,2957409,______________funko,funko,__funko_pop_____72192,column,499,1,httpscomfyuakollekcionnajafigurkafunkopopseriipokemonsobbl72192html,column,05112025_2358,column,__42,Фастів,0
1689060320,,,,,2842441,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Haisser,haisser,Набір комбінованих ключів Haisser Cold Stamped 20 шт. (48481),,2679,1,https://comfy.ua/nabor-kombinirovannyh-kljuchej-haisser-cold-stamped-20-sht-48481.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1689063053,,,,,2957409,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! серії Покемон – СОББЛ (72192),,499,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-serii-pokemon-sobbl-72192.html,,05.11.2025 23:58,,"вул. Соборна, 42",Фастів,0
1689063242,6937045,SHARP,Мультипечь SHARP AF-GS404AE-B,2499,2966722,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили Sharp,sharp,Мультипіч Sharp AF-GS404AE-B,,2499,1,https://comfy.ua/mul-tipech-sharp-af-gs404ae-b.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1689063440,,,,,.2842439,Инструменты и автотовары >> Расходные материалы,haisser,Органайзер для інструментів Haisser Nun 30 (90083),,185,1,https://comfy.ua/organajzer-dlja-instrumentov-haisser-nun-30-90083.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1689063488,6972673,KRAUFF,Доска разделочная KRAUFF 25 х 15 х 0.6 мм Бежевый (29-305-103),209,2894228,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Krauff,krauff,"Дошка обробна Krauff 25х15х0,6 см (29-305-103)",,209,1,https://comfy.ua/razdelochnaja-doska-krauff-25h15h0-6-sm-29-305-103.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1689063514,6937046,SHARP,Мультипечь SHARP AF-GS552AE-B,4499,2966723,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили Sharp,sharp,Мультипіч Sharp AF-GS552AE-B,,4499,1,https://comfy.ua/mul-tipech-sharp-af-gs552ae-b.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1689063515,6980122,SHARP,Мультипечь SHARP AF-GD82AE-B,7999,2966721,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили Sharp,sharp,Мультипіч Sharp AF-GD82AE-B,,7999,1,https://comfy.ua/mul-tipech-sharp-af-gd82ae-b.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1689063516,,,,,2960314,Техника для кухни >> Мелкая техника,wmf,Мультипіч WMF Multi Taste 415570011,,8999,1,https://comfy.ua/mul-tipech-wmf-multi-taste-415570011.html,14999,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1689063856,6987607,EINHELL,Сумка EINHELL Einhell Bag 56/29 (4530078),1799,2904210,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Einhell,einhell,Сумка для інструментів Einhell Bag 56/29 (4530078),,1799,1,https://comfy.ua/sumka-dlja-instrumentov-einhell-bag-56-29-4530078.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1689064583,,,,,.2968116,Детские товары >> Игрушки,xoko,Настільна гра (до 2 років) XOKO Великий набір аквапазлів (XK-EVA-BIG),,155,1,https://comfy.ua/nabor-igrovyh-figurok-xoko-bol-shoj-nabor-akvapazlov-xk-eva-big.html,,05.11.2025 23:33,,"вул. Соборна, 42",Фастів,0
