1689101299,column,column,column,column,2541273,______________fiskars,fiskars,_fiskars_quikfit_1000680,column,549,1,httpscomfyuarazryhlitelfiskarsquikfit1000680html,column,05112025_2117,column,__42,Фастів,0
1689100515,6948894,GORENJE,Микроволновая печь GORENJE MO20A3BH (M20XYZ),3599,2966194,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Gorenje,gorenje,Мікрохвильова піч (НВЧ) Gorenje MO 20 A3BH,,3699,1,https://comfy.ua/mikrovolnovaja-pech-svch-gorenje-mo-20-a3bh.html,4679,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1689101299,,,,,2541273,"Инструменты и автотовары >> Садовые инструменты >> Лопаты, грабли, вилы >> Лопаты, грабли, вилы Fiskars",fiskars,Розпушувач Fiskars QuikFit (1000680),,549,1,https://comfy.ua/razryhlitel-fiskars-quikfit-1000680.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
1689102048,,,,,.2571179,Инструменты и автотовары >> Электроинструменты,ronix,З/П до акумуляторної батареї для електроінструментів Ronix 20В 2.2А (8992),,499,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-ronix-20v-2-2a-8992.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1689102049,,,,,.2571184,Инструменты и автотовары >> Электроинструменты,ronix,З/П до акумуляторної батареї для електроінструментів Ronix 20В 4.5А (8993),,799,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-ronix-20v-4-5a-8993.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1689102050,,,,,.2571180,Инструменты и автотовары >> Электроинструменты,ronix,З/П до акумуляторної батареї для електроінструментів Ronix 20В 2.2Аx2 (8994),,699,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-ronix-20v-2-2ax2-8994.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1689102051,,,,,.2687942,Инструменты и автотовары >> Электроинструменты,powerplant,З/П до акумуляторної батареї для електроінструментів PowerPlant Bosch 7.2V-18V 1.5A (BH1218),,1299,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-powerplant-bosch-7-2v-18v-1-5a-bh1218.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1689102052,,,,,2571193,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Ronix,ronix,Акумулятор для електроінструментів Ronix 2Ач (8990),,1199,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-ronix-2ach-8990.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1689102053,,,,,.2687940,Инструменты и автотовары >> Электроинструменты,powerplant,З/П до акумуляторної батареї для електроінструментів PowerPlant AEG 18V 2.0Ah (R86091H),,1199,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-powerplant-aeg-18v-2-0ah-r86091h.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1689102054,,,,,.2687939,Инструменты и автотовары >> Электроинструменты,powerplant,З/П до акумуляторної батареї для електроінструментів PowerPlant Bosch 14.4-18V 2A (1830CHA),,1299,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-powerplant-bosch-14-4-18v-2a-1830cha.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1689102055,,,,,.2687941,Инструменты и автотовары >> Электроинструменты,powerplant,З/П до акумуляторної батареї для електроінструментів PowerPlant Dewalt 9.6V-18V 2.0A (DC9310),,1499,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-powerplant-dewalt-9-6v-18v-2-0a-dc9310.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
