1689106223,column,column,column,column,2955635,______________strateg,strateg,__57__strateg______30386,column,135,1,httpscomfyuanastolnajaigrakartochnaja57letstrategkokomolokorazvlekatelnoenaukrainskomjazyke30386html,column,05112025_2309,column,__42,Фастів,0
1689106222,,,,,2955634,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Муха-повторюха розважальна українською мовою (30380),,50,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-strateg-muha-povtorjuha-razvlekatel-naja-na-ukrainskom-jazyke-30380.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1689106223,,,,,2955635,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Ко-ко Молоко розважальна українською мовою (30386),,135,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-strateg-ko-ko-moloko-razvlekatel-noe-na-ukrainskom-jazyke-30386.html,,05.11.2025 23:09,,"вул. Соборна, 42",Фастів,0
1689106225,7057034,STRATEG,Настольная игра STRATEG Кресло босса (30387),120,2955637,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (8 +) Strateg Крісло боса українською мовою (30387),,195,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-8-strateg-kreslo-bossa-razvlekatel-noe-na-ukrainskom-jazyke-30387.html,,05.11.2025 23:09,,"вул. Соборна, 42",Фастів,0
1689106226,7057068,STRATEG,Настольная игра STRATEG Моя ферма (30435),189,2955638,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (8 +) Strateg Моя ферма українською мовою (30435),,189,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-8-strateg-moja-ferma-razvlekatel-naja-na-ukrainskom-jazyke-30435.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1689106228,7057067,STRATEG,Настольная игра STRATEG Три в ряд (30784),111,2955640,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (8 +) Strateg Три в ряд українською мовою (30784),,179,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-8-strateg-tri-v-rjad-na-ukrainskom-jazyke-30784.html,,05.11.2025 22:39,,"вул. Соборна, 42",Фастів,0
1689106229,7045351,STRATEG,Настольная игра STRATEG Stolen Crown (30811),299,2955641,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (8 +) Strateg Stolen Crown українською мовою (30811),,365,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-8-strateg-stolen-crown-na-ukrainskom-jazyke-30811.html,,05.11.2025 22:39,,"вул. Соборна, 42",Фастів,0
1689106230,,,,,2955642,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Music Emoji українською мовою (30249),,78,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-12-strateg-music-emoji-razvlekatel-naja-na-ukrainskom-jazyke-30249.html,,05.11.2025 22:52,,"вул. Соборна, 42",Фастів,0
1689106231,,,,,2955643,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Зубик Смайл бродилка українською мовою (30398),,67,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-strateg-zubik-smajl-brodilka-na-ukrainskom-jazyke-30398.html,,05.11.2025 23:09,,"вул. Соборна, 42",Фастів,0
1689106234,7080182,PHILIPS AVENT,Набор пустышек AVENT Ultra Air 18+ мес 2 шт (SCF349/24),399,2899468,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Philips,philips,"Ортодонтична пустушка Philips Avent Ultra Air, 18+ міс, 2 шт. (SCF349/24)",,339,1,https://comfy.ua/ortodonticheskaja-pustyshka-philips-avent-ultra-air-18-mis-2-sht-scf349-24.html,399,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1689106237,7057038,STRATEG,Настольная игра STRATEG Плюс Минус укр (30292),145,2895674,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Плюс Мінус (30292),,165,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-3-4-goda-strateg-pljus-minus-30292.html,,06.11.2025 0:21,,"вул. Соборна, 42",Фастів,0
1689106612,6969981,BRAUN,Эпилятор BRAUN Silk-еpil 3 SE 3-000,1699,2961787,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Braun,braun,Епілятор Braun Silk-еpil 3 SE 3-000,,1499,1,https://comfy.ua/jepiljator-braun-silk-epil-3-se-3-000.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,2
1689106613,6969982,BRAUN,Эпилятор BRAUN Silk-еpil 7 SE 7-441 (80743165),5499,2961788,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Braun,braun,Епілятор Braun Silk-еpil 7 SE 7-441,,4499,1,https://comfy.ua/jepiljator-braun-silk-epil-7-se-7-441.html,7399,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1689106614,6969983,BRAUN,Эпилятор Braun Silk_epil 9 SES 9-011 3D,5999,2961789,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Braun,braun,Епілятор Braun Silk_epil 9 SES 9-011 3D,,5999,1,https://comfy.ua/jepiljator-braun-silk-epil-9-ses-9-011-3d.html,9999,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1689106615,6969984,BRAUN,Эпилятор BRAUN Silk-еpil 1 SE 1-010 (80743151),1299,2961790,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Braun,braun,Епілятор Braun Silk-еpil 1 SE 1-010,,1299,1,https://comfy.ua/jepiljator-braun-silk-epil-1-se-1-010.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1689106617,6969986,BRAUN,Эпилятор BRAUN Silk-еpil 3 SE 3-202 (80743153),1699,2961792,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Braun,braun,Епілятор Braun Silk-еpil 3 SE 3-202,,2099,1,https://comfy.ua/jepiljator-braun-silk-epil-3-se-3-202.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1689106618,6969987,BRAUN,Эпилятор BRAUN Електр епiлятор Silk-еpil 7 SE 7-000 (80743173),3499,2961793,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Braun,braun,Епілятор Braun Silk-еpil 7 SE 7-000,,3499,1,https://comfy.ua/jepiljator-braun-silk-epil-7-se-7-000.html,5299,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1689106622,6969992,BRAUN,Эпилятор Braun Silk_epil 9 SES 9-341,8299,2961797,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Braun,braun,Епілятор Braun Silk_epil 9 SES 9-341,,6499,1,https://comfy.ua/jepiljator-braun-silk-epil-9-ses-9-341.html,10999,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1689106623,6969993,BRAUN,Эпилятор BRAUN Silk-еpil 5 SE 5-050,2999,2961798,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Braun,braun,Епілятор Braun Silk-еpil 5 SE 5-050,,2999,1,https://comfy.ua/jepiljator-braun-silk-epil-5-se-5-050.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1689106624,6969994,BRAUN,Эпилятор BRAUN Silk-еpil 5 SE 5-011 (80743163),3199,2961799,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Braun,braun,Епілятор Braun Silk-еpil 5 SE 5-011,,2399,1,https://comfy.ua/jepiljator-braun-silk-epil-5-se-5-011.html,3999,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1689106625,6969995,BRAUN,Эпилятор BRAUN Silk-epil 9 SE 9-000 (80743182),4499,2961800,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Braun,braun,Епілятор Braun Silk_epil 9 SES 9-000,,4499,1,https://comfy.ua/jepiljator-braun-silk-epil-9-ses-9-000.html,7499,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1689107146,,,,,.2839786,Смарт-часы и гаджеты >> Аксессуары,gembird,Нитка для PETG-картриджа Gembird 3DP-PETG1.75-01-NAT,,479,1,https://comfy.ua/nitka-dlja-petg-kartridzha-gembird-3dp-petg1-75-01-nat.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1689107154,,,,,.2967729,Смарт-часы и гаджеты >> Аксессуары,powerplant,Нитка для ABS-картриджу PowerPlant Filament 1.75 мм 1 кг Black (PT812851),,839,1,https://comfy.ua/nitka-dlja-abs-kartridzha-powerplant-filament-1-75-mm-1-kg-black-pt812851.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1689107155,,,,,.2967732,Смарт-часы и гаджеты >> Аксессуары,powerplant,Нитка для ABS-картриджу PowerPlant Filament 1.75 мм 1 кг Red (PT812882),,755,1,https://comfy.ua/nitka-dlja-abs-kartridzha-powerplant-filament-1-75-mm-1-kg-red-pt812882.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1689107156,,,,,.2967733,Смарт-часы и гаджеты >> Аксессуары,powerplant,Нитка для ABS-картриджу PowerPlant Filament 1.75 мм 1 кг Yellow (PT812899),,839,1,https://comfy.ua/nitka-dlja-abs-kartridzha-powerplant-filament-1-75-mm-1-kg-yellow-pt812899.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1689107157,,,,,.2967731,Смарт-часы и гаджеты >> Аксессуары,powerplant,Нитка для ABS-картриджу PowerPlant Filament 1.75 мм 1 кг White (PT812875),,839,1,https://comfy.ua/nitka-dlja-abs-kartridzha-powerplant-filament-1-75-mm-1-kg-white-pt812875.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1689107158,,,,,.2967735,Смарт-часы и гаджеты >> Аксессуары,powerplant,Нитка для PETG-картриджа PowerPlant Filament 1.75 мм 1 кг Blue (PT812912),,839,1,https://comfy.ua/nitka-dlja-petg-kartridzha-powerplant-filament-1-75-mm-1-kg-blue-pt812912.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1689107159,,,,,.2967734,Смарт-часы и гаджеты >> Аксессуары,powerplant,Нитка для PETG-картриджа PowerPlant Filament 1.75 мм 1 кг Black (PT812905),,1099,1,https://comfy.ua/nitka-dlja-petg-kartridzha-powerplant-filament-1-75-mm-1-kg-black-pt812905.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1689107160,,,,,.2967736,Смарт-часы и гаджеты >> Аксессуары,powerplant,Нитка для PETG-картриджа PowerPlant Filament 1.75 мм 1 кг White (PT812929),,839,1,https://comfy.ua/nitka-dlja-petg-kartridzha-powerplant-filament-1-75-mm-1-kg-white-pt812929.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1689107161,,,,,.2967730,Смарт-часы и гаджеты >> Аксессуары,powerplant,Нитка для ABS-картриджу PowerPlant Filament 1.75 мм 1 кг Blue (PT812868),,755,1,https://comfy.ua/nitka-dlja-abs-kartridzha-powerplant-filament-1-75-mm-1-kg-blue-pt812868.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1689107162,,,,,.2953906,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301010380),,859,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301010380.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1689107165,,,,,.2955140,Смарт-часы и гаджеты >> Аксессуары,elegoo,Нитка для PLA-картриджа Elegoo 1 кг 1.75 мм White (50.203.0115),,775,1,https://comfy.ua/nitka-dlja-pla-kartridzha-elegoo-1-kg-1-75-mm-white-50-203-0115.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1689107167,,,,,.2955139,Смарт-часы и гаджеты >> Аксессуары,elegoo,Нитка для PLA-картриджа Elegoo 1 кг 1.75 мм Black (50.203.0114),,779,1,https://comfy.ua/nitka-dlja-pla-kartridzha-elegoo-1-kg-1-75-mm-black-50-203-0114.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1689107168,,,,,.2954177,Смарт-часы и гаджеты >> Аксессуары,elegoo,Гумовий фотополімер Elegoo Standard Resin (50.103.0057),,999,1,https://comfy.ua/rezinovyj-fotopolimer-elegoo-standard-resin-50-103-0057.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1689107169,,,,,.2954183,Смарт-часы и гаджеты >> Аксессуары,elegoo,Гумовий фотополімер Elegoo Standard Resin (50.103.0089),,989,1,https://comfy.ua/rezinovyj-fotopolimer-elegoo-standard-resin-50-103-0089.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1689107170,,,,,.2954182,Смарт-часы и гаджеты >> Аксессуары,elegoo,Гумовий фотополімер Elegoo Standard Resin (50.103.0087),,999,1,https://comfy.ua/rezinovyj-fotopolimer-elegoo-standard-resin-50-103-0087.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1689107176,,,,,.2954180,Смарт-часы и гаджеты >> Аксессуары,elegoo,Гумовий фотополімер Elegoo Standard 2.0 Resin (50.103.0063),,1195,1,https://comfy.ua/rezinovyj-fotopolimer-elegoo-standard-2-0-resin-50-103-0063.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
