1689163448,column,column,column,column,2950922,"Аудио, фото и видео >> Наушники",proove,___proove_70s_classic_ii_hpcl20010007,column,1349,1,httpscomfyuanaushnikinakladnyebesprovodnyeproove70sclassiciihpcl20010007html,column,05112025_1827,column,__42,Фастів,0
1689162811,6999518,IIYAMA,Монитор IIYAMA Prolite T2752MSC-W1 White,19169,2972022,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA T2752MSC-W1,,19169,1,https://comfy.ua/monitor-iiyama-t2752msc-w1.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1689163448,,,,,2950922,"Аудио, фото и видео >> Наушники",proove,Навушники накладні бездротові Proove 70's Classic II (HPCL20010007),,1349,1,https://comfy.ua/naushniki-nakladnye-besprovodnye-proove-70-s-classic-ii-hpcl20010007.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1689163923,,,,,2888866,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку BabyOno,babyono,Брязкальце BabyOno Обіймашка з шурхотінням Панда (1533),,205,1,https://comfy.ua/pogremushka-babyono-obnimashka-s-shurshaniem-panda-1533.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1689163952,,,,,2914025,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",defender,Килимок для миші ігровий Defender Black (50550),,75,1,https://comfy.ua/kovrik-dlja-myshi-defender-black-50550.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1689164804,6988085,EDLER,Блендер EDLER EDHB-1901,299,2967587,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Edler,edler,Блендер заглибний Edler EDHB-1901,,299,1,https://comfy.ua/blender-pogruzhnoj-edler-edhb-1901.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1689164805,6988082,EDLER,Блендер EDLER EDHB-1486,499,2967583,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Edler,edler,Блендер заглибний Edler EDHB-1486,,479,1,https://comfy.ua/blender-pogruzhnoj-edler-edhb-1486.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1689164807,6988083,EDLER,Блендер EDLER EDHB-1630,499,2967588,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Edler,edler,Блендер заглибний Edler EDHB-1630,,499,1,https://comfy.ua/blender-pogruzhnoj-edler-edhb-1630.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1689164808,6988080,EDLER,Блендер EDLER EDHB-1049,899,2967584,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Edler,edler,Блендер заглибний Edler EDHB-1049,,899,1,https://comfy.ua/blender-pogruzhnoj-edler-edhb-1049.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1689164827,,,,,.2907121,"Аудио, фото и видео >> Аксессуары для фото, видео",hyundai,Акумулятор тип AAA Hyundai HR03 1000mAh 2 шт/уп. (HT7005002),,259,1,https://comfy.ua/akkumuljator-tip-aaa-hyundai-hr03-1000mah-2-sht-up-ht7005002.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1689164860,6972678,KRAUFF,Доска разделочная KRAUFF 31.6 х 19.8 х 0.8 см (29-305-101),315,2894217,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Krauff,krauff,"Дошка обробна Krauff 31,6х19,8х0,8 см (29-305-101)",,315,1,https://comfy.ua/razdelochnaja-doska-krauff-31-6h19-8h0-8-sm-29-305-101.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
