1689375152,column,column,column,column,2944625,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,___armorstandart_feltery_case_as2_for_macbook_1516_black_arm70770,column,255,1,httpscomfyuacheholdljanoutbukaarmorstandartfelterycaseas2formacbook1516blackarm70770html,column,05112025_1755,column,__42,Фастів,0
1689375151,,,,,.2944629,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для ноутбука Armorstandart Feltery Case AS2 for MacBook 13-14 Black (ARM70769),,249,1,https://comfy.ua/chehol-dlja-noutbuka-armorstandart-feltery-case-as2-for-macbook-13-14-black-arm70769.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1689375152,,,,,2944625,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для ноутбука Armorstandart Feltery Case AS2 for MacBook 15-16 Black (ARM70770),,255,1,https://comfy.ua/chehol-dlja-noutbuka-armorstandart-feltery-case-as2-for-macbook-15-16-black-arm70770.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1689375153,,,,,.2944628,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для ноутбука Armorstandart Feltery Case AS3 for MacBook 13-14 Black (ARM70772),,349,1,https://comfy.ua/chehol-dlja-noutbuka-armorstandart-feltery-case-as3-for-macbook-13-14-black-arm70772.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1689376455,,,,,.2944627,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для ноутбука Armorstandart Feltery Case AS3 for MacBook 15-16 Black (ARM70773),,399,1,https://comfy.ua/chehol-dlja-noutbuka-armorstandart-feltery-case-as3-for-macbook-15-16-black-arm70773.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1689376456,,,,,2944626,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для ноутбука Armorstandart Feltery Case AS1 for MacBook 15-16 Black (ARM70767),,399,1,https://comfy.ua/chehol-dlja-noutbuka-armorstandart-feltery-case-as1-for-macbook-15-16-black-arm70767.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1689380463,,,,,2876862,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",acer,Рюкзак для ноутбуку Acer Urban 3/1 (GP.BAG11.02M),,1649,1,https://comfy.ua/rjukzak-dlja-noutbuka-acer-urban-3-1-gp-bag11-02m.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1689380464,,,,,.2966449,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",tucano,"""Рюкзак для ноутбуку Tucano Global 2 15""""/16"""" (BKBTK2-BK)""",,1799,1,https://comfy.ua/rjukzak-dlja-noutbuka-tucano-global-2-15-16-bkbtk2-bk.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1689380465,,,,,.2966448,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",tucano,"""Рюкзак для ноутбуку Tucano Global 2 15""""/16"""" (BKBTK2-B)""",,1935,1,https://comfy.ua/rjukzak-dlja-noutbuka-tucano-global-2-15-16-bkbtk2-b.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1689380528,,,,,.2964712,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hp,"""Рюкзак для ноутбуку HP Campus XL 16.1"""" (7J594AA)""",,1999,1,https://comfy.ua/rjukzak-dlja-noutbuka-hp-campus-xl-16-1-7j594aa.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1689394683,,,,,2964847,Красота и здоровье >> Уход за лицом >> Косметические зеркала >> Косметические зеркала Kela,kela,Косметичне дзеркало Kela Matilda (20667),,3434,1,https://comfy.ua/kosmeticheskoe-zerkalo-kela-matilda-20667.html,6869,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1689395812,6989675,BABYLISS,Фен-щетка BABYLISS AS960E,4099,2975014,Красота и здоровье >> Уход за волосами >> Фен-щетки >> Фен-щетки Babyliss,babyliss,Фен-щітка Babyliss AS960E,,3699,1,https://comfy.ua/fen-schetka-babyliss-as960e.html,4099,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1689485382,7136663,MPM,Автохолодильник MPM MPM-35-CBM-09YА,4199,2917930,"Дом, отдых и зоотовары >> Отдых и путешествия >> Автохолодильники >> Автохолодильники MPM",mpm,Холодильник автомобільний MPM MPM-35-CBM-09YА,,3789,1,https://comfy.ua/holodil-nik-avtomobil-nyj-mpm-mpm-35-cbm-09ya.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1689491488,,,,,.2930954,"Аудио, фото и видео >> Аксессуары для фото, видео",liitokala,Акумулятор тип AAA LiitoKala 1000mAh 1.2V NI-MH (Ni-10/AAA-5B),,529,1,https://comfy.ua/akkumuljator-tip-aaa-liitokala-1000mah-1-2v-ni-mh-ni-10-aaa-5b.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1689493352,7038926,TEFAL,Крышка TEFAL 30 см (28097812),799,2968200,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды Tefal,tefal,Кришка для посуду Tefal 28097812 30 см,,799,1,https://comfy.ua/kryshka-dlja-posudy-tefal-28097812-30-sm.html,879,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1689545585,6980316,SAMSUNG,Аудиосистема SAMSUNG Music Frame HW-LS60D/UA,10999,2973316,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки Samsung",samsung,Портативна акустика Samsung Music Frame (HW-LS60D/UA),,9999,1,https://comfy.ua/portativnaja-akustika-samsung-music-frame-hw-ls60d-ua.html,13999,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1689545588,6980794,JBL,Портативная акустика JBL Go 4 Blue (JBLGO4BLU),1899,2970551,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL GO 4 Blue (JBLGO4BLU),,1899,1,https://comfy.ua/portativnaja-akustika-jbl-go-4-blue-jblgo4blu.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,1
1689545589,6980798,JBL,Портативная акустика JBL Go 4 Squad (JBLGO4SQUAD),1899,2970546,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL GO 4 Squad (JBLGO4SQUAD),,1899,1,https://comfy.ua/portativnaja-akustika-jbl-go-4-squad-jblgo4squad.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1689545595,6980785,JBL,Портативная акустика JBL Clip 5 Blue (JBLCLIP5BLU),2899,2970539,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Clip 5 Blue (JBLCLIP5BLU),,2899,1,https://comfy.ua/portativnaja-akustika-jbl-clip-5-blue-jblclip5blu.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1689545606,6980800,JBL,Портативная акустика JBL Xtreme 4 Black (JBLXTREME4BLKEP),13999,2970554,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Xtreme 4 Black (JBLXTREME4BLKEP),,13699,1,https://comfy.ua/portativnaja-akustika-jbl-xtreme-4-black-jblxtreme4blkep.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1689545607,6980802,JBL,Портативная акустика JBL Xtreme 4 Camo (JBLXTREME4CAMOEP),13999,2970548,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Xtreme 4 Camo (JBLXTREME4CAMOEP),,13699,1,https://comfy.ua/portativnaja-akustika-jbl-xtreme-4-camo-jblxtreme4camoep.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1689545608,6980801,JBL,Портативная акустика JBL Xtreme 4 Blue (JBLXTREME4BLUEP),13999,2970547,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Xtreme 4 Blue (JBLXTREME4BLUEP),,13699,1,https://comfy.ua/portativnaja-akustika-jbl-xtreme-4-blue-jblxtreme4bluep.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1689545609,6980804,JBL,Портативная акустика JBL PartyBox Stage 320 (JBLPBSTAGE320EP),23999,2965427,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Акустична система JBL PartyBox Stage 320 (JBLPBSTAGE320EP),,23999,1,https://comfy.ua/akusticheskaja-sistema-jbl-partybox-stage-320-jblpbstage320ep.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1689545869,6980796,JBL,Портативная акустика JBL Go 4 Purple (JBLGO4PUR),1899,2970544,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL GO 4 Purple (JBLGO4PUR),,1899,1,https://comfy.ua/portativnaja-akustika-jbl-go-4-purple-jblgo4pur.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1689545870,6980797,JBL,Портативная акустика JBL Go 4 Red (JBLGO4RED),1899,2970545,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL GO 4 Red (JBLGO4RED),,1899,1,https://comfy.ua/portativnaja-akustika-jbl-go-4-red-jblgo4red.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,1
1689573589,6997676,FREGGIA,Встраиваемая микроволновая печь FREGGIA MWOB20B,5899,2969448,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Freggia,freggia,Мікрохвильова піч (НВЧ) вбудовувана Freggia MWOB20B,,5899,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-freggia-mwob20b.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1689581327,6982537,TEFAL,Сковорода TEFAL Emotion 18 см Stainless Steel (E3000104),799,2932162,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal E3000104 Emotion 18 см,,799,1,https://comfy.ua/skovoroda-universal-naja-tefal-e3000104-emotion-18-sm.html,1499,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,1
1689584243,6977580,WEIDASI,Светильник WEIDASI WD-6062,429,2958870,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Weidasi",weidasi,Настільна лампа Weidasi WD-6062,,575,1,https://comfy.ua/nastol-naja-lampa-weidasi-wd-6062.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1689584244,6922928,TAIGEXIN,Настольная лампа TAIGEXIN TGX-7011/TGX-7708 5W 4100K 1200mAh с аккумулятором Whiteм (TGX-7011-W),458,2958876,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Taigexin",taigexin,Настільна лампа Taigexin TGX-7011-W,,715,1,https://comfy.ua/nastol-naja-lampa-taigexin-tgx-7011-w.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1689584290,,,,,.2959045,"Дом, отдых и зоотовары >> Освещение",inspire,Нічник INSPIRE K31,,889,1,https://comfy.ua/nochnik-inspire-k31.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1689586049,6973294,CANDY,Холодильник CANDY CCT3L517ES,14999,2945231,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Candy,candy,Холодильник Candy CCT3L517ES,,14999,1,https://comfy.ua/holodil-nik-candy-cct3l517es.html,16499,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
