705226831,7170799,weilor,__weilor_gm_624_bl,8199,1652162,____________weilor,weilor,___weilor_gm_624_bl,column,8199,1,httpscomfyuavarochnajapanelgazovajaweilorgm624blhtml,column,05112025_2122,column,__42,Фастів,0
705226832,6824140,WEILOR,Варочная поверхность WEILOR GM W 624 SS,8458,1652151,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня газова Weilor GM W624 SS,,8199,1,https://comfy.ua/varochnaja-panel-gazovaja-weilor-gm-w624-ss.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
705309244,6546327,ACER,"""Монитор ACER 21.5"""" EK220QAbi (UM.WE0EE.A01)""",4523,1653061,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",acer,Монітор Acer EK220Q A (UM.WE0EE.A01),,4265,1,https://comfy.ua/monitor-acer-ek220q-a-um-we0ee-a01.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
705351197,6502456,PHILIPS,"""Монитор PHILIPS 23.8"""" (245E1S/00)""",5468,1579574,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Philips",philips,Монітор Philips 245E1S/00 Black,,5389,1,https://comfy.ua/monitor-philips-245e1s-00-black.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
705355769,6617017,LOGITECH,IT/mouse LOGITECH M190 Full-size wireless mouse CHARCOAL,443,1653798,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова Logitech M190 Charcoal (910-005905),,549,1,https://comfy.ua/mysh-besprovodnaja-logitech-m190-charcoal-910-005905.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
705355770,6617018,LOGITECH,Мышь LOGITECH M190 Mid Grey (910-005906),499,1653799,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова Logitech M190 Mid Grey (910-005906),,449,1,https://comfy.ua/mysh-besprovodnaja-logitech-m190-mid-grey-910-005906.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,3
705355771,6617019,LOGITECH,IT/mouse LOGITECH M190 Full-size wireless mouse BLUE,549,1653801,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова Logitech M190 Blue (910-005907),,549,1,https://comfy.ua/mysh-besprovodnaja-logitech-m190-blue-910-005907.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,2
705640281,6605920,SENCOR,Льдогенератор SENCOR SIM3000BK,6999,1647746,Техника для кухни >> Крупная техника >> Льдогенераторы >> Льдогенераторы Sencor,sencor,Льдогенератор Sencor SIM3000BK,,6999,1,https://comfy.ua/l-dogenerator-sencor-sim3000bk.html,7599,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
706392978,,,,,1645109,Техника для кухни >> Мелкая техника,delonghi,Електричний чайник Delonghi KBOC2001.R,,3299,1,https://comfy.ua/catalog/product/view/id/1215783/s/jelektricheskij-chajnik-delonghi-kboc2001-r,3599,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
706567343,6700858,DELONGHI,Электрочайник DELONGHI KBOC 2001 R,3299,1645109,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Delonghi,delonghi,Електричний чайник Delonghi KBOC2001.R,,3299,1,https://comfy.ua/jelektricheskij-chajnik-delonghi-kboc2001-r.html,3599,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
706572995,6700910,DELONGHI,Тостер DELONGHI CTOC 2103 R,3699,1651639,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Delonghi,delonghi,Тостер Delonghi CTOC2103R,,3699,1,https://comfy.ua/toster-delonghi-ctoc2103r.html,4199,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
706572996,6627366,DELONGHI,Тостер DELONGHI CTOC2103.Y,3699,1651638,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Delonghi,delonghi,Тостер Delonghi CTOC2103Y,,3699,1,https://comfy.ua/toster-delonghi-ctoc2103y.html,4199,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
706911675,6627373,DELONGHI,Электрочайник DELONGHI KBOC2001.Y,3299,1645107,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Delonghi,delonghi,Електричний чайник Delonghi KBOC2001.Y,,3299,1,https://comfy.ua/jelektricheskij-chajnik-kenwood-kboc2001-y.html,3599,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
706943951,,,,,1645107,Техника для кухни >> Мелкая техника,delonghi,Електричний чайник Delonghi KBOC2001.Y,,3299,1,https://comfy.ua/catalog/product/view/id/1216823/s/jelektricheskij-chajnik-kenwood-kboc2001-y,3599,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
706982715,6523025,DELONGHI,Электрочайник DELONGHI KBOC 2001.W,3299,1650512,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Delonghi,delonghi,Електричний чайник Delonghi KBOC2001W,,3299,1,https://comfy.ua/jelektricheskij-chajnik-delonghi-kboc2001w.html,3599,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
707282738,6670416,KELA,Гриль KELA Ceneri (66663),3809,1650152,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Kela,kela,Гриль-барбекю електричний Kela Ceneri (66663),,3809,1,https://comfy.ua/gril-barbekju-jelektricheskij-kela-ceneri-66663.html,5849,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
707282817,,,,,1625688,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки Ariete,ariete,Цитрус-прес Ariete 413 Light Blue,,2999,1,https://comfy.ua/citrus-press-ariete-413-light-blue.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
707304098,,,,,1655075,Бытовая химия >> Средства для посудомоечных машин >> Таблетки для мытья посуды >> Таблетки для мытья посуды Start,start,Таблетка для посудомийної машини Start CLASSIC 60 шт,,325,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-start-classic-60-sht.html,406,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
